博物馆,层次,年参观人次 （万 ）,珍贵文物（套/件 ）,藏品      （套/件 ）,省份,类型
无锡中国民族工商业博物馆,文物系统国有博物馆,1,0,149,江苏省,行业类
福建省闽东畲族博物馆（宁德市博物馆）,文物系统国有博物馆,5,482,3572,福建省,文化类
宜兴陶瓷博物馆,文物系统国有博物馆,15,107,15280,江苏省,行业类
常熟市江南农家民俗馆,非国有博物馆,1,0,3300,江苏省,文化类
福建省泉州海外交通史博物馆,文物系统国有博物馆,50,1442,9365,福建省,行业类
南京市博物总馆（中共代表团梅园新村纪念馆）,文物系统国有博物馆,10,454,1035,江苏省,历史类
南京永银钱币博物馆,非国有博物馆,0,0,349,江苏省,行业类
江阴市徐霞客旅游博物馆,其他行业国有博物馆,0,0,未知,江苏省,历史类
福建省世茂海上丝绸之路博物馆,非国有博物馆,7,0,311,福建省,文化类
南京市西善桥历史文化博物馆,其他行业国有博物馆,0,0,541,江苏省,历史类
福建省阳光木雕博物馆,非国有博物馆,0,0,366,福建省,艺术类
南京中国科举博物馆,其他行业国有博物馆,39,148,3953,江苏省,文化类
苏州园林博物馆,其他行业国有博物馆,10,0,1000,江苏省,艺术类
李汝珍纪念馆,文物系统国有博物馆,1,0,40,江苏省,历史类
江阴市革命烈士纪念馆,其他行业国有博物馆,1,0,49,江苏省,历史类
福建省雨田古代玉器博物馆,非国有博物馆,2,0,382,福建省,文化类
福建省志华根艺博物馆,非国有博物馆,1,0,353,福建省,艺术类
阿炳纪念馆,其他行业国有博物馆,6,0,400,江苏省,历史类
盱眙县黄花塘新四军军部纪念馆,文物系统国有博物馆,41,63,1136,江苏省,历史类
周怀民藏画馆,文物系统国有博物馆,2,0,158,江苏省,艺术类
冷遹纪念馆,文物系统国有博物馆,20,5,450,江苏省,历史类
福建土楼博物馆,文物系统国有博物馆,15,1022,10149,福建省,历史类
龙虬庄遗址博物馆,文物系统国有博物馆,1,0,未知,江苏省,历史类
江阴市刘氏兄弟故居陈列馆,文物系统国有博物馆,6,0,未知,江苏省,历史类
福建中国闽台缘博物馆,文物系统国有博物馆,31,592,21080,福建省,文化类
盐城市大丰区上海知青纪念馆,文物系统国有博物馆,2,0,356,江苏省,历史类
无锡中共中山中学旧址纪念馆,其他行业国有博物馆,8,0,8,江苏省,历史类
无锡窑群遗址博物馆,其他行业国有博物馆,11,0,200,江苏省,行业类
苏州中医药博物馆,其他行业国有博物馆,4,0,20919,江苏省,行业类
苏州革命博物馆,其他行业国有博物馆,10,27,27,江苏省,历史类
江阴周少梅故居陈列馆,其他行业国有博物馆,1,0,未知,江苏省,历史类
福州市晋安区中国寿山石馆,文物系统国有博物馆,5,15,767,福建省,文化类
高邮市邮驿博物馆,文物系统国有博物馆,9,0,未知,江苏省,文化类
灌南县红色文化博物馆,非国有博物馆,4,69,389,江苏省,文化类
南京中国近代史遗址博物馆,其他行业国有博物馆,87,0,2629,江苏省,历史类
福州市长乐区郑和史迹陈列馆,文物系统国有博物馆,6,1,38,福建省,历史类
南京税收博物馆,其他行业国有博物馆,1,0,1179,江苏省,行业类
常州市武进区藏龙龙文化博物馆,非国有博物馆,1,0,480,江苏省,文化类
南京雨花石博物馆,其他行业国有博物馆,0,0,791,江苏省,文化类
淮海战役纪念馆,其他行业国有博物馆,129,516,19275,江苏省,历史类
杨根思烈士陵园,其他行业国有博物馆,11,12,12,江苏省,历史类
顾毓琇纪念馆,文物系统国有博物馆,6,17,599,江苏省,历史类
孙冶方纪念馆,其他行业国有博物馆,1,0,167,江苏省,历史类
无锡市名人故居文物管理中心,文物系统国有博物馆,10,4,94,江苏省,历史类
施耐庵纪念馆,文物系统国有博物馆,11,1,1011,江苏省,历史类
常熟美术馆,文物系统国有博物馆,2,0,2258,江苏省,艺术类
南京海龙红木文化博物馆,非国有博物馆,2,0,414,江苏省,文化类
南京市江宁区南唐二陵史料陈列馆,文物系统国有博物馆,5,0,30,江苏省,历史类
南京市博物总馆（渡江胜利纪念馆）,文物系统国有博物馆,12,116,1147,江苏省,历史类
江阴市中共江阴一大会址纪念馆,其他行业国有博物馆,3,0,未知,江苏省,历史类
王选事迹陈列馆,其他行业国有博物馆,1,0,300,江苏省,历史类
傅抱石纪念馆,文物系统国有博物馆,0,0,50,江苏省,历史类
抚松人参博物馆,文物系统国有博物馆,1,38,5471,吉林省,行业类
富平县频阳博物馆,非国有博物馆,25,0,1921,陕西省,文化类
扬州八怪纪念馆,文物系统国有博物馆,8,0,435,江苏省,历史类
雨花台烈士纪念馆,其他行业国有博物馆,200,610,5493,江苏省,历史类
陶行知纪念馆,其他行业国有博物馆,1,129,1628,江苏省,历史类
泰州单声珍藏文物馆,其他行业国有博物馆,2,0,492,江苏省,文化类
侵华日军南京大屠杀遇难同胞纪念馆,其他行业国有博物馆,139,6318,192645,江苏省,历史类
南京市博物总馆（太平天国历史博物馆）,文物系统国有博物馆,17,275,4087,江苏省,历史类
富平县文庙博物馆,文物系统国有博物馆,0,163,1808,陕西省,历史类
无锡中国泥人博物馆,其他行业国有博物馆,0,88,1950,江苏省,文化类
富顺文庙博物馆,文物系统国有博物馆,10,117,558,四川省,历史类
徐州龟山汉墓陈列馆,其他行业国有博物馆,40,0,未知,江苏省,历史类
富源胜境博物馆,非国有博物馆,3,0,3000,云南省,文化类
句容市先吴文化博物馆,文物系统国有博物馆,3,0,2670,江苏省,文化类
南京钢铁博物馆,其他行业国有博物馆,2,0,352,江苏省,行业类
扬州唐城遗址博物馆（扬州汉广陵王墓博物馆、崔致远纪念馆）,文物系统国有博物馆,16,18,827,江苏省,历史类
甘肃公路博物馆,其他行业国有博物馆,4,18,6067,甘肃省,行业类
江苏省南通市海门区张謇纪念馆,其他行业国有博物馆,12,26,312,江苏省,历史类
曹用平艺术馆,文物系统国有博物馆,12,0,300,江苏省,艺术类
江苏省中医药博物馆,其他行业国有博物馆,2,0,300,江苏省,行业类
无锡祝大椿故居陈列馆,其他行业国有博物馆,7,0,150,江苏省,历史类
鼓楼医院历史纪念馆,其他行业国有博物馆,0,0,616,江苏省,行业类
苏州中学西马博物馆,其他行业国有博物馆,0,0,300,江苏省,文化类
甘肃简牍博物馆,文物系统国有博物馆,0,31940,31940,甘肃省,文化类
陆定一祖居陈列馆,其他行业国有博物馆,2,0,未知,江苏省,历史类
无锡得一堂民间艺术品博物馆,非国有博物馆,5,0,3577,江苏省,艺术类
苏皖边区政府旧址纪念馆,文物系统国有博物馆,6,154,887,江苏省,历史类
新四军江南指挥部纪念馆,文物系统国有博物馆,69,376,12493,江苏省,历史类
南京江南丝绸文化博物馆,非国有博物馆,2,185,901,江苏省,文化类
尹瘦石艺术馆,文物系统国有博物馆,4,101,101,江苏省,艺术类
镇江红色金融钱币专题博物馆,其他行业国有博物馆,1,0,300,江苏省,行业类
甘肃三木自行车博物馆,非国有博物馆,21,0,100644,甘肃省,行业类
甘肃四方博物馆,非国有博物馆,1,0,800,甘肃省,文化类
无锡薛福成故居,文物系统国有博物馆,20,0,未知,江苏省,历史类
徐州市贾汪区白集汉墓陈列馆,文物系统国有博物馆,1,21,21,江苏省,历史类
甘肃永登鲁土司衙门博物馆,文物系统国有博物馆,0,8,74,甘肃省,历史类
赣南客家围屋博物馆（龙南县博物馆）,文物系统国有博物馆,22,82,372,江西省,文化类
宿迁市古黄河诗词书法艺术馆,文物系统国有博物馆,5,0,129,江苏省,艺术类
赣州华邦木艺博物馆,非国有博物馆,3,0,350,江西省,艺术类
王昆仑故居陈列馆,其他行业国有博物馆,1,0,71,江苏省,历史类
高安品正博物馆,非国有博物馆,2,0,500,江西省,文化类
南通市个簃艺术馆,文物系统国有博物馆,5,7,7,江苏省,艺术类
无锡美术馆（无锡市书画院）,文物系统国有博物馆,31,0,未知,江苏省,艺术类
朱自清纪念馆,文物系统国有博物馆,1,0,228,江苏省,历史类
苏州城墙博物馆,其他行业国有博物馆,5,0,483,江苏省,历史类
周恩来纪念馆,其他行业国有博物馆,32,707,40962,江苏省,历史类
新四军黄桥战役纪念馆,其他行业国有博物馆,8,33,1082,江苏省,历史类
无锡市鸿山遗址博物馆,文物系统国有博物馆,1,227,1173,江苏省,历史类
审计博物馆,其他行业国有博物馆,1,0,6314,江苏省,行业类
高安市博物馆（高安元青花博物馆）,文物系统国有博物馆,17,2243,8904,江西省,文化类
高安市吴有训科教馆,文物系统国有博物馆,11,1230,1531,江西省,行业类
海门叠石桥家纺博物馆,其他行业国有博物馆,4,0,309,江苏省,行业类
江阴市国民党要塞司令部旧址文物保护管理所,文物系统国有博物馆,4,0,未知,江苏省,历史类
徐州市铜山区北洞山汉墓陈列馆,文物系统国有博物馆,0,0,未知,江苏省,历史类
江苏神牛红木艺术博物馆,非国有博物馆,0,0,54,江苏省,艺术类
常州市武进区滆湖民俗博物馆,非国有博物馆,2,0,355,江苏省,文化类
南通中国珠算博物馆,其他行业国有博物馆,38,0,11810,江苏省,行业类
泗洪木化石博物馆,非国有博物馆,0,0,300,江苏省,科技类
高密市白羊山博物馆,非国有博物馆,0,0,345,山东省,文化类
无锡信利博物馆,非国有博物馆,3,0,603,江苏省,文化类
淮安市铁霞轩古花盆博物馆,非国有博物馆,5,34,309,江苏省,艺术类
泰州市梅兰芳纪念馆,其他行业国有博物馆,5,0,1318,江苏省,艺术类
高青大地黄河情博物馆,非国有博物馆,2,0,3030,山东省,文化类
徐州市鼓楼区辰申古陶博物馆,非国有博物馆,13,0,574,江苏省,文化类
泰州市姜堰区美术馆（泰州市姜堰区高二适纪念馆）,其他行业国有博物馆,15,0,321,江苏省,艺术类
柳亚子纪念馆,文物系统国有博物馆,3,126,890,江苏省,历史类
溧阳市天目湖酒文化博物馆,非国有博物馆,9,0,6154,江苏省,文化类
苏州教育博物馆,其他行业国有博物馆,2,0,3250,江苏省,行业类
如皋丝毯艺术博物馆,非国有博物馆,6,0,309,江苏省,艺术类
江苏盆景博物馆,其他行业国有博物馆,3,0,195,江苏省,艺术类
南通中医药文化博物馆,非国有博物馆,12,0,1197,江苏省,文化类
戈壁母亲旧居,文物系统国有博物馆,10,0,980,新疆生产建设兵团,历史类
无锡市钱钟书故居,文物系统国有博物馆,4,0,9,江苏省,历史类
苏州江南茶文化博物馆,非国有博物馆,2,0,304,江苏省,文化类
无锡中国乡镇企业博物馆,其他行业国有博物馆,12,0,661,江苏省,行业类
无锡民乐博物馆,其他行业国有博物馆,0,8,993,江苏省,艺术类
新四军四县抗敌总会纪念馆,文物系统国有博物馆,31,7,256,江苏省,历史类
格尔木历史博物馆,文物系统国有博物馆,7,0,239,青海省,历史类
南京颜真卿纪念馆,文物系统国有博物馆,1,0,54,江苏省,历史类
徐州汉画像石艺术馆,文物系统国有博物馆,1,158,1618,江苏省,艺术类
明孝陵博物馆,其他行业国有博物馆,14,109,395,江苏省,历史类
无锡丝业博物馆,其他行业国有博物馆,7,0,200,江苏省,行业类
太仓郑和纪念馆,其他行业国有博物馆,5,0,未知,江苏省,历史类
南京市江宁区洪保墓史料陈列馆,文物系统国有博物馆,0,0,未知,江苏省,历史类
盱眙县大云山汉王陵博物馆,文物系统国有博物馆,0,0,593,江苏省,历史类
南京大报恩寺遗址博物馆,其他行业国有博物馆,35,0,446,江苏省,历史类
古蔺县二郎滩渡口陈列馆,文物系统国有博物馆,0,0,208,四川省,历史类
中共华中工委纪念馆,文物系统国有博物馆,3,0,57,江苏省,历史类
江苏药学博物馆,其他行业国有博物馆,0,0,未知,江苏省,行业类
固始县根亲博物馆,文物系统国有博物馆,7,0,未知,河南省,文化类
丹阳市总前委旧址纪念馆,文物系统国有博物馆,20,33,645,江苏省,历史类
江阴市中医史陈列馆,文物系统国有博物馆,0,0,未知,江苏省,行业类
阿炳祖居,其他行业国有博物馆,8,0,未知,江苏省,历史类
江阴上官云珠故居陈列馆,其他行业国有博物馆,2,0,150,江苏省,历史类
故宫鼓浪屿外国文物馆,文物系统国有博物馆,8,214,216,福建省,历史类
光山县家俱陈列馆,文物系统国有博物馆,13,30,700,河南省,历史类
苏中七战七捷纪念馆,其他行业国有博物馆,14,24,225,江苏省,历史类
苏州生肖邮票博物馆,非国有博物馆,5,0,13496,江苏省,文化类
光山县石刻博物馆,文物系统国有博物馆,8,43,8000,河南省,艺术类
南京市江宁区金陵佛教文化博物馆,其他行业国有博物馆,5,0,345,江苏省,文化类
广安中学校史陈列馆,其他行业国有博物馆,0,0,160,四川省,历史类
广德市皖南朝晖竹木雕刻博物馆,非国有博物馆,1,0,350,安徽省,艺术类
苏州市吴江区江悦古代木雕造像艺术博物馆,非国有博物馆,5,0,303,江苏省,艺术类
泰州市科举院试博物馆,其他行业国有博物馆,1,8,108,江苏省,文化类
淮扬菜文化博物馆,其他行业国有博物馆,15,4,304,江苏省,文化类
史可法纪念馆,文物系统国有博物馆,7,6,439,江苏省,历史类
西舍红色文化陈列馆,文物系统国有博物馆,2,0,303,江苏省,文化类
中国人民解放军海军诞生地纪念馆,文物系统国有博物馆,26,41,594,江苏省,历史类
海安市青墩遗址博物馆,文物系统国有博物馆,3,2,314,江苏省,历史类
广东海上丝绸之路博物馆,文物系统国有博物馆,58,467,30047,广东省,文化类
无锡华蘅芳故居陈列馆,其他行业国有博物馆,68,0,未知,江苏省,历史类
苏州历史货币博物馆,非国有博物馆,0,0,303,江苏省,文化类
南通纺织博物馆,其他行业国有博物馆,7,217,3087,江苏省,行业类
南京直立人化石遗址博物馆,其他行业国有博物馆,6,115,1281,江苏省,历史类
宋文治艺术馆（太仓名人馆）,其他行业国有博物馆,2,9,9,江苏省,艺术类
南京市江宁区民俗博物馆,其他行业国有博物馆,0,0,61,江苏省,文化类
倪瓒纪念馆,文物系统国有博物馆,15,0,23,江苏省,历史类
南京地质博物馆,其他行业国有博物馆,5,0,20034,江苏省,科技类
南通市沈绣博物馆,非国有博物馆,5,0,570,江苏省,艺术类
何振梁与奥林匹克陈列馆,其他行业国有博物馆,2,23,2600,江苏省,文化类
无锡薛南溟故居陈列馆,其他行业国有博物馆,1,0,20,江苏省,历史类
南京麻凡艺术馆,非国有博物馆,0,0,1,江苏省,艺术类
广东环亚美容化妆品博物馆,非国有博物馆,2,3,1055,广东省,行业类
常熟市沙家浜革命历史纪念馆,其他行业国有博物馆,14,0,1107,江苏省,历史类
江阴市高城墩遗址陈列馆,文物系统国有博物馆,1,0,未知,江苏省,历史类
李可染旧居管理处,其他行业国有博物馆,1,48,183,江苏省,历史类
江苏警官学院博物馆,其他行业国有博物馆,1,3,7513,江苏省,行业类
求雨山文化名人纪念馆,文物系统国有博物馆,31,144,2978,江苏省,文化类
广东民间工艺博物馆,文物系统国有博物馆,31,2733,17969,广东省,艺术类
薛暮桥纪念馆,其他行业国有博物馆,1,0,30,江苏省,历史类
泰兴市革命烈士纪念馆,其他行业国有博物馆,1,0,234,江苏省,历史类
南京市现代陶瓷博物馆,非国有博物馆,8,0,300,江苏省,行业类
广东中国客家博物馆,文物系统国有博物馆,9,229,28356,广东省,文化类
苏州无言斋民俗博物馆,非国有博物馆,0,0,未知,江苏省,文化类
常州市孟河医派博物馆,非国有博物馆,20,0,441,江苏省,行业类
江苏淮剧博物馆,文物系统国有博物馆,3,0,2462,江苏省,艺术类
南京消防博物馆,其他行业国有博物馆,0,0,305,江苏省,行业类
广西建林博物馆,非国有博物馆,1,0,850,广西壮族自治区,文化类
朱屺瞻纪念馆,文物系统国有博物馆,1,0,12,江苏省,历史类
扬州杭集牙刷博物馆,其他行业国有博物馆,0,0,46,江苏省,文化类
南京鲁迅纪念馆,其他行业国有博物馆,0,0,30,江苏省,历史类
广西统计博物馆,文物系统国有博物馆,0,0,7593,广西壮族自治区,行业类
苏州南社纪念馆,非国有博物馆,1,0,351,江苏省,历史类
江阴张大烈故居陈列馆,其他行业国有博物馆,1,0,552,江苏省,历史类
靖江市西来镇农耕文化陈列馆,其他行业国有博物馆,6,0,855,江苏省,文化类
中共江浙区泰兴独立支部纪念馆,文物系统国有博物馆,2,10,199,江苏省,历史类
江阴市宝壶斋茶具博物馆,非国有博物馆,1,0,1550,江苏省,文化类
盐城市水街酒文化博物馆,非国有博物馆,0,0,未知,江苏省,文化类
翁同龢纪念馆,文物系统国有博物馆,5,23,23,江苏省,历史类
广西壮锦博物馆,非国有博物馆,0,0,203,广西壮族自治区,行业类
无锡新四军六师师部旧址陈列馆,非国有博物馆,9,0,196,江苏省,历史类
广元市朝天地震陈列馆,其他行业国有博物馆,0,10,10,四川省,历史类
平湖市李叔同纪念馆,文物系统国有博物馆,6,160,445,浙江省,历史类
广州海事博物馆（广州市黄埔区博物馆）,文物系统国有博物馆,23,51,4577,广东省,行业类
平阳县烈士纪念馆,其他行业国有博物馆,1,0,216,浙江省,历史类
湖笔博物馆,其他行业国有博物馆,4,0,400,浙江省,文化类
永嘉县瓯渠民俗博物馆,非国有博物馆,0,0,1510,浙江省,文化类
广州市迪士普音响博物馆,非国有博物馆,19,0,705,广东省,行业类
广州市东平典当博物馆,非国有博物馆,3,0,未知,广东省,行业类
中国茶叶博物馆,文物系统国有博物馆,11,156,4321,浙江省,文化类
广州市南华珠宝矿物博物馆,非国有博物馆,8,0,392,广东省,科技类
杭州西湖龙井茶博物馆,非国有博物馆,1,0,300,浙江省,文化类
钱君匋艺术研究馆,其他行业国有博物馆,0,0,1396,浙江省,艺术类
广州市松园广作家具博物馆,非国有博物馆,0,0,480,广东省,行业类
长兴县新四军苏浙军区纪念馆,文物系统国有博物馆,48,343,1078,浙江省,历史类
杭州笕桥抗战纪念馆,非国有博物馆,1,0,1068,浙江省,历史类
广州市赵氏天水堂博物馆,非国有博物馆,2,0,642,广东省,行业类
温州衍园美术馆,非国有博物馆,1,0,320,浙江省,艺术类
贵阳市手上记忆博物馆,非国有博物馆,2,0,4200,贵州省,历史类
浙江华茂艺术教育博物馆,非国有博物馆,4,0,5045,浙江省,行业类
贵州教育史馆,其他行业国有博物馆,1,0,2163,贵州省,行业类
杭州世界钱币博物馆,非国有博物馆,6,0,45000,浙江省,行业类
瑞安市抗美援朝历史教育馆,非国有博物馆,1,0,210,浙江省,历史类
岱山县海洋文化博物馆,文物系统国有博物馆,25,0,2717,浙江省,文化类
新昌县天姥中医博物馆,非国有博物馆,1,0,1000,浙江省,行业类
贵州蜡染博物馆,文物系统国有博物馆,2,1,51,贵州省,文化类
遂昌中国工农红军挺进师纪念馆,其他行业国有博物馆,20,0,21,浙江省,历史类
贵州龙博物馆,其他行业国有博物馆,0,0,774,贵州省,文化类
贵州三线建设博物馆（六盘水市博物馆）,文物系统国有博物馆,124,0,21443,贵州省,历史类
温州市维日康树贤艺术博物馆,非国有博物馆,1,0,532,浙江省,艺术类
杭州市萧山区吴越历史文书博物馆,非国有博物馆,1,0,3416,浙江省,文化类
丽水市海归外销瓷博物馆,非国有博物馆,9,0,323,浙江省,行业类
海宁市徐邦达艺术馆,其他行业国有博物馆,0,0,305,浙江省,艺术类
文天祥纪念馆,文物系统国有博物馆,0,0,未知,浙江省,历史类
平湖市陆维钊书画院,文物系统国有博物馆,4,15,3936,浙江省,艺术类
贵州习水宋窖博物馆,非国有博物馆,1,0,3680,贵州省,行业类
余姚市四明山书画院,非国有博物馆,4,0,385,浙江省,艺术类
桂海碑林博物馆,文物系统国有博物馆,12,28,7931,广西壮族自治区,文化类
浙江中鑫艺术博物馆,非国有博物馆,5,0,10077,浙江省,艺术类
遂昌县汤显祖纪念馆,文物系统国有博物馆,15,0,293,浙江省,历史类
绍兴市石语堂玉石文化博物馆,非国有博物馆,1,0,530,浙江省,文化类
淳安县千岛湖自然博物馆,非国有博物馆,9,0,365,浙江省,科技类
德清水样年华婚俗文化艺术馆,非国有博物馆,0,0,340,浙江省,文化类
叶浅予艺术馆,文物系统国有博物馆,2,171,1245,浙江省,艺术类
中共浙江省一大纪念园,其他行业国有博物馆,3,0,125,浙江省,历史类
临海市洞港青年农场文博馆,非国有博物馆,0,0,301,浙江省,行业类
浙江紫竹艺术博物馆,非国有博物馆,1,0,405,浙江省,艺术类
绍兴越国文化博物馆,非国有博物馆,2,0,500,浙江省,文化类
宁波市奉化区王康乐艺术馆,其他行业国有博物馆,1,0,862,浙江省,艺术类
桂林观石堂鸡血玉石博物馆,非国有博物馆,2,0,232,广西壮族自治区,文化类
桂林千年红鸡血玉博物馆,非国有博物馆,3,0,323,广西壮族自治区,文化类
永嘉县春秋陶瓷博物馆,非国有博物馆,3,0,500,浙江省,行业类
临海市兰文化博物馆,非国有博物馆,1,0,22820,浙江省,文化类
嘉兴邮电博物馆,非国有博物馆,0,0,610,浙江省,行业类
桂平市金田起义博物馆,文物系统国有博物馆,10,0,475,广西壮族自治区,历史类
湖州谭建丞艺术馆,非国有博物馆,0,0,399,浙江省,艺术类
国歌展示馆,文物系统国有博物馆,4,0,未知,上海市,文化类
浙江中医药大学浙江中医药博物馆,其他行业国有博物馆,2,0,9311,浙江省,行业类
国务院直属干部学校历史陈列馆,其他行业国有博物馆,6,0,2890,宁夏回族自治区,历史类
余姚市河姆渡遗址博物馆,文物系统国有博物馆,27,194,2978,浙江省,历史类
果洛藏族自治州格萨尔博物馆,文物系统国有博物馆,0,0,173,青海省,文化类
哈尔滨城史文物馆,非国有博物馆,1,0,未知,黑龙江省,历史类
临海市红色书画博物馆,非国有博物馆,2,0,334,浙江省,艺术类
哈尔滨圣安齿科博物馆,非国有博物馆,0,0,1000,黑龙江省,行业类
哈尔滨市啓兵坊刀剑博物馆,非国有博物馆,0,0,191,黑龙江省,文化类
绍兴市上虞区三庚纪念馆,非国有博物馆,0,0,未知,浙江省,历史类
海尔世界家电博物馆,非国有博物馆,3,0,303,山东省,行业类
海南楚风木石博物馆,非国有博物馆,0,0,800,海南省,文化类
瑞安市塘下镇肇平垟革命纪念馆,非国有博物馆,0,0,98,浙江省,历史类
杭州市临安区鸡血石博物馆,其他行业国有博物馆,2,0,191,浙江省,文化类
海南雷公墨陨石博物馆,非国有博物馆,1,0,298,海南省,科技类
海南明清家具博物馆,非国有博物馆,0,0,303,海南省,文化类
杭州西湖本山龙井茶叶博物馆,非国有博物馆,2,0,316,浙江省,文化类
艾青纪念馆,文物系统国有博物馆,1,0,489,浙江省,历史类
安吉竹子博物馆,其他行业国有博物馆,20,0,2010,浙江省,文化类
诸暨雅居轩艺术博物馆,非国有博物馆,0,0,32,浙江省,艺术类
金华市金东区古婺窑火陶瓷博物馆,非国有博物馆,0,0,500,浙江省,行业类
宁波市鄞州区沧海农耕博物馆,非国有博物馆,1,0,1200,浙江省,行业类
淳安县中国工农红军北上抗日先遣队纪念馆,其他行业国有博物馆,6,0,76,浙江省,历史类
湖州瑞一历史文物博物馆,非国有博物馆,0,0,1100,浙江省,历史类
嘉兴船文化博物馆,其他行业国有博物馆,0,0,300,浙江省,文化类
吴昌硕纪念馆,文物系统国有博物馆,11,0,1196,浙江省,历史类
海南铭德票证博物馆,非国有博物馆,0,0,546,海南省,文化类
温州叶同仁中医药博物馆,非国有博物馆,8,0,556,浙江省,行业类
东钱湖民俗文化艺术馆,非国有博物馆,0,0,650,浙江省,艺术类
海南天涯热带雨林博物馆,非国有博物馆,7,0,300,海南省,科技类
海宁市晴雨楼藏砚馆,非国有博物馆,0,0,571,浙江省,历史类
台州市同康酒文化博物馆,非国有博物馆,0,0,317,浙江省,文化类
韩城市大禹庙博物馆,文物系统国有博物馆,0,0,12,陕西省,历史类
汉滨区金洲美食博物馆,非国有博物馆,0,0,335,陕西省,行业类
中国工农红军挺进师纪念园,其他行业国有博物馆,2,0,25,浙江省,历史类
季氏历史名人纪念馆,非国有博物馆,0,0,89,浙江省,历史类
温州市龙湾区白水民俗博物馆,非国有博物馆,2,0,278,浙江省,文化类
汉寿县博汉奇石博物馆,非国有博物馆,1,0,567,湖南省,文化类
杭州大光明眼镜博物馆,非国有博物馆,0,0,306,浙江省,行业类
杭州高氏照相机博物馆,非国有博物馆,1,0,1400,浙江省,行业类
桐乡市丰子恺纪念馆,文物系统国有博物馆,8,40,2801,浙江省,历史类
杭州土火斋古陶瓷博物馆,非国有博物馆,1,276,1676,浙江省,行业类
杭州华夏紫砂博物馆,非国有博物馆,0,0,321,浙江省,文化类
杭州江南锡器博物馆,非国有博物馆,0,0,432,浙江省,文化类
宁波市鄞州区朱金漆木雕艺术馆,非国有博物馆,2,0,714,浙江省,艺术类
杭州京杭大运河博物馆,文物系统国有博物馆,31,37,467,浙江省,文化类
潘絜兹艺术馆,其他行业国有博物馆,1,0,431,浙江省,艺术类
湖州太湖古木艺术博物馆,非国有博物馆,7,0,300,浙江省,艺术类
杭州孔庙,文物系统国有博物馆,9,0,422,浙江省,历史类
绍兴市朵云美术馆,非国有博物馆,0,0,356,浙江省,艺术类
临海市府城灯具博物馆,非国有博物馆,2,0,750,浙江省,艺术类
苍南县碗窑博物馆,非国有博物馆,9,0,362,浙江省,行业类
象山德和根艺美术馆,非国有博物馆,2,0,1360,浙江省,艺术类
杭州市临平区颉德文化博物馆,非国有博物馆,1,0,18000,浙江省,文化类
中国印学博物馆,其他行业国有博物馆,2,0,443,浙江省,行业类
永嘉县吴超征烈士纪念馆,非国有博物馆,0,0,444,浙江省,历史类
洞头先锋女子民兵连纪念馆,其他行业国有博物馆,4,0,620,浙江省,历史类
杭州临平禹昊博物馆,非国有博物馆,2,0,380,浙江省,文化类
杭州西湖博物馆总馆,文物系统国有博物馆,63,1345,17657,浙江省,文化类
舟山市平和民间文化博物馆,非国有博物馆,1,0,2000,浙江省,文化类
君匋艺术院,文物系统国有博物馆,3,530,5783,浙江省,艺术类
桐乡市吴蓬艺术院（桐乡市书画院）,文物系统国有博物馆,1,0,312,浙江省,艺术类
海宁市谢氏艺术收藏馆,非国有博物馆,5,0,3135,浙江省,艺术类
合肥市惠民票证博物馆,非国有博物馆,1,0,24345,安徽省,文化类
鄞州革命烈士纪念馆,其他行业国有博物馆,5,25,1494,浙江省,历史类
照明油画艺术馆,非国有博物馆,0,0,12,浙江省,艺术类
岱山县海曙综艺珍藏馆,非国有博物馆,0,0,8020,浙江省,历史类
宁波市鄞州区金银彩绣艺术馆,非国有博物馆,3,0,550,浙江省,艺术类
临海市羊岩山茶文化博物馆,非国有博物馆,6,0,83,浙江省,文化类
潘天寿故居,文物系统国有博物馆,1,20,257,浙江省,历史类
三门县章一山纪念馆,非国有博物馆,27,0,1005,浙江省,历史类
嘉兴美术馆（嘉兴市蒲华美术馆、嘉兴画院）,文物系统国有博物馆,2,11,3051,浙江省,艺术类
杭州市文史研究馆,其他行业国有博物馆,6,0,8,浙江省,历史类
合肥市庐州民间木艺博物馆,非国有博物馆,0,0,585,安徽省,艺术类
浙西南革命根据地纪念馆,其他行业国有博物馆,19,0,897,浙江省,历史类
德清县欧诗漫珍珠博物院,非国有博物馆,2,0,500,浙江省,行业类
宁波市鄞州区地质宝藏博物馆,非国有博物馆,3,0,632,浙江省,科技类
临海市禾木天香筷子博物馆,非国有博物馆,3,0,492,浙江省,行业类
台州市椒江区一江山岛登陆战纪念馆,其他行业国有博物馆,3,0,561,浙江省,历史类
慈溪市上林湖越窑青瓷博物馆,非国有博物馆,2,0,313,浙江省,行业类
合肥子木园博物馆,非国有博物馆,0,0,2128,安徽省,文化类
大盘山博物馆,其他行业国有博物馆,4,1,1660,浙江省,文化类
普陀五匠博物馆,其他行业国有博物馆,1,0,257,浙江省,文化类
潘天寿纪念馆,文物系统国有博物馆,2,0,120,浙江省,历史类
台州市黄岩区陆光正木雕艺术馆,非国有博物馆,2,0,101,浙江省,艺术类
慈溪市珍丽民俗博物馆,非国有博物馆,2,0,250,浙江省,文化类
合山奇石博物馆,文物系统国有博物馆,2,20,660,广西壮族自治区,文化类
和林格尔蒙古文字文献博物馆,非国有博物馆,0,0,360,内蒙古自治区,文化类
