MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-Category-I.Population,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-Category-Population,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2000,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2010,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2012,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2013,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2014,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2015,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2016,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2017,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2018,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2019,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2020,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2021,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2022,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2023
"Mobile Phone Subscribers (10,000 households)",Number of Mobile Telephone                                (10 000 subscribers),501.0,6190.4,7588.9,8333.4,8664.1,9413.8,9594.5,9943.9,10569.6,10785.5,10907.1,11248.5,11700.4,12002.1
"Passenger Vehicle Ownership (10,000 units)",Number of Private Vehicles                                  (10 000 subscribers),112.3,842.7,1122.3,1277.4,1407.2,1553.6,1750.5,1952.9,2148.3,2351.0,2537.1,2736.8,2897.0,3030.5
Fourteen. Domestic Trade,Domestic Trade,,,,,,,,,,,,,,
Total Retail Sales of Consumer Goods (in 100 million yuan),Total Retail Sales of Consumer Goods                   (100 million yuan),2988.3,12028.3,15785.25,17703.85,19706.36,21550.95,23482.07,25527.94,27480.28,29251.18,29248.05,33714.54,33236.16,36141.83
Merchandise Retail,Retail Sales,,10829.15,14181.87,15926.53,17744.99,19346.19,20996.37,22794.81,24421.0,25895.16,26118.91,29886.32,29608.48,31796.35
Restaurant and Catering Revenue,Catering Income,,1199.15,1603.38,1777.32,1961.37,2204.76,2485.7,2733.13,3059.28,3356.02,3129.14,3828.22,3627.68,4345.48
"Fifteen, Foreign Economic Relations and Tourism",Foreign Trade and Tourism,,,,,,,,,,,,,,
Foreign Trade,Foreign Economy and Trade,,,,,,,,,,,,,,
Total Value of Customs Imports and Exports (in Ten Thousand U.S. Dollars),Total Value of Imports and Exports                               (10 000 USD),2498998,18895085,24554487,26715854,27711549,24174867,23420733,26305670,29239097,29628464,31844703,45386886,48124178,46438326
Customs Total Export Value (In Ten Thousand U.S. Dollars),Total  Exports                                                                    (10 000 USD),1552905,10424695,12873171,13450998,14474545,14406069,13715826,14710207,16013984,16143995,18903512,27184375,28807650,27616130
General Trade,General Trade,746563,4973019,6875045,7603996,8373918,9042024,8653875,9428956,11047764,11256710,13853845,19567326,20730233,20002902
Processing and Assembly Trade with Imported Materials,Processing and Assembling with,293008,750340,867657,866031,802064,739933,716557,651868,601424,605165,497612,553192,671168,667976
,Customer's Materials,,,,,,,,,,,,,,
Feed Processing Trade,Processing and Assembling with,507050,4230872,4566215,4392892,4734553,4183875,3904404,4151643,3918203,3496008,3466764,4257732,4915525,4651984
,Import Materials,,,,,,,,,,,,,,
Total Value of Customs Imports (In Ten Thousand U.S. Dollars),Total Imports                                                                        (10 000 USD),946093,8470390,11681316,13264856,13237004,9768798,9704906,11595464,13225113,13484469,12941191,18202512,19316527,18822195
Foreign Investment Utilization,Utilization of Foreign Capital,,,,,,,,,,,,,,
Number of Newly Established Foreign-Invested Enterprises (Units),Number of newly established Companies by foreign direct,2728,1632,1333,1405,1352,1509,1477,1479,2156,2517,3060,3064,2329,2518
,investment                                                                                      (unit),,,,,,,,,,,,,,
"Actual Use of Foreign Direct Investment (in 10,000 U.S. Dollars)",Direct Foreign Investments                                            (10 000 USD),297119,916833,1235267,1405315,1519511,1630090,1682556,1785731,2051636,1468933,1764763,2151578,2287422,1753076
Outward Contracting and Labor Cooperation,Foreign Contracted Projects Labor Cooperation,,,,,,,,,,,,,,
Contract Amount (in Ten Thousand US Dollars),Contracted Value                                                             (10 000 USD),61601,1092504,988209,1078349,1237694,1344383,1355479,1393003,1548846,1364140,1051092,1181608,1101849,915498
Turnover (in ten thousand U.S. dollars),Value of Business                                                            (10 000 USD),45229,602415,898864,940828,1021544,1120799,1195427,1278651,1314181,1256300,1030379,1016257,987405,1001396
Number of People Working Outside at Year-End (Persons),Population in Foreign Countries and Regions                    (person),35028,102149,103736,98988,115328,116100,119655,130384,125224,133849,89162,71218,60808,59819
Tourism,Tourism,,,,,,,,,,,,,,
Number of Overseas Tourists Received (Ten Thousand People),International Tourists                                       (10 000 person-times),72.3,366.8,469.9,452.7,445.7,460.8,485.5,494.4,513.1,521.3,52.8,,,
Foreigners,Foreigners,48.0,277.9,342.2,327.4,325.7,335.9,352.7,353.1,366.1,370.9,44.2,,,
"Hong Kong, Macao, and Taiwan Compatriots",Compatriots from Hong Kong,24.3,88.9,127.7,125.3,120.0,124.9,132.8,141.3,147.0,150.4,8.6,,,
,Macao and  Taiwan,,,,,,,,,,,,,,
"Foreign Exchange Income from Tourism (10,000 yuan)",Foreign Exchange Earnings                               (10 000 yuan),260839,1458866,1845554,1691487,1667300,1804062,2034836,2143055,2226223,2354552,144162,,,
Foreign Exchange Income from Tourism (in Ten Thousand US Dollars),Foreign Exchange Earnings                              (10 000 USD),31513,215506,292365,273120,271424,289651,306345,317405,336420,341314,20900,,,
RMB against major foreign currencies,Average Exchange Rate of RMB Yuan Against Main,,,,,,,,,,,,,,
Annual Average Exchange Rate (Mid-price),Convertible Currencies (Middle Rate),,,,,,,,,,,,,,
100 U.S. dollars (RMB yuan),100 US Dollars                                                    (RMB yuan),827.84,676.95,631.25,619.32,614.28,622.84,664.23,675.18,661.74,689.85,689.76,645.15,672.61,704.67
100 Yen (RMB Yuan),100 Japanese Yen                                                (RMB yuan),7.69,7.73,7.9,6.33,5.82,5.15,6.12,6.02,5.99,6.33,6.46,5.87,5.13,5.04
100 Hong Kong dollars (RMB yuan),100 Hong Kong Dollars                                       (RMB yuan),106.18,87.13,81.38,79.85,79.22,80.34,85.58,86.64,84.43,88.05,88.93,83.0,85.89,90.02
100 Euros (RMB),100 Euros                                                             (RMB yuan),,897.25,810.67,822.19,816.51,691.41,734.26,763.03,780.16,772.55,787.55,762.93,707.21,764.25
Sixteen. Education,Education,,,,,,,,,,,,,,
Ordinary Higher Education Institutions,Regular Institutions of Higher Education,,,,,,,,,,,,,,
Number of Schools (Units),Number of Schools                                                        (unit),58,133,137,140,142,143,144,145,145,146,152,153,153,156
Enrollment Number         (People),New Enrollment                                                         (person),124817,495722,498621,527539,580763,595646,624408,612660,629065,741661,729927,780954,853325,908800
Number of Students Enrolled (People),Total Enrollment                                                        (person),303826,1631373,1658490,1698545,1796665,1900612,1995880,2015345,2040793,2183944,2291481,2429912,2527073,2672548
Number of Graduates (People),Graduates                                                                   (person),49687,444003,474266,475858,464076,474195,509142,571220,585871,577980,605379,617855,734267,745225
Staff and Teachers Number (Person),Teachers and Staff                                                      (person),54910,139100,142370,142240,143939,147035,150345,154311,158526,164932,172041,177805,182225,189835
Full-time Teachers        (Person),Full-time Teachers                                                     (person),24764,91413,96058,98685,101380,104724,107748,110807,112717,117609,124215,129888,135492,144793
Basic Situation of Secondary Vocational Schools,Secondary Professional Schools,,,,,,,,,,,,,,
Number of Schools (Units),Number of Schools                                                        (unit),243,640,560,525,460,435,428,401,398,391,397,400,414,413
Enrollment Number         (People),New Enrollment                                                         (person),93493,426954,404670,363547,319143,294033,288180,261190,245355,267223,297527,293603,299584,300762
Number of Graduates (People),Graduates                                                                   (person),103629,439337,380451,378626,354032,320353,286687,248347,250210,259891,233426,221047,253917,290260
Number of Students Enrolled (People),Total Enrollment                                                        (person),333184,1131621,1147012,1031585,948167,857264,809826,793357,750142,730464,777416,839144,880975,882941
Staff and Teachers Number (Person),Teachers and Staff                                                      (person),37241,78769,71449,66810,64488,62319,60613,60408,59304,58249,58824,60026,62874,66107
Full-time Teachers        (Person),Full-time Teachers                                                     (person),20409,55465,52430,50243,49274,48926,48244,48659,48269,48099,49169,53576,56263,59389
Basic Situation of Ordinary Secondary Schools,Regular Senior Secondary Schools,,,,,,,,,,,,,,
Number of Schools (Units),Number of Schools                                                         (unit),4575,3645,3522,3464,3461,3446,3504,3560,3671,3791,3920,4019,4055,4109
"Enrollment Numbers (10,000 people)",New Enrollment                                            (10 000 persons),234.18,164.12,159.88,158.53,153.58,151.12,160.35,164.39,164.26,176.1,187.62,187.58,192.21,199.25
"Graduates Number (10,000 people)",Graduates                                                      (10 000 persons),167.96,156.89,153.2,156.04,153.73,156.01,157.62,151.42,148.46,157.56,166.72,163.43,172.84,185.67
"Number of Students Enrolled (10,000 people)",Total Enrollment                                           (10 000 persons),678.6,501.07,492.64,488.48,486.06,479.93,482.41,494.85,509.93,528.13,548.68,570.76,587.63,598.89
Staff and Teachers Number (Person),Teachers and Staff                                                      (person),430754,438787,464942,466088,471653,475798,484579,502004,515123,536931,558935,586421,590836,597284
Full-time Teachers        (Person),Full-time Teachers                                                     (person),350353,372082,376819,382340,386923,390059,397471,410339,419903,435808,453428,471988,478343,482535
Basic Situation of Technical Schools,Technical Schools,,,,,,,,,,,,,,
Number of Schools (Units),Number of Schools                                                        (unit),279,209,213,207,203,194,194,194,181,181,181,194,207,215
Enrollment Number         (People),New Enrollment                                                         (person),48008,136995,154546,144165,128007,131550,133600,129109,135184,151122,173803,169851,172380,184243
Number of Graduates (People),Graduates                                                                   (person),66546,133615,113066,121782,108046,98154,89629,103815,96351,91679,95962,104221,127154,134699
Number of Students Enrolled (People),Total Enrollment                                                        (person),137718,397719,401207,369922,329473,318182,335348,332634,329897,355409,405418,442034,455069,447812
Staff and Teachers Number (Person),Teachers and Staff                                                     (person),24484,18183,29909,30860,29404,29228,29133,29294,29388,29438,29943,32647,33658,30859
Full-time Teachers        (Person),Full-time Teachers                                                    (person),14066,14962,21451,23977,23000,22613,22908,22565,22525,22294,23573,26284,26793,
Basic Conditions of Primary Schools,Regular Primary Schools,,,,,,,,,,,,,,
Number of Schools (Units),Number of Schools                                                      (unit),26017,12405,11573,11151,10770,10404,10027,9738,9674,9646,9619,9458,9063,8654
Enrollment Number (Ten Thousand People),New Enrollment                                         (10 000 persons),104.5,111.3,109.6,115.7,124.7,124.4,123.9,127.0,129.6,127.9,129.6,137.9,130.6,180.2
"Graduates Number (10,000 people)",Graduates                                                   (10 000 persons),195.1,110.3,106.2,103.3,101.0,98.9,107.2,111.0,111.5,117.8,125.2,125.7,125.4,128.4
"Number of Students Enrolled (10,000 people)",Total Enrollment                                        (10 000 persons),774.9,629.3,627.7,626.0,648.5,674.6,691.3,708.5,726.0,738.6,743.3,755.8,760.6,812.1
Teaching and Staff Numbers (People),Teachers and Staff                                                   (person),440161,417504,387203,383692,378886,379239,386405,391838,392333,396465,400114,410021,410354,415138
Full-time Teachers (People),Full-time Teachers                                                 (person),408200,387453,382562,387312,389080,396368,408856,421877,430702,442729,454285,468276,467563,477406
Basic Situation of Adult Higher Education Institutions,Adult Institutions of Higher Education,,,,,,,,,,,,,,
Number of Schools (Units),Number of Schools                                                     (unit),40,18,17,11,11,11,11,11,11,11,11,11,11,11
Enrollment Number (People),New Enrollment                                                      (person),82423,133191,166515,165522,178737,163012,179199,157559,233966,292911,414972,451062,529350,524242
Number of Graduates (People),Graduates                                                                (person),70810,110347,120404,128297,147592,161377,167440,279185,181058,158662,223507,280241,397487,429796
Number of Students Enrolled (People),Total Enrollment                                                     (person),219977,388741,428180,459803,485274,484493,502274,375102,426995,556026,742379,906118,1032978,1124505
Teaching and Staff Numbers (People),Teachers and Staff                                                  (person),14090,4225,4286,2843,2259,2200,1604,1580,1479,1257,1248,1140,1262,1296
Full-time Teachers (People),Full-time Teachers                                                 (person),7084,2946,2917,1982,1544,1493,1082,1048,970,785,777,702,764,762
Seventeen. Science and Technology,Science and Technology,,,,,,,,,,,,,,
Important Scientific and Technological Achievements,Major Scientific Achievements,,,,,,,,,,,,,,
Number of Achievements         (Items),Number of Achievements                                           (unit),3728,2367,2393,2332,2955,3011,3016,2537,1791,2552,2342,2908,3075,3529
Agriculture (Item),Agricultural                                                             (unit),575,391,338,297,440,385,421,363,232,316,338,329,346,294
Industry (Item),Industry                                                                   (unit),1289,751,853,866,1095,1019,919,796,451,807,673,754,820,1113
International Leading Advanced Level (Items),Internationally Advanced                                            (unit),599,676,609,681,817,967,762,610,416,735,485,638,730,875
Domestic Leading Advanced Level (Items),Nationally Advanced                                                  (unit),2861,1316,1349,1067,1146,1212,1095,973,682,957,988,1002,1066,1367
Patent Situation,Patent Applications,,,,,,,,,,,,,,
Application Volume (Pieces),Number of Patent Applications Examined                  (unit),10019,80856,128614,155170,158619,193220,212911,204861,238795,263407,369349,369470,408136,424640
Authorized Quantity (Pieces),Number of Patent Applications Granted                     (unit),6962,51490,75522,76976,72818,98101,98093,100522,132382,146481,238778,329838,342290,273523
# Invention Patents (Pieces),Inventions                                                                    (unit),,4106,7454,8913,10538,16881,19404,19090,20338,20652,26745,36345,48696,55318
Eighteen. Health and Culture,Health and Culture,,,,,,,,,,,,,,
Number of Health Institutions (Units),Number of Health Institutions                                          (unit),17118,16496,68840,75475,77066,77435,77050,79099,81512,83661,84870,85716,86024,88195
# Hospitals (Health Centers) (Units),Hospitals and Township Hospitals                                 (unit),3150,3099,3188,3426,3491,3556,3643,4108,4219,4203,4202,4194,4191,4352
Number of beds in health institutions (ten thousand beds),Number of Beds in Health Institutions               (10 000 units),21.5,38.2,47.3,49.0,50.0,51.9,54.3,58.5,60.8,63.0,64.7,67.4,69.4,73.9
Healthcare and Technical Personnel (Ten Thousand People),Medical Technical Personnel                         (10 000 persons),31.5,44.1,53.0,59.8,60.4,61.9,64.3,68.9,73.9,78.3,81.4,85.3,87.6,93.5
Licensed (Assistant) Physicians (Ten Thousand People),Licensed (Assistant) Doctors                     (10 000 persons),14.5,17.8,20.0,23.2,23.1,23.7,24.5,26.5,29.0,31.5,32.9,34.3,35.0,37.2
"Registered Nurse (10,000 people)",Registered Nurse                                        (10 000 persons),9.2,15.6,19.2,24.0,24.6,25.4,26.9,29.4,32.3,34.1,35.6,37.6,38.7,41.8
Culture (Art) Museum,Cultural( Arts) Centers,,,,,,,,,,,,,,
Number of Institutions         (Units),Number of Institutions                                                 (unit),159,158,158,159,158,157,157,157,157,157,158,158,158,158
Number of People (People),Number of Employed Persons                                 (person),3055,3055,3033,3062,3047,3034,3006,2978,2950,2864,2887,2974,2993,3058
Cultural Station,Cultural Stations,,,,,,,,,,,,,,
Number of Institutions         (Units),Number of Institutions                                                 (unit),2422,1855,1821,1807,1811,1814,1816,1815,1819,1815,1821,1821,1823,1823
Number of People (People),Number of Employed Persons                                 (person),3304,4543,4987,4915,5181,5534,5262,5334,5329,5581,5628,6194,6129,6571
Art Performance Groups,Arts Performance Troupes,,,,,,,,,,,,,,
Number of Institutions         (Units),Number of Institutions                                                 (unit),118,119,104,103,104,104,103,105,105,104,103,101,101,92
Number of People (People),Number of Employed Persons                                 (person),5943,6268,5722,5557,5728,5368,5651,5689,5539,5665,5381,5237,4987,4700
Theatre(s),Theaters and Music Halls,,,,,,,,,,,,,,
Number of Institutions         (Units),Number of Institutions                                                 (unit),105,91,93,93,93,92,93,100,106,93,87,82,77,65
Number of People (People),Number of Employed Persons                                 (person),2473,1904,2083,1719,1734,1632,1602,1821,1902,1732,1712,1618,1459,1495
Library,Libraries,,,,,,,,,,,,,,
Number of Institutions         (Units),Number of Institutions                                                 (unit),133,149,150,153,153,154,154,154,154,154,154,153,153,153
Number of People (People),Number of Employed Persons                                 (person),2506,2680,2647,2760,2730,2750,2828,2877,2843,2816,2904,2995,3182,3256
Museum,Museums,,,,,,,,,,,,,,
Number of Institutions         (Units),Number of Institutions                                                 (unit),59,114,178,194,243,312,393,485,517,541,577,629,665,348
Number of People (People),Number of Employed Persons                                 (person),1633,2456,4353,4748,5369,6310,7152,7976,8059,8319,8871,10114,10391,8247
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Note: 1. The year-end resident population in 2000 and 2010 are from the population census, the 2020 figure is an estimated number based on the seventh population census data, and the rest are from population sample surveys. The figures in parentheses are the public security registered population numbers.",,,,,,,,,,,,,,,
"2. Based on the results of the seventh population census, the year-end total population and related indicators, as well as per capita GDP data for the entire province from 2011 to 2019, have been revised.",,,,,,,,,,,,,,,
"3. According to the results of the seventh population census, the data on the number of employed persons and related indicators at the end of the year in the province from 2000 to 2019 have been revised.",,,,,,,,,,,,,,,
"4. Since 2010, the data on the number of employees at year-end, total wages of employed personnel, and average wages of employed personnel are based on the urban non-private units' scope.",,,,,,,,,,,,,,,
"5. Based on the results of the fourth economic census, the province's GDP and related data for 2000–2018 have been revised.",,,,,,,,,,,,,,,
"6. Since 2009, primary electricity includes hydropower, wind power, nuclear power, biomass power generation, and solar photovoltaic power generation; the 2000 data refers to hydropower.",,,,,,,,,,,,,,,
7. The household deposit data for 2014 and earlier are based on the savings deposit classification.,,,,,,,,,,,,,,,
"8. Since 2013, the whole province has implemented the integrated reform of urban and rural household surveys. According to the unified national regulations, in 2018, historical data on residents' income and expenditure surveys were revised according to the new indicator criteria.",,,,,,,,,,,,,,,
"9. In 2014, the Ministry of Transport revised the trial scheme for the statistics of highway and waterway transportation volume, and the statistical scope changed.",,,,,,,,,,,,,,,
"10. The total volume of telecommunications services in 2000 is calculated based on the constant prices of 1990, and that in 2010 is calculated based on the constant prices of 2000. The total volume of telecommunications services from 2011 to 2015 is calculated based on the prices of 2010;",,,,,,,,,,,,,,,
"From 2016 to 2020, calculated at 2015 prices; since 2021, calculated at the previous year's constant prices.",,,,,,,,,,,,,,,
"11. Since 2019, the volume of road freight transport has adopted data from the national road freight transport special survey, and is not comparable with data from previous years.",,,,,,,,,,,,,,,
"12. Since 2020, the volume and turnover of railway passenger and freight transportation refer to the data within Shandong Province of Jinan Bureau, Beijing Bureau, and Zhengzhou Bureau, with the scope being national railways; the railway operating mileage includes local railways.",,,,,,,,,,,,,,,
"13. Since 2004, a new foreign investment statistical system has been implemented, eliminating the part of external borrowing. The data on foreign direct investment are figures provided by the Ministry of Commerce. In 2008, the actual use of foreign capital adopted a comprehensive statistical approach.",,,,,,,,,,,,,,,
"Starting from 2019, the actual use of foreign capital adopts the口径 (criteria) reported by the Ministry of Commerce, excluding shareholder loans and investments by investment companies, and contracted foreign capital is no longer statistically recorded.",,,,,,,,,,,,,,,
"14. Since 2010, the data for secondary specialized schools has been adjusted to the criteria for secondary vocational schools.",,,,,,,,,,,,,,,
"15. Due to the impact of the COVID-19 epidemic, the calculation of inbound tourism data was suspended starting from 2021, and the related data calculation was resumed in 2024.",,,,,,,,,,,,,,,
"16. Since 2011, the number of medical and health institutions includes village health rooms; since 2013, it also includes some family planning technical service institutions.",,,,,,,,,,,,,,,
"17. Before 2017, the number of patent applications referred to the number of patent applications accepted by the National Intellectual Property Administration; since 2017, it refers to the number of patent applications accepted by the National Intellectual Property Administration with the required application fees paid in full according to regulations.",,,,,,,,,,,,,,,
"Fee, number of patent applications that meet the conditions for entering the preliminary examination stage.",,,,,,,,,,,,,,,
"18. Since 2023, the statistical scope of museums has been adjusted to state-owned museums.",,,,,,,,,,,,,,,
"a) Data of 2000 and 2010 are based on the national census,that of 2020 are calculated according to the data of the Seventh National Census,and others",,,,,,,,,,,,,,,
are based on the sample surveys.Data in the brackets are taken from the annual of the Public Security Departments.,,,,,,,,,,,,,,,
"b) According to the Seventh National Census,the data of Total population,GDP per capita from 2011 to 2019 of Shandong Province have been revised.",,,,,,,,,,,,,,,
"c) According to the Seventh National Census,the data of Employed Persons from 2000 to 2019 of Shandong Province have been revised.",,,,,,,,,,,,,,,
"d) Since 2010, data of number of Staff and Workers,Total Wages Bill,Average Wage refer to the range of employed persons on the job of Urban Non.",,,,,,,,,,,,,,,
"e) According to the Fourth National Economic Census, the data of GDP from 2000 to 2018 have been revised.",,,,,,,,,,,,,,,
"f) Since 2009, Primary Electricity includes that generated by hydro power, wind power, nuclear power, bio-energy and solar PV power. Data of 2000 refer to hydro power.",,,,,,,,,,,,,,,
g) Data of Household Deposits before 2014 refers to Urban and Rural Household Savings Deposits .,,,,,,,,,,,,,,,
"h)An integrated household survey programme has been implemented since 2013,instead of the two separate urban and rural household surveys.In 2018",,,,,,,,,,,,,,,
"according to national uniform regulation,the historical data of residents'income and expenditure are revised according to the new survey programme.",,,,,,,,,,,,,,,
"i) The pilot statistical investigation program on passenger highway and turnover was revised in 2014,and the statistical scope was adjusted.",,,,,,,,,,,,,,,
"j) Business volume of telecommunication service of 2000 was calculated at 1990 constant prices, and that of 2010 was calculated at 2000 constant",,,,,,,,,,,,,,,
"prices, and that from 2011 to 2015 was calculated at 2010 constant prices,and that from 2016 to 2020 was calculated at 2015 constant prices, and",,,,,,,,,,,,,,,
"since 2021, that was calculated at the last year constant prices.",,,,,,,,,,,,,,,
"k) The road freight volume adopts the special survey data of national road freight volume since 2019, and not comparable with the previous.",,,,,,,,,,,,,,,
"l) Since2020, the railway passenger and freight volume and turnover refer to the data of Jinan Bureau,Beijing Bureau and Zhengzhou Bureau in Shandong Province,",,,,,,,,,,,,,,,
"the caliber is national railway,and the data of railways length includes the local railways.",,,,,,,,,,,,,,,
"m) Since 2004,foreign loads is canceled according to the new statistical system on foreign investments, data of foreign direct investments come from the",,,,,,,,,,,,,,,
"Ministry of Commerce.In 2008 the foreign capital actually utilized is changed to the actual received foreign capital.From 2019,Actual use of foreign",,,,,,,,,,,,,,,
"capital uses Bulletin of the Ministry of Commerce,does not contain shareholder loan and the investment from investment companies,and contract",,,,,,,,,,,,,,,
foreign investment is no longer counted.,,,,,,,,,,,,,,,
n) Data of secondary professional schools refer to the caliber of secondary vocational school since 2010 .,,,,,,,,,,,,,,,
"o) Since 2021,the accounting of inbound tourism data has been suspended due to the impact of COVID-19,which has been restarted in 2024.",,,,,,,,,,,,,,,
"p) Since 2011,the number of health institutions includes village clinics, and since 2013, it includes family planning technical services institutions.",,,,,,,,,,,,,,,
"1) Before 2017, the amount of patent application refers to the number of patent applications accepted by the State Intellectual Property Office; from",,,,,,,,,,,,,,,
"2017, it refers to the amount of application fees paid by the State Intellectual Property Office and the number of patent applications that have entered",,,,,,,,,,,,,,,
the preliminary examination stage.,,,,,,,,,,,,,,,
"r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.","r) Since 2023, statistical caliber of museums has been adjusted to the number of State owned museums.",,,,
