附件2-平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-序号-序号-序号-序号,附件2-平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目名称-项目名称-项目名称-项目名称,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设性质（新建或续建）-建设性质（新建或续建）-建设性质（新建或续建）-建设性质（新建或续建）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设起止年限-建设起止年限-建设起止年限-建设起止年限,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设内容与规模-建设内容与规模-建设内容与规模-建设内容与规模,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-投资估算（万元）-投资估算（万元）-投资估算（万元）-投资估算（万元）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-筹资方式（资金来源）-筹资方式（资金来源）-筹资方式（资金来源）-筹资方式（资金来源）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-项目效益情况-项目效益情况-项目效益情况,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-利益联结机制（联农带农机制）-利益联结机制（联农带农机制）-利益联结机制（联农带农机制）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益村数（个）-受益村数（个）-脱贫村,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益村数（个）-受益村数（个）-其他村,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-小计,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-脱贫户（含监测对象）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-其他农户,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-小计,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-脱贫人口数（含监测对象）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-其他人口数,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目主管单位-项目主管单位-项目主管单位-项目主管单位,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目实施单位-项目实施单位-项目实施单位-项目实施单位,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-入库时间-入库时间-入库时间-入库时间,备注-备注-备注-备注
24,共和镇西合村高效节水灌溉引水管道建设项目,新建,2025.3-2025.10,西合村,配套100级PEφ400/0.8MPa管道2756m，配套100级PEφ355/0.8MPa管道7563m，配套100级PEφ200/0.8MPa管道681m，检查井9座，排气井6座。720,720,,减少水资源浪费，增加群众产业收入。,,,1,0,0,0,0,0,0,"农业
农村局",共和镇,2024,
25,共和镇兄弟水村高效节水灌溉引水管道建设项目,新建,2025.3-2025.10,兄弟村,铺设输水管道3.3公里，PEφ200，检查进3个,60,,改善产业种植灌溉面积1500亩。,,,1,0,0,0,0,0,0,"农业
农村局",共和镇,2024,
26,"共和镇毛河洛村机井维修
项目",新建,2025.3-2025.10,"毛河
洛村",机井配套设备125水泵、63千瓦机井电子4套，125扬水管180m。,18,"衔接
资金",可以提升机井的工作效能，保障农作物的及时灌溉，预防因旱灾造成的减产。提高农户收入。,,1,,0,0,0,0,0,0,水务局,共和镇,2024,
27,平川区和镇高效节水灌溉改造提升项目,续建,2025.3-2025.10,毛卜拉村,平整土地3182亩，土壤改良9504亩，铺设田间管网15.82公里，建田间道路17.43公里。,302,"衔接
资金",解决本村4500亩耕地灌溉问题，发展特色产业，增加收入。,,,1,0,0,0,0,0,0,"农业
农村局",共和镇,2024,
28,共和镇毛卜拉村旱地西瓜种植产业蓄水池,新建,2025.3-2025.10,"毛卜
拉村",新建1500m³蓄水池一座，铺设100级Ф110PE管590m。,34,"衔接
资金",解决1500余亩旱地西瓜种植用水，提高农户收入。,,,1,0,0,0,0,0,0,水务局,共和镇,2024,
29,共和镇小水村特色种植高效节水蓄水池建设项目,新建,2025.3-2025.10,小水村,新建1座8300m³蓄水池，配套1.0MPaФ160PE100级管道1803米，泵房1座、机电设备。,136,"衔接
资金",改善产业种植灌溉面积1200亩。,,,1,0,0,0,0,0,0,水务局,共和镇,2024,
30,共和镇小水村渠道衬砌项目,新建,2025.3-2025.10,小水村,小水村渠道衬砌3公里，采用U50渠道.,38,"衔接
资金",改善农田灌溉条件，增加有效灌溉面积2000亩，发展农业产业，以产业振兴促进乡村全面振兴。,,,1,0,0,0,0,0,0,"农业
农村局",共和镇,2024,
31,共和镇中和村高效节水灌溉项目,新建,2025.3-2025.10,中和村,建设高标准3000亩，配套高效节水灌溉设施1套,1020,"衔接
资金",有效地解决1200亩农田农业灌溉用水，为农户增加收入。,,,1,0,0,0,0,0,0,水务局,共和镇,2024,
32,复兴乡汉口村农田灌溉节水工程项目,新建,2025,复兴乡,汉口村新建100级PE管Φ90，1.0MPa主管道4500米，100级PE管Φ75，1.0MPa 管道3650米，100级PE管中63，1.6MPa(竖管)管道 420米，闸阀井4座，排水井4座，15平方米管理房1座及附属工程。,102,"衔接
资金",项目建设完成后，土地资源、水利资源得到了合理的利用，也解决了1600亩土地灌溉困难问题。,,1,,0,0,0,0,0,0,"农业
农村局",复兴乡,2024,
33,"复兴乡农田灌溉节水工程
项目",新建,2025.3-2025.10,汉口村,在复兴乡汉口村新建5000方蓄水池2座，配套水肥一体化管道。,100,"衔接
资金",解决3000亩农田灌溉用水困难，节约用水成本，增加当地群众收入。,,3,,0,0,0,0,0,0,"农业
农村局",复兴乡,2024,
34,种田乡五星村高位水池建设项目,新建,2025.3-2025.10,五星村,在五星村新建4万立方米高位水池1座,400,"衔接
资金",提升水资源利用、保障土地有效灌溉、提高农作物产量、增加村民收入。,,,1,0,0,0,0,0,0,水务局,种田乡,2024,
35,黄峤镇焦口村玉米小麦产业灌溉蓄水池建设项目,新建,2025.3-2025.10,焦口村,新建1500m³蓄水池一座。,18,"衔接
资金",解决闫高崖社、八台社村民的650亩土地土地灌溉问题带动，增加群众种植收入。,,1,0,0,0,0,0,0,0,水务局,黄峤镇,2024,
36,黄峤镇双铺村种植产业机井灌溉管道更换项目,新建,2025.3-2025.10,双铺村,铺设100级PE管816m。,15,"衔接
资金",解决双铺村全村543户2165人的农田灌溉，增加农民收入，确保粮食生产。,,,1,0,0,0,0,0,0,"农业
农村局",黄峤镇,2024,
37,黄峤镇峤山村玉米小麦种植产业供水管道铺设项目,集体,2025.3-2025.10,峤山村,购置75千瓦抽水泵1台，维修上川社原有200立方蓄水池，同时铺设PVC管道125mm820米、90mm795米、75mm1863米、50mm2494米、滴灌软管32mm5000米以及检查总井、分井等配套设施。,48,"衔接
资金",大幅改善农作物种植条件，带动村民增产增收。,,1,0,0,0,0,0,0,0,"农业
农村局",黄峤镇,2024,
38,黄峤镇玉湾村产业种植管道更新项目,新建,2025.3-2025.10,玉湾村,铺设100级Ф160PE管4058m。,91,"衔接
资金",改善有效灌溉面积400亩。,,,1,0,0,0,1,0,1,"农业
农村局",黄峤镇,2024,
39,黄峤镇玉湾村高效节水灌溉引水管道建设项目,新建,2025.3-2025.10,玉湾村,铺设100级Ф200PE管1090m，首部系统1套，输电线路200m。,52,"衔接
资金",改善产业种植灌溉面积1000亩。,,,1,0,0,0,0,0,0,"农业
农村局",黄峤镇,2024,
40,黄峤镇马饮水村高效节水灌溉引水管道建设项目,新建,2025.3-2025.10,马饮水村,铺设输水管道980米，PEφ200，检查进3个,25,"衔接
资金",改善产业种植灌溉面积1500亩。,,,1,0,0,0,0,0,0,"农业
农村局",共和镇,2024,
41,王家山镇井尔川村循环农业滴灌项目,新建,2025.3-2025.10,"井尔
川村",新庄沟520亩水地滴灌项目。新建110CM4公里、修建40个检查井。1万方水池配套设施。,100,"衔接
资金",有效整治部分撂荒土地、节省水资源、提高农作物产量、增加村民收入。,,1,,0,0,0,0,0,0,"农业
农村局","王家
山镇",2024,
42,王家山镇于大川村循环农业滴灌项目,新建,2025.3-2025.10,"于大
川村",新建5000方蓄水池一座，铺设110管道4公里、检查井40个。,100,"衔接
资金",改善产业种植灌溉面积500   亩。,,1,,0,0,0,0,0,0,"农业
农村局","王家
山镇",2024,
43,王家山镇于大川村养殖小区提升改造项目,新建,2025.3-2025.10,"于大
川村",拆除重建草料库8间、单体圈8间、大圈7间，新建排水管300米，修整塌陷水泥场地200平方米。,62,"衔接
资金",消除安全隐患,,1,0,0,0,0,0,0,0,"农业
农村局","王家
山镇",2024,
44,"王家山镇万庙村渠道衬砌
项目",新建,2025.3-2025.10,万庙村,"1.50U型槽4700米：常大川社2000米、武拐社500米、张大坝东、西社2200米；
2.直径400mm螺纹管300米：吊掌子社300米。",80,"衔接
资金",解决灌溉难的问题,,,1,0,0,0,0,0,0,"农业
农村局","王家
山镇",2024,
45,王家山镇大营水村石碑子社循环农业田间配套管网项目,新建,2025.3-2025.10,"大营
水村",铺设管道8.5km（Φ200的引水管3.5km，Φ90的引水管5km），修建检查井7个，铁闸阀5个及其他管件等。,85,"衔接
资金",解决灌溉难的问题,,,1,0,0,0,0,0,0,"农业
农村局","王家
山镇",2024,
46,王家山镇大营水村特色中药材种植基础设施配套项目,新建,2025.3-2025.10,"大营
水村",铺设热熔PE160管道889km，加压泵一个。,25,"衔接
资金",解决灌溉难的问题,,,1,0,0,0,0,0,0,"农业
农村局","王家
山镇",2024,
47,共和镇毛河洛玉米种植产业高效节水蓄水池建设项目,新建,2025.3-2025.10,西合村,建设5000m³蓄水池1座，配套高效节水灌溉系统一套,195,"衔接
资金",减少水资源浪费，增加群众产业收入,,,1,0,0,0,0,0,0,"农业
农村局",共和镇,2024,
48,旱坪川电灌工程泵站维修养护项目,续建,2025年-2025年,水泉镇陡城村、杨岭村、旱平川村、贾庄村、双岔村,9座泵站37套水泵机组和机电设备进行维修养护。,54,"衔接
资金",可统筹改善灌区5.23万亩农田灌溉用水需求，缩短灌溉轮次，缓解灌区用水供需矛盾。能够有效巩固水泉镇8个村脱贫户315户1145人农业增产增收撑。,,,8,1,0,1,4,1,3,水务局,电灌局,2024.1,
⑵,产业路,,,,,428,,,,,,,,,,,,,,,
1,水泉镇杨岭村玉米产业道路硬化项目,新建,2025.3-2025.10,杨岭村,硬化宽3.5米，厚18厘米产业道路2209米。,91,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,水泉镇,2024,
2,水泉镇枣园村玉米产业道路硬化项目,新建,2025.3-2025.10,枣园村,硬化道路2km，宽度3.5m，厚度18cm。,90,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,水泉镇,2024,
3,水泉镇双岔村玉米种植产业道路硬化项目,新建,2025.3-2025.10,双岔村,硬化宽3.5米，厚18厘米产业道路1224米，硬化宽3米，厚18厘米产业道路529米。,71,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,水泉镇,2024,
4,水泉镇双岔村枣树台玉米种植产业道路硬化项目,新建,2025.3-2025.10,双岔村,硬化宽4.5米，厚18厘米产业道路598米。,32,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,水泉镇,2024,
5,水泉镇陡城村蔬菜产业道路硬化项目,新建,2025.3-2025.10,陡城村,硬化宽3米，厚18厘米产业道路800米。,24,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,水泉镇,2024,
6,"宝积镇墩墩滩村小麦、玉米产业路硬化
项目",新建,2025.3-2025.10,墩墩滩村,硬化宽3.5米，厚18厘米产业道路766米。,32,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,宝积镇,2024,
7,宝积镇小川村小麦、玉米产业路硬化项目,新建,2025.3-2025.10,小川村,硬化宽3.5米，厚18厘米产业道路1650米。,68,"衔接
资金",改善群众出行和农副产品运输难问题。,,1,,0,0,0,0,0,0,交通局,宝积镇,2024,
8,黄峤镇双铺村养殖区产业道路硬化项目,新建,2025.3-2025.10,双铺村,在双铺村路家大地路口（G341路边）至后坡屲新建产业道路2公里，路面宽3.5米，厚度为0.18米，左右路肩各0.25米为夯土垫方。,76,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,黄峤镇,2024,
㈢,"金融保险
配套",,,,,170,,,,,,,,,,,,,,,
1,小额贷款贴息资金,新建,2025.3-2025.10,各乡镇,脱贫小额贷款贴息资金。,170,"衔接
资金",依托贷款发展生产，减轻低收入人口贷款负担。年贴息率按当年国家基准利率给予贴息。,,15,46,0,0,0,0,0,0,"农业
农村局",各乡镇,2024,
二,就业帮扶,,,,,376,"衔接
资金",,,,,,,,,,,,,,
1,"乡村公益性
岗位",新建,2025.1-2025.12,"7个乡镇61
个村",乡村公益性岗位合计250人，每人每年发放6000元（按月发放），共需资金150万元（包含省级资金46.2万元）,104,"衔接
资金",解决250名脱贫人口（含检测对象）就地就业,,61,,0,0,,0,0,,人社局,人社局,2024,
2,(爱心助残员）公益性岗位,新建,2025.1-2025.12,"7个乡镇61
个村",(爱心助残员）公益性岗位合计61人，每人每月500元。,37,"衔接
资金",解决残疾人员就业，提供生活保障。,,61,,0,0,,,,,残联,残联,2024,
3,就业帮扶车间（工厂）,新建,2025.1-2025.12,"10家
车间",务工满6个月，0.3万元/人标准发放，吸纳就业补贴预计奖补70人。,21,"衔接
资金",解决就业补贴困难问题,,10,,0,0,,0,0,,人社局,人社局,2024,
4,务工交通补贴,新建,2025.1-2025.12,"7个乡镇61
个村",按照省外务工600元，省内300元标准，“定额预付”补贴人数不少于1167人。,50,"衔接
资金",解决就业补贴困难问题,,61,,0,0,,0,0,,人社局,人社局,2024,
5,“雨露计划”职业教育,新建,2025.3-2025.12,各乡镇,2025年“雨露计划”职业教育补助1070人，其中2025年春季1070人，160.5万元；2025年秋季1070人，160.5万元。（每人每年分两次补助，总计3000元）。,321,"衔接
资金",通过实施雨露计划，确保巩固脱贫攻坚成果。,,15,46,0,0,,0,0,,"农业
农村局","农业
农村局",2024,
三,"乡村建设
行动",,,,,4487,,3696,,,,,,,,,,,,,
㈠,农村公共基础设施建设,,,,,3745,,,,,,,,,,,,,,,
⑴,道路建设,,,,,1437,,,,,,,,,,,,,,,
1,水泉镇贾庄村道路硬化项目,新建,2025.3-2025.10,贾庄村,硬化道路3km，宽度3.5m，厚度18cm。,147,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,水泉镇,2024,
2,水泉镇水泉村道路硬化项目,新建,2025.3-2025.10,水泉村,硬化宽3米，厚18厘米1193米。,36,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,水泉镇,2024,
3,"水泉镇大黄湾村道路硬化
项目",新建,2025.3-2025.10,"大黄
湾村",硬化道路2km，宽度3.5m，厚度18cm。,90,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,水泉镇,2024,
4,"水泉镇枣园乡村道路硬化
项目",新建,2025.3-2025.10,枣园村,硬化宽3米，厚18厘米2450米。,74,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,水泉镇,2024,
5,宝积镇冯园村道路硬化项目,新建,2025.3-2025.10,冯园村,硬化宽3米，厚18厘米2913米。,87,"衔接
资金",改善群众出行难问题。,,,1,0,0,0,0,0,0,交通局,宝积镇,2024,
6,宝积镇尖山村村内道路硬化项目,新建,2025.3-2025.10,尖山村,硬化村内巷道3公里，宽3米。,93,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,宝积镇,2024,
7,宝积镇墩墩滩村村内道路硬化项目,新建,2025.3-2025.10,"墩墩
滩村",硬化宽4米道路2公里,96,"衔接
资金",改善群众出行难问题,,,1,0,0,0,0,0,0,交通局,宝积镇,2024,
8,"宝积镇魏家地村道路硬化
项目",续建,2025.3-2025.10,"魏家
地村",硬化长1.5公里，宽5米的道路。,100,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,宝积镇,2024,
9,宝积镇贺家川村道路硬化建设项目,新建,2025.3-2025.10,"贺家
川村",硬化宽3米，18厘米厚道路2公里。,65,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,宝积镇,2024,
10,"共和镇毛卜拉村乡村振兴入户道路硬化
项目",新建,2025.3-2025.10,毛卜拉村,硬化入户路3公里，设计路基宽度为2.5米，厚度15cm水泥混凝土面层,90,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,共和镇,2024,
11,共和镇红沟村入户道路硬化项目,新建,2025.3-2025.10,红沟村,硬化入户路3公里，设计路基宽度为2.5米，厚度15cm水泥混凝土面层。,90,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,共和镇,2024,
12,共和镇中和村道路硬化项目,新建,2025.3-2025.10,中和村,硬化道路2公里，宽3米，面层为15cm厚水泥混凝土。,72,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,共和镇,2024,
13,共和镇兄弟村入户道路硬化项目,新建,2025.3-2025.10,兄弟村,硬化宽3米，厚18厘米599米。,20,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,共和镇,2024,
14,种田乡小川村村社道路硬化项目,新建,2025.3-2025.10,小川村,硬化宽3米，长4000米村社道路。,120,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,种田乡,2024,
15,黄峤镇牛拜村道路硬化项目,新建,2025.3-2025.10,牛拜村,硬化宽3米，厚18厘米道路1345米。,41,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,"农业
农村局",黄峤镇,2024,
16,黄峤镇焦口村道路硬化项目,新建,2025.3-2025.10,焦口村,"共硬化道路1.85公里。硬化宽3.5米，厚度18厘米。
1.旧庄沟社硬化道路1.0千米（郭世发家到老坟湾700米；王志军家到李芬家门口300米；
2.在闫高崖社硬化道路0.85千米（闫高崖庙到刘生仁家门口200米；杨敏家门前到魏其强家门前200米；刘生智家门口到赵金顺家门口200米；魏刚家门口到刘生荣家门口100米；高升家门口到杨学武家门口100米；焦维国家门口到焦得亮50米）",74,"衔接
资金",改善群众出行和农副产品运输难问题。,,1,,0,0,0,0,0,0,"农业
农村局",黄峤镇,2024,
17,王家山镇井尔川村到户路硬化项目,新建,2025.3-2025.10,"井尔
川村",贺崖湾社到户路3KM(席应孝-刘康花-白伟-白达-硬化路1000M；窦家门白安-白森-窦世顺-窦世忠1400M；于建平-于建刚-黄克富-黄克海600M),65,"衔接
资金",改善群众出行和农副产品运输难问题。,,1,,0,0,0,0,0,0,交通局,"王家
山镇",2024,
18,"王家山镇万庙村道路硬化
项目",新建,2025.3-2025.10,万庙村,硬化宽3.5米，厚18厘米道路1874米。,77,"衔接
资金",改善群众出行和农副产品运输难问题。,,,1,0,0,0,0,0,0,交通局,"王家
山镇",2024,
⑵,安全饮水保障巩固提升,,,,,803,,,,,,,,,,,,,,,
1,平川区水泉镇生产生活水利设备更新项目,新建,2025.3-2025.10,"野麻村
牙沟
水村","野麻村：更换野麻社和白杨林社离心泵2台(IS150-125-250-18.5KW-4P)、空心楼社离心泵1台(IS200-220-250-30KW-4P)及配套设施，6寸钢管扬水管60米，6寸橡皮软管48米，16平方防水电缆530米，50平方地埋线350米，维修野麻社灌溉提灌泵台一座;更换野麻社人饮井深井泵1台(扬程100米，电机7.5KW）
牙沟水村：更新牙沟水村三级泵站SW250-M4-220KW-4P电机一台，220/250KW变频柜一台，150平方米电缆40米。",30,"衔接
资金",保障农田灌溉及安全饮水。,,,1,0,0,0,0,0,0,水务局,水泉镇,2024,
2,宝积镇小川村小麦玉米产业道路硬化工程,新建,2025.3-2025.10,小川村,硬化4米宽产业路1.2公里,57,"衔接
资金",改善群众出行和农副产品运输难问题。,,1,,0,0,0,0,0,0,"农业
农村局",宝积镇,2024,
3,宝积镇魏家地村安全饮水巩固提升项目,新建,2025.3-2025.10,魏家地村,铺设100级Ф90PE管2492米。,21,"衔接
资金",解决群众饮水问题。,,,1,0,0,0,0,0,0,水务局,宝积镇,2024,
4,宝积镇广沿沟村自来水管网提升改造项目,更新,2025.3-2025.10,"广沿
沟村",需要更新2.1公里供水管道，检查井20个，水表90个。,90,"衔接
资金",解决群众饮水问题。,,,1,0,0,0,0,0,0,水务局,宝积镇,2024,
5,宝积镇墩墩滩村自来水管网改造项目,续建,2025.3-2025.10,"墩墩
滩村",更换自来水管网6公里,80,"衔接
资金",解决群众饮水问题。,,,1,0,0,0,0,0,0,水务局,宝积镇,2024,
6,共和镇红沟村自来水管网升级改造项目,新建,2025.3-2025.10,红沟村,感应电线906m，高位水池安全夯填。,5,"衔接
资金",解决群众饮水问题。,,,1,0,0,0,0,0,0,水务局,共和镇,2024,
7,共和镇常崖村安全饮水巩固提升项目,新建,2025.3-2025.10,常崖村,新建护坡358m，人饮机井水泵设施改造1套。,16,"衔接
资金",解决群众饮水问题。,,1,,0,0,0,0,0,0,水务局,共和镇,2024,
8,复兴乡山李村安全饮水管道巩固提升项目,新建,2025.3-2025.10,山李村,计划更新山李村下川口社至下庄社人饮主管道3公里，支管道7公里。,75,"衔接
资金",解决群众饮水问题。,,1,,0,0,0,0,0,0,水务局,复兴乡,2024,
9,种田乡北庄村人饮管道改造项目,新建,2025.3-2025.10,北庄村,改造黑水社人饮管道1500米,30,"衔接
资金",解决群众饮水问题。,,,1,0,0,0,0,0,0,水务局,种田乡,2024,
10,黄峤镇双铺村四社人畜饮水管道更新项目,新建,2025.3-2025.10,双铺村,"因双铺村四社管道破裂，导致四社人畜饮水局面紧张，需更新四社管道，需1000米φ110PE热熔管，2000米φ90PE热熔管,100米φ50PE热熔管，φ90三通20个，φ110变φ90大变小3个，φ90变φ50三通20个，减压阀1个，共需12万元。",12,"衔接
资金",可解决四社320余户人畜饮水问题，改善群众生产生活条件。,,,1,0,0,0,0,0,0,水务局,黄峤镇,2024,
11,"黄峤镇马饮水易地搬迁点人饮工程维修
项目",新建,2025.3-2025.10,"马饮
水村",铺设100级PE管447米，检查井6座。,16,"衔接
资金",解决易地搬迁安置点群众的人畜饮水问题。,,,1,0,0,0,0,0,0,水务局,黄峤镇,2024,
12,黄峤镇马饮水村一二社人畜饮水龙窝维修改造工程,维修,2025.3-2025.10,"马饮
水村",维修龙窝截水墙及集水井2座，100级Ф90PE管100米，出水井2座。,60,"衔接
资金",解决该社群众的人畜饮水问题，改善群众生产生活条件，促进村级产业的发展。,,,1,0,0,0,0,0,0,水务局,黄峤镇,2024,
13,黄峤镇神木头村易地扶贫搬迁安置点人饮管道提升改造项目,新建,2025.3-2025.12,"神木
头村",移民新村B区人饮管道提升改造7公里（主管Ф90高密度聚乙烯PE管，压力等级1.6MPa支管道100级Ф32高密度聚乙烯PE管，压力等级1.6MPa），涉及检查井30座。,200,"衔接
资金",保障移民新村113户住户生活用水。,,,1,0,0,0,0,0,0,发改局,黄峤镇,2024,
14,黄峤镇神木头村人饮蓄水池建设项目,新建,2025.3-2025.10,"神木
头村",在神木头易地扶贫搬迁新区（神木头小学）新建500立方米蓄水池一座，配套110#管道100米，闸阀2个，检查井2个。,50,"衔接
资金",可解决该社群众的人畜饮水问题，改善群众生产生活条件，促进村级产业的发展。,,1,,0,0,0,0,0,0,发改局,黄峤镇,2024,
15,"黄峤镇马饮水村易地搬迁人饮泉水截引
工程",新建,2025.3-2025.10,"马饮
水村",新建100级Ф63PE管2000米饮水管道，及配套设施设备，新建检查井6个。,11,"衔接
资金",解决易地搬迁安置点群众的人畜饮水问题。,,,1,0,0,0,0,0,0,发改局,黄峤镇,2024,
16,"王家山镇于大川村修建自来水高位水池
项目",新建,2025.3-2025.10,"于大
川村",在于窑社修建5千方的高位自来水池,50,"衔接
资金",补齐自来水短缺状态，保持农民用水正常,,1,,0,0,0,0,0,0,"农业
农村局","王家
山镇",2024,
⑶,道路亮化,,,,,333,,,,,,,,,,,,,,,
1,宝积镇冯园村村内亮化工程,新建,2025.3-2025.10,冯园村,采购并安装路灯280盏,80,"衔接
资金",解决群众夜间出行安全问题。,,,1,0,0,0,0,0,0,住建局,宝积镇,2024,
2,宝积镇黑水村村内道路亮化项目,新建,2025.3-2025.10,黑水村,更换维修路灯90盏，新增路灯75个。,50,"衔接
资金",解决群众夜间出行安全问题。,,,1,0,0,0,0,0,0,住建局,宝积镇,2024,
3,宝积镇窎沟村道路亮化项目,新建,2025.3-2025.10,窎沟村,采购安装8米高太阳能路灯100盏,30,"衔接
资金",解决群众夜间出行安全问题。,,,1,0,0,0,0,0,0,住建局,宝积镇,2024,
4,"宝积镇墩墩滩村村内亮化
项目",新建,2025.3-2025.10,"墩墩
滩村",采购并安装8米高路灯100盏,30,"衔接
资金",解决群众夜间出行安全问题。,,,1,0,0,0,0,0,0,住建局,宝积镇,2024,
5,宝积镇小川村村内亮化工程,新建,2025.3-2025.10,小川村,维修太阳能路灯60盏，采购并安装6米高路灯30盏。,15,"衔接
资金",解决群众夜间出行安全问题。,,1,,0,0,0,0,0,0,住建局,宝积镇,2024,
6,共和镇兄弟村入户道路硬化项目,新建,2025.3-2025.10,兄弟村,硬化村民门前、巷口的最后一米。合计5250平方米，面层为15公分厚水泥混凝土,63,"衔接
资金",解决群众夜间出行安全问题。,,,1,0,0,0,0,0,0,住建局,共和镇,2024,
7,种田乡北庄村道路亮化项目,新建,2025.3-2025.10,北庄村,安装6米高太阳能路灯120个,20,"衔接
资金",解决群众夜间出行问题,,,1,0,0,0,0,0,0,住建局,种田乡,2024,
8,王家山镇大营水村亮化工程,新建,2025.3-2025.10,"大营
水村",安装6米高路灯60盏，其中东西社30盏，黄毛沟20盏，石碑子10盏,17,"衔接
资金",解决群众出行,,,1,0,0,0,0,0,0,"农业
农村局","王家
山镇",2024,
9,水泉镇杨岭村亮化工程,新建,2025.3-2025.10,杨岭村,安装6m高太阳能路灯110盏,31,"衔接
资金",解决群众出行,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2025,
⑷,以工代赈,,,,,432,,,,,,,,,,,,,,,
1,白银市平川区黄峤镇易地扶贫搬迁安置点后续产业发展农田水利基础设施建设项目,新建,2025.3-2025.10,玉湾村,新建3万立方米蓄水池1座，铺设田间管网DN300PE管1.93公里，DN90PE管0.8公里，铺设田间砂化道路5公里。,433,"衔接
资金",项目建成后，将有效提高群众农作物种植的积极性，大大提高了群众的满意度。,,,2,0,0,0,1,0,1,发改局,黄峤镇,2024,
⑸,其它,,,,,740,,,,,,,,,,,,,,,
1,"复兴乡甘涝村排洪渠建设
项目",新建,2025.3-2025.10,甘涝村,衬砌渠道全长1公里，上宽5米，下宽3米，高度1.2米。,65,"衔接
资金",保障群众粮食生产安全，防止因山洪造成临渠2000亩耕地受损受灾。,,2,,0,0,0,0,0,0,水务局,复兴乡,2024,
2,水泉镇旱平川村农贸市场建设项目,新建,2025.3-2025.10,"旱平
川村",硬化场地4000m²，钢结构彩钢棚,140,"衔接
资金",增加村集体经济收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
