月份,项目店,区域,经营模式,有无预算,科目,本月计划,本月完成,备注
2月,黄骅港国华餐饮,河北子公司,托管,有预算,其他,0,400,1月伯乐奖400元
2月,黄骅港国华餐饮,河北子公司,托管,有预算,固定费用,33187,8643,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,租金,0,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,管理费,0,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,市场开发费,0,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,折旧,150,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,各项摊提,0,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,上交总部管理费,9343,2444,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,计提税金及附加,23694,6198,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,营业外收支,0,50213,"考勤违纪213.45元
项目闭店，下家和朱总商谈后给50000元"
2月,黄骅港国华餐饮,河北子公司,托管,有预算,自营业务利润,8860,(15216),0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,外包业务利润,0,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,项目部经营利润,8860,(15216),0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,区域管理费用,0,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,运行费用,0,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,两节费用,0,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,公关费,0,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,项目店净利润,8860,(15216),0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,项目合作分红,0,0,0
2月,黄骅港国华餐饮,河北子公司,托管,有预算,项目店可分配利润,8860,(15216),0
2月,黄骅港国华物资,河北子公司,托管,有预算,综合收入,185865,3000,0
2月,黄骅港国华物资,河北子公司,托管,有预算,综合成本,147200,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,综合毛利,38665,3000,0
2月,黄骅港国华物资,河北子公司,托管,有预算,劳务收入,185865,0,闭店
2月,黄骅港国华物资,河北子公司,托管,有预算,劳务成本,147200,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,劳务毛利,38665,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,餐饮收入,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,餐饮成本,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,餐饮毛利,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,销售收入,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,销售成本,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,销售毛利,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,外包档口收入,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,外包档口成本,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,外包档口毛利,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,其他收入,0,3000,返还多收12月款税点3000元
2月,黄骅港国华物资,河北子公司,托管,有预算,其他成本,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,其他毛利,0,3000,0
2月,黄骅港国华物资,河北子公司,托管,有预算,人事费用,7574,6874,0
2月,黄骅港国华物资,河北子公司,托管,有预算,工资,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,监管工资,750,450,2024年1月：2人，朱红章225元+任志有225元
2月,黄骅港国华物资,河北子公司,托管,有预算,绩效考核奖,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,公司承担外包费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,公司缴纳五险,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,外包五险,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,商业保险费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,外包管理费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,福利费,6824,6424,春节福利6424元
2月,黄骅港国华物资,河北子公司,托管,有预算,员工宿舍费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,能源费用,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,水费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,电费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,燃气费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,暖气费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,运营费用,1050,16,0
2月,黄骅港国华物资,河北子公司,托管,有预算,办公费,50,16,朱红国报销快递费16元
2月,黄骅港国华物资,河北子公司,托管,有预算,差旅费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,汽车费用,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,营销费用,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,低值物料,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,目视化费用,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,修理费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,招待费,1000,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,运输费用,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,其他,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,固定费用,19525,265,0
2月,黄骅港国华物资,河北子公司,托管,有预算,租金,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,管理费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,市场开发费,3094,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,折旧,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,各项摊提,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,上交总部管理费,4647,75,0
2月,黄骅港国华物资,河北子公司,托管,有预算,计提税金及附加,11784,190,0
2月,黄骅港国华物资,河北子公司,托管,有预算,营业外收支,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,自营业务利润,10516,(4155),0
2月,黄骅港国华物资,河北子公司,托管,有预算,外包业务利润,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,项目部经营利润,10516,(4155),0
2月,黄骅港国华物资,河北子公司,托管,有预算,区域管理费用,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,运行费用,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,两节费用,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,公关费,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,项目店净利润,10516,(4155),0
2月,黄骅港国华物资,河北子公司,托管,有预算,项目合作分红,0,0,0
2月,黄骅港国华物资,河北子公司,托管,有预算,项目店可分配利润,10516,(4155),0
2月,黄骅港国华保洁,河北子公司,托管,有预算,综合收入,285085,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,综合成本,180240,1485,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,综合毛利,104845,(1485),0
2月,黄骅港国华保洁,河北子公司,托管,有预算,劳务收入,285085,0,闭店
2月,黄骅港国华保洁,河北子公司,托管,有预算,劳务成本,180240,1485,2024年2月：9人
2月,黄骅港国华保洁,河北子公司,托管,有预算,劳务毛利,104845,(1485),0
2月,黄骅港国华保洁,河北子公司,托管,有预算,餐饮收入,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,餐饮成本,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,餐饮毛利,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,销售收入,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,销售成本,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,销售毛利,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,外包档口收入,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,外包档口成本,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,外包档口毛利,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,其他收入,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,其他成本,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,其他毛利,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,人事费用,28763,13398,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,工资,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,监管工资,1800,1200,1月：2人
2月,黄骅港国华保洁,河北子公司,托管,有预算,绩效考核奖,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,公司承担外包费,12000,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,公司缴纳五险,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,外包五险,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,商业保险费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,外包管理费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,福利费,14963,12198,"梁丽娜报销保洁2023年5月齐瑞凤大生化体检费198元
2024年春节福利12000元"
2月,黄骅港国华保洁,河北子公司,托管,有预算,员工宿舍费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,能源费用,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,水费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,电费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,燃气费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,暖气费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,运营费用,16044,16,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,办公费,0,16,杨丽芳报销邮寄费16元
2月,黄骅港国华保洁,河北子公司,托管,有预算,差旅费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,汽车费用,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,营销费用,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,低值物料,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,目视化费用,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,修理费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,招待费,16044,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,运输费用,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,其他,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,固定费用,27770,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,租金,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,管理费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,市场开发费,2568,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,折旧,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,各项摊提,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,上交总部管理费,7127,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,计提税金及附加,18074,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,营业外收支,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,自营业务利润,32268,(14899),0
2月,黄骅港国华保洁,河北子公司,托管,有预算,外包业务利润,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,项目部经营利润,32268,(14899),0
2月,黄骅港国华保洁,河北子公司,托管,有预算,区域管理费用,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,运行费用,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,两节费用,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,公关费,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,项目店净利润,32268,(14899),0
2月,黄骅港国华保洁,河北子公司,托管,有预算,项目合作分红,0,0,0
2月,黄骅港国华保洁,河北子公司,托管,有预算,项目店可分配利润,32268,(14899),0
2月,神港站区,河北子公司,托管,有预算,综合收入,144822,144822,0
2月,神港站区,河北子公司,托管,有预算,综合成本,109050,97486,0
2月,神港站区,河北子公司,托管,有预算,综合毛利,35772,47336,0
2月,神港站区,河北子公司,托管,有预算,劳务收入,144822,144822,提供服务，合同金额
2月,神港站区,河北子公司,托管,有预算,劳务成本,109050,97486,19人工资
2月,神港站区,河北子公司,托管,有预算,劳务毛利,35772,47336,0
2月,神港站区,河北子公司,托管,有预算,餐饮收入,0,0,0
2月,神港站区,河北子公司,托管,有预算,餐饮成本,0,0,0
2月,神港站区,河北子公司,托管,有预算,餐饮毛利,0,0,0
2月,神港站区,河北子公司,托管,有预算,销售收入,0,0,0
2月,神港站区,河北子公司,托管,有预算,销售成本,0,0,0
2月,神港站区,河北子公司,托管,有预算,销售毛利,0,0,0
2月,神港站区,河北子公司,托管,有预算,外包档口收入,0,0,0
2月,神港站区,河北子公司,托管,有预算,外包档口成本,0,0,0
2月,神港站区,河北子公司,托管,有预算,外包档口毛利,0,0,0
2月,神港站区,河北子公司,托管,有预算,其他收入,0,0,0
2月,神港站区,河北子公司,托管,有预算,其他成本,0,0,0
2月,神港站区,河北子公司,托管,有预算,其他毛利,0,0,0
2月,神港站区,河北子公司,托管,有预算,人事费用,4134,4654,0
2月,神港站区,河北子公司,托管,有预算,工资,0,0,0
2月,神港站区,河北子公司,托管,有预算,监管工资,750,1200,朱红章600元，任志有600元
2月,神港站区,河北子公司,托管,有预算,绩效考核奖,0,0,0
2月,神港站区,河北子公司,托管,有预算,公司承担外包费,0,0,0
2月,神港站区,河北子公司,托管,有预算,公司缴纳五险,1334,1334,2人公司承担社保部分
2月,神港站区,河北子公司,托管,有预算,外包五险,0,0,0
2月,神港站区,河北子公司,托管,有预算,商业保险费,0,0,0
2月,神港站区,河北子公司,托管,有预算,外包管理费,0,0,0
2月,神港站区,河北子公司,托管,有预算,福利费,2050,2120,"春节福利2050元任志有报销新员工王华入职体检费260元
工资扣体检费190元"
2月,神港站区,河北子公司,托管,有预算,员工宿舍费,0,0,0
2月,神港站区,河北子公司,托管,有预算,能源费用,0,0,0
2月,神港站区,河北子公司,托管,有预算,水费,0,0,0
2月,神港站区,河北子公司,托管,有预算,电费,0,0,0
2月,神港站区,河北子公司,托管,有预算,燃气费,0,0,0
2月,神港站区,河北子公司,托管,有预算,暖气费,0,0,0
2月,神港站区,河北子公司,托管,有预算,运营费用,50,3590,0
2月,神港站区,河北子公司,托管,有预算,办公费,50,0,0
2月,神港站区,河北子公司,托管,有预算,差旅费,0,90,任志有报销新员工体检费差旅费90元
2月,神港站区,河北子公司,托管,有预算,汽车费用,0,0,0
2月,神港站区,河北子公司,托管,有预算,营销费用,0,0,0
2月,神港站区,河北子公司,托管,有预算,低值物料,0,0,0
2月,神港站区,河北子公司,托管,有预算,目视化费用,0,0,0
2月,神港站区,河北子公司,托管,有预算,修理费,0,0,0
2月,神港站区,河北子公司,托管,有预算,招待费,0,3500,"2024年春节招待2800元
任志有报销餐费招待700元"
2月,神港站区,河北子公司,托管,有预算,运输费用,0,0,0
2月,神港站区,河北子公司,托管,有预算,其他,0,0,0
2月,神港站区,河北子公司,托管,有预算,固定费用,12802,12802,0
2月,神港站区,河北子公司,托管,有预算,租金,0,0,0
2月,神港站区,河北子公司,托管,有预算,管理费,0,0,0
2月,神港站区,河北子公司,托管,有预算,市场开发费,0,0,0
2月,神港站区,河北子公司,托管,有预算,折旧,0,0,0
2月,神港站区,河北子公司,托管,有预算,各项摊提,0,0,0
2月,神港站区,河北子公司,托管,有预算,上交总部管理费,3621,3621,根据比例计提总部管理费
2月,神港站区,河北子公司,托管,有预算,计提税金及附加,9182,9182,根据比例计提总部税金
2月,神港站区,河北子公司,托管,有预算,营业外收支,0,60,考勤违纪60元
2月,神港站区,河北子公司,托管,有预算,自营业务利润,18785,26349,0
2月,神港站区,河北子公司,托管,有预算,外包业务利润,0,0,0
2月,神港站区,河北子公司,托管,有预算,项目部经营利润,18785,26349,0
2月,神港站区,河北子公司,托管,有预算,区域管理费用,3000,3000,0
2月,神港站区,河北子公司,托管,有预算,运行费用,3000,3000,0
2月,神港站区,河北子公司,托管,有预算,两节费用,0,0,0
2月,神港站区,河北子公司,托管,有预算,公关费,0,0,0
2月,神港站区,河北子公司,托管,有预算,项目店净利润,15785,23349,0
2月,神港站区,河北子公司,托管,有预算,项目合作分红,0,0,0
2月,神港站区,河北子公司,托管,有预算,项目店可分配利润,15785,23349,0
2月,北港站区,河北子公司,托管,有预算,综合收入,170297,170297,0
2月,北港站区,河北子公司,托管,有预算,综合成本,116100,105667,0
2月,北港站区,河北子公司,托管,有预算,综合毛利,54197,64630,0
2月,北港站区,河北子公司,托管,有预算,劳务收入,170297,170297,提供服务，合同金额
2月,北港站区,河北子公司,托管,有预算,劳务成本,116100,105667,23人工资
2月,北港站区,河北子公司,托管,有预算,劳务毛利,54197,64630,0
2月,北港站区,河北子公司,托管,有预算,餐饮收入,0,0,0
2月,北港站区,河北子公司,托管,有预算,餐饮成本,0,0,0
2月,北港站区,河北子公司,托管,有预算,餐饮毛利,0,0,0
2月,北港站区,河北子公司,托管,有预算,销售收入,0,0,0
2月,北港站区,河北子公司,托管,有预算,销售成本,0,0,0
2月,北港站区,河北子公司,托管,有预算,销售毛利,0,0,0
2月,北港站区,河北子公司,托管,有预算,外包档口收入,0,0,0
2月,北港站区,河北子公司,托管,有预算,外包档口成本,0,0,0
2月,北港站区,河北子公司,托管,有预算,外包档口毛利,0,0,0
2月,北港站区,河北子公司,托管,有预算,其他收入,0,0,0
2月,北港站区,河北子公司,托管,有预算,其他成本,0,0,0
2月,北港站区,河北子公司,托管,有预算,其他毛利,0,0,0
2月,北港站区,河北子公司,托管,有预算,人事费用,12654,11654,0
2月,北港站区,河北子公司,托管,有预算,工资,0,0,0
2月,北港站区,河北子公司,托管,有预算,监管工资,1200,1800,朱红章900元，任志有900元
2月,北港站区,河北子公司,托管,有预算,绩效考核奖,1600,0,0
2月,北港站区,河北子公司,托管,有预算,公司承担外包费,0,0,0
2月,北港站区,河北子公司,托管,有预算,公司缴纳五险,6004,6004,9人公司承担社保部分
2月,北港站区,河北子公司,托管,有预算,外包五险,0,0,0
2月,北港站区,河北子公司,托管,有预算,商业保险费,0,0,0
2月,北港站区,河北子公司,托管,有预算,外包管理费,0,0,0
2月,北港站区,河北子公司,托管,有预算,福利费,3850,3850,春节福利3850元
2月,北港站区,河北子公司,托管,有预算,员工宿舍费,0,0,0
2月,北港站区,河北子公司,托管,有预算,能源费用,0,0,0
2月,北港站区,河北子公司,托管,有预算,水费,0,0,0
2月,北港站区,河北子公司,托管,有预算,电费,0,0,0
2月,北港站区,河北子公司,托管,有预算,燃气费,0,0,0
2月,北港站区,河北子公司,托管,有预算,暖气费,0,0,0
2月,北港站区,河北子公司,托管,有预算,运营费用,50,570,0
2月,北港站区,河北子公司,托管,有预算,办公费,50,0,0
2月,北港站区,河北子公司,托管,有预算,差旅费,0,0,0
2月,北港站区,河北子公司,托管,有预算,汽车费用,0,570,任志有报销日常巡店汽油费570元
2月,北港站区,河北子公司,托管,有预算,营销费用,0,0,0
2月,北港站区,河北子公司,托管,有预算,低值物料,0,0,0
2月,北港站区,河北子公司,托管,有预算,目视化费用,0,0,0
2月,北港站区,河北子公司,托管,有预算,修理费,0,0,0
2月,北港站区,河北子公司,托管,有预算,招待费,0,0,0
2月,北港站区,河北子公司,托管,有预算,运输费用,0,0,0
2月,北港站区,河北子公司,托管,有预算,其他,0,0,0
2月,北港站区,河北子公司,托管,有预算,固定费用,15054,15054,0
2月,北港站区,河北子公司,托管,有预算,租金,0,0,0
2月,北港站区,河北子公司,托管,有预算,管理费,0,0,0
2月,北港站区,河北子公司,托管,有预算,市场开发费,0,0,0
2月,北港站区,河北子公司,托管,有预算,折旧,0,0,0
2月,北港站区,河北子公司,托管,有预算,各项摊提,0,0,0
2月,北港站区,河北子公司,托管,有预算,上交总部管理费,4257,4257,根据比例计提总部管理费
2月,北港站区,河北子公司,托管,有预算,计提税金及附加,10797,10797,根据比例计提总部税金
2月,北港站区,河北子公司,托管,有预算,营业外收支,0,89,考勤违纪89元
2月,北港站区,河北子公司,托管,有预算,自营业务利润,26439,37441,0
2月,北港站区,河北子公司,托管,有预算,外包业务利润,0,0,0
2月,北港站区,河北子公司,托管,有预算,项目部经营利润,26439,37441,0
2月,北港站区,河北子公司,托管,有预算,区域管理费用,1000,1000,0
2月,北港站区,河北子公司,托管,有预算,运行费用,1000,1000,0
2月,北港站区,河北子公司,托管,有预算,两节费用,0,0,0
2月,北港站区,河北子公司,托管,有预算,公关费,0,0,0
2月,北港站区,河北子公司,托管,有预算,项目店净利润,25439,36441,0
2月,北港站区,河北子公司,托管,有预算,项目合作分红,0,0,0
2月,北港站区,河北子公司,托管,有预算,项目店可分配利润,25439,36441,0
2月,研发大厦,河北子公司,非学校自营,有预算,综合收入,251300,255552,0
2月,研发大厦,河北子公司,非学校自营,有预算,综合成本,140992,144960,0
2月,研发大厦,河北子公司,非学校自营,有预算,综合毛利,110308,110592,0
2月,研发大厦,河北子公司,非学校自营,有预算,劳务收入,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,劳务成本,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,劳务毛利,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,餐饮收入,128991,144321,饿了么129.15元，抖音营业额177元，美团371元，过年期间有部分外包档口未营业，自营营业，自营收入增加
2月,研发大厦,河北子公司,非学校自营,有预算,餐饮成本,51596,67244,0
2月,研发大厦,河北子公司,非学校自营,有预算,餐饮毛利,77395,77077,"1. 售卖熟食酱货毛利点48%影响整体大餐毛利
2. 临近春节蔬菜原材料价格普遍上调"
2月,研发大厦,河北子公司,非学校自营,有预算,销售收入,25000,38232,超市收入，过年米面油，饮料较多
2月,研发大厦,河北子公司,非学校自营,有预算,销售成本,18000,27556,0
2月,研发大厦,河北子公司,非学校自营,有预算,销售毛利,7000,10675,米面油售卖的多，毛利低。拉低了综合毛利
2月,研发大厦,河北子公司,非学校自营,有预算,外包档口收入,97309,65800,2月外包档口收入，过年期间有部分外包档口未营业，自营营业，外包收入减少
2月,研发大厦,河北子公司,非学校自营,有预算,外包档口成本,71396,46060,0
2月,研发大厦,河北子公司,非学校自营,有预算,外包档口毛利,25913,19740,3个档口收益扣率30%
2月,研发大厦,河北子公司,非学校自营,有预算,其他收入,0,7200,售卖京东卡收入4920元，过账款税点收入2280元
2月,研发大厦,河北子公司,非学校自营,有预算,其他成本,0,4100,研发大厦2月购买京东超市购物卡（500元7张，200元3张）
2月,研发大厦,河北子公司,非学校自营,有预算,其他毛利,0,3100,0
2月,研发大厦,河北子公司,非学校自营,有预算,人事费用,99405,99597,0
2月,研发大厦,河北子公司,非学校自营,有预算,工资,88800,90872,2024年2月：25人工资94872元，白立斌交回工资4000元冲减工资
2月,研发大厦,河北子公司,非学校自营,有预算,监管工资,730,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,绩效考核奖,1800,899,2024年1月：杜宝平315元，王红光584元
2月,研发大厦,河北子公司,非学校自营,有预算,公司承担外包费,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,公司缴纳五险,3834,3834,2024年2月：4人公司社保部分5112.08元，1人白立斌交回社保冲减费用1278.02元
2月,研发大厦,河北子公司,非学校自营,有预算,外包五险,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,商业保险费,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,外包管理费,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,福利费,2374,2374,春节福利2374元
2月,研发大厦,河北子公司,非学校自营,有预算,员工宿舍费,1868,1618,"张润才报销员工宿舍电费50元
研发大厦男生宿舍房租（2023年6月1日—2024年5月31日），每月分摊1567.50元"
2月,研发大厦,河北子公司,非学校自营,有预算,能源费用,1470,1612,0
2月,研发大厦,河北子公司,非学校自营,有预算,水费,1470,1612,2024年2月盘点水费实际金额1611.60元
2月,研发大厦,河北子公司,非学校自营,有预算,电费,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,燃气费,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,暖气费,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,运营费用,16176,20042,0
2月,研发大厦,河北子公司,非学校自营,有预算,办公费,100,362,"张润才报销餐厅网费136元张润才报销邮递费194.60元
研发大厦入库31元（长尾夹）"
2月,研发大厦,河北子公司,非学校自营,有预算,差旅费,50,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,汽车费用,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,营销费用,500,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,低值物料,3500,3026,"研发大厦自营大餐辅材：1587元（500ML圆餐盒285元+三格餐盒165元+五格餐盒（100个）360元+一次性筷子（2380双）425元+24CM塑料袋144元+30CM塑料袋72元+20CM塑料袋136元）
研发大厦自营大餐低值：2058元（不锈钢平板车150元+密胺小勺100元+小方巾8元+防滑地垫（网眼）400元+套扫30元+胶皮手套100元+62CM垃圾袋60元+100CM黑垃圾袋72元+45CM保鲜膜（300M）175元+一次性医用口罩（50个）24元+餐巾纸（大包）450元+擦手纸（200张）95元+13cm*16cm纯棉煲鱼袋12元+5L金美凤洗洁精240元+260汰渍净白洗衣粉9元+500g蓝月亮洗手液48元+3.7kg都洁全效除垢剂20元+25kg火碱50元+手榴弹15元）
档口分摊609.16元
调整2月研发大厦其他扣款项（司徽）10元"
2月,研发大厦,河北子公司,非学校自营,有预算,目视化费用,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,修理费,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,招待费,12026,15553,"充值招待250元2024年春节招待10681元张润才报销购买礼品盒588.40元研发大厦招待4034元（475ml红盖汾（42度）40元+金骏眉120元+精品金骏眉100元+500ml百威啤酒（18罐）17.5元+2L雪碧5.5元+25kg五得利三星富强粉98元+冻牛腱（超码）1595元+475ml汾酒1915巴拿马基础版（42度）2058元）
2月赠送充值250元"
2月,研发大厦,河北子公司,非学校自营,有预算,运输费用,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,其他,0,1101,"1月伯乐奖600元
二维码手续费500.95元"
2月,研发大厦,河北子公司,非学校自营,有预算,固定费用,33061,33259,0
2月,研发大厦,河北子公司,非学校自营,有预算,租金,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,管理费,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,市场开发费,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,折旧,5479,5506,资产折旧费5505.98元
2月,研发大厦,河北子公司,非学校自营,有预算,各项摊提,17531,17531,"开办费摊销3786.48元
天津研发大厦天财商龙软件摊销（摊销至2027.5），每月摊销2,612.17元
天津研发大厦天财商龙云服务器摊销（2023.7-2026.6），每月摊销403.53元
研发大厦装修费摊销（2022.9-2027.5），每月摊销10,728.35元"
2月,研发大厦,河北子公司,非学校自营,有预算,上交总部管理费,2513,2556,0
2月,研发大厦,河北子公司,非学校自营,有预算,计提税金及附加,7539,7667,0
2月,研发大厦,河北子公司,非学校自营,有预算,营业外收支,0,70,"罚款50元，罚款档口20元
饿了么二维码测试收入0.05元"
2月,研发大厦,河北子公司,非学校自营,有预算,自营业务利润,(65718),(63587),0
2月,研发大厦,河北子公司,非学校自营,有预算,外包业务利润,25913,19740,0
2月,研发大厦,河北子公司,非学校自营,有预算,项目部经营利润,(39805),(43847),0
2月,研发大厦,河北子公司,非学校自营,有预算,区域管理费用,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,运行费用,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,两节费用,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,公关费,0,0,0
2月,研发大厦,河北子公司,非学校自营,有预算,项目店净利润,(39805),(43847),0
