本周KPI直接ROI2.4，客户素材要参考的话可以找我扒-素材ID,素材标题,素材创建时间,素材时长,素材来源,消耗,展示次数,点击率,平均千次展现费用,点击次数,转化数,转化成本,转化率,直接成交订单数,直接成交金额,直接支付ROI,播放数,有效播放数,平均单次播放时长,分享次数,评论次数,点赞次数,关联计划数,关联创意数
7324944035945005066,1.15-博观图文-素人-玉养蜜粉682-可视化效品口播-无-陈奕璠.mp4,2024-01-17 14:04:29,00:25,本地上传,5,50,0,102,2,0,0,0,0,0,0,38,4,5,0,0,0,1,1
7381740214408986660,6.17-博观图文-素人-小黛伞1072-可视化效品口播-无-李大鑫.mp4,2024-06-18 15:22:46,00:19,本地上传,5,47,0,99,2,0,0,0,0,0,0,49,12,6,0,0,0,3,4
7384648539111718962,6.24-博观图文-素人-唇膜1077-可视化效品口播-无-蔡宇文.mp4,2024-06-26 11:28:08,00:31,本地上传,4,49,0,89,1,0,0,0,0,0,0,51,3,3,0,0,0,3,10
7314870111000903731,授权至202401291215官号图文茄子兔牙玉养蜜粉产品混剪虽然花西子玉养蜜粉很,2023-12-21 10:32:28,00:49,本地上传,4,37,0,109,3,1,4,0,1,169,42,38,4,4,0,0,0,1,1
7384025056097550363,补妆还能补防晒！底定补防晒四合一的粉饼，赶快来囤！#玉容纱防晒粉饼  #粉饼推荐,2024-06-25 09:23:37,00:19,抖音号主页视频,3,16,0,203,0,0,0,0,0,0,0,19,8,8,0,0,0,2,2
7280789013594538043,0918-博观图文-素人-玉养蜜粉399-可视化效品口播-无-王梦园.mp4,2023-09-20 14:20:36,00:26,本地上传,3,80,0,37,4,0,0,0,0,0,0,27,5,14,0,0,0,2,2
7385547604304576549,授权截止至20255210621图文凡人阿会小黛伞35g产品向,2024-06-28 21:37:28,00:28,巨量纵横共享素材,2,49,0,48,1,0,0,0,0,0,0,43,3,3,0,0,0,6,13
7360893458116968489,422-博观图文-素人-眉粉笔920-可视化效品口播-无-王梦园.mp4,2024-04-23 11:06:40,00:29,本地上传,2,58,0,41,0,0,0,0,0,0,0,59,10,5,0,0,0,3,3
7315249538763178010,1219官号图文阿会素人唇膜友友们我就随手入了,2023-12-22 11:04:55,00:21,本地上传,2,13,0,173,0,0,0,0,0,0,0,19,0,2,0,0,0,2,2
7385055024395321394,6.25-博观图文-素人-玉养蜜粉1084-可视化效品口播-无-王梦园.mp4,2024-06-27 13:45:53,00:30,本地上传,2,16,0,124,0,0,0,0,0,0,0,8,0,1,0,1,1,3,3
7317895789833207858,1227茄子图文旧版唇膜产品混剪有嘟嘟唇的人都用它,2023-12-29 14:13:51,00:17,本地上传,2,14,0,119,0,0,0,0,0,0,0,11,2,5,0,0,0,4,5
7132286993585094669,新手可学的实用#定妆大法安排上！#花西子白玉盘 #818新潮好物节,2022-08-16 10:14:54,00:37,抖音号主页视频,1,7,0,194,0,0,0,0,0,0,0,7,0,1,0,0,0,3,3
7273404186708148282,0829-博观图文-素人-玉养蜜粉329-可视化效品口播-无-李大鑫.mp4,2023-08-31 16:43:54,00:22,本地上传,1,41,0,30,1,0,0,0,0,0,0,12,1,3,0,0,0,1,1
7327980494506786826,0119图文茄子旧版唇膜立刻马上,2024-01-25 18:27:26,00:16,巨量纵横共享素材,1,19,0,50,0,0,0,0,0,0,0,19,3,4,0,0,0,1,1
7301634467469606924,1113-博观图文-素人-玉养蜜粉557-可视化效品口播-无-陈奕璠.mp4,2023-11-15 18:31:54,00:22,本地上传,1,12,0,73,2,0,0,0,0,0,0,9,4,9,0,0,0,2,2
7385054993064968230,6.26-博观图文-素人-小黛伞1090-可视化效品口播-无-李大鑫.mp4,2024-06-27 13:45:53,00:27,本地上传,1,16,0,54,0,0,0,0,0,0,0,18,6,10,0,0,0,2,4
7278610293096955964,0913-博观图文-素人-唇膜381-可视化效品口播-无-马倩.mp4,2023-09-14 17:26:02,00:33,本地上传,1,9,0,93,0,0,0,0,0,0,0,8,1,4,0,0,0,1,1
7322347031746396179,1.8-博观图文-素人-玉养蜜粉663-可视化效品口播-无-陈奕璠.mp4,2024-01-10 14:07:03,00:19,本地上传,1,3,0,210,0,0,0,0,0,0,0,2,1,11,0,0,0,1,1
7281198922295246903,0918-博观图文-素人-玉养蜜粉421-可视化效品口播-无-蔡宇文.mp4,2023-09-21 16:51:22,00:23,本地上传,1,24,0,24,0,0,0,0,0,0,0,5,2,11,0,0,0,1,1
7380288677153554470,0606图文茄子凡人小黛伞35g宝华营销产品女人不想老的快,2024-06-14 17:30:10,00:25,巨量纵横共享素材,1,6,0,88,1,0,0,0,0,0,0,5,2,7,0,0,0,4,4
7316815501778042917,12.26-博观图文-素人-玉养蜜粉642-可视化效品口播-无-陈奕璠.mp4,2023-12-26 16:21:28,00:20,本地上传,1,2,0,255,0,0,0,0,0,0,0,2,1,11,0,0,0,1,1
7329412074444980275,0125千川图文广告超光速阿会唇膜效果混剪升级版的一款,2024-01-29 15:02:35,00:20,巨量纵横共享素材,0,6,0,73,0,0,0,0,0,0,0,5,0,2,0,0,0,1,1
7332675049169092649,1.31-博观图文-素人-玉养蜜粉764-可视化效品口播-无-陈奕璠.mp4,2024-02-07 10:05:13,00:32,本地上传,0,10,0,43,0,0,0,0,0,0,0,8,0,2,0,0,0,1,1
7348375068949921801,3.18-博观图文-素人-唇膜844-可视化效品口播-无-蔡宇文.mp4,2024-03-20 17:28:40,00:31,本地上传,0,24,0,16,1,0,0,0,0,0,0,20,1,3,0,0,0,2,2
7355758561895301132,4.8-博观图文-素人-唇膜892-可视化效品口播-无-蔡宇文.mp4,2024-04-09 15:00:41,00:21,本地上传,0,2,0,170,0,0,0,0,0,0,0,2,0,3,0,0,0,1,1
7381675096769429530,6.17-博观图文-素人-眉粉笔1054-可视化效品口播-无-陈奕璠.mp4,2024-06-18 11:09:51,00:15,本地上传,0,9,0,37,0,0,0,0,0,0,0,9,1,3,0,0,0,1,1
7315245318969851931,12.2-博观图文-素人-玉养蜜粉627-可视化效品口播-无-陈奕璠.mp4,2023-12-22 10:48:20,00:19,本地上传,0,8,0,36,0,0,0,0,0,0,0,5,0,1,0,0,0,1,1
7304955627043602486,1124-博观图文-素人-玉养蜜粉591-可视化效品口播-无-蔡宇文.mp4,2023-11-24 17:19:35,00:19,本地上传,0,5,0,50,1,0,0,0,0,0,0,2,1,8,0,0,0,1,1
7351303907702472741,3.27-博观图文-素人-玉养蜜粉862-可视化效品口播-无-陈奕璠.mp4,2024-03-28 14:54:07,00:16,本地上传,0,3,0,80,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1
7199013721477005371,230211官号内部晗升素人兔子效果唇膜我只是默默守护你的国货唇膜,2023-02-13 17:32:15,00:21,巨量纵横共享素材,0,4,0,50,0,0,0,0,0,0,0,4,0,4,0,0,0,1,1
7181206351383789625,221225官号晗升日常种草唇膜,2022-12-26 19:40:54,00:20,巨量纵横共享素材,0,2,0,80,0,0,0,0,0,0,0,2,0,3,0,0,0,1,1
7376926299430469669,0605图文茄子凡人小黛伞35g裸心心产品向花西子你小子,2024-06-05 16:02:09,00:30,巨量纵横共享素材,0,2,1,70,1,0,0,0,0,0,0,4,1,10,0,0,0,1,1
7238909519929507901,剧星0526唇膜107种草裸心心云舒蓝心榕猫,2023-05-30 17:46:28,00:21,巨量纵横共享素材,0,15,0,8,0,0,0,0,0,0,0,14,1,4,0,0,0,1,1
7365916499503120393,5.6-博观图文-素人-唇膜947-可视化效品口播-无-蔡宇文.mp4,2024-05-06 23:58:53,00:21,本地上传,0,5,0,22,0,0,0,0,0,0,0,5,0,2,0,0,0,1,1
7383914044987654183,6.24-博观图文-素人-防晒粉饼1074-可视化效品口播-无-马倩.mp4,2024-06-24 11:58:11,00:26,本地上传,0,1,0,70,0,0,0,0,0,0,0,2,1,16,0,0,0,1,1
7316814646181150759,12.26-博观图文-素人-玉养蜜粉641-可视化效品口播-无-陈奕璠.mp4,2023-12-26 16:18:15,00:22,本地上传,0,1,0,50,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
7324509034514464805,0115图文阿会素人唇膜混剪爆款口播,2024-01-16 09:56:17,00:15,巨量纵横共享素材,0,5,0,10,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1
7327998601400057907,0124图文阿会素人唇膜混剪开箱给大家推荐一份好东西,2024-01-25 19:37:35,00:17,巨量纵横共享素材,0,3,0,7,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1
7322349506619621439,1.8-博观图文-素人-唇膜664-可视化效品口播-无-蔡宇文.mp4,2024-01-10 14:16:34,00:19,本地上传,0,5,0,4,1,0,0,0,0,0,0,3,0,1,0,0,0,1,1
7384648446920638490,6.24-博观图文-素人-唇膜1078-可视化效品口播-无-蔡宇文.mp4,2024-06-26 11:28:08,00:29,本地上传,0,3,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,2,2
7379857391428091915,6.11-博观图文-素人-唇膜1038-可视化效品口播-618-蔡宇文.mp4,2024-06-13 13:37:06,00:23,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
7373952870474809371,5.27-博观图文-素人-眉粉笔998-可视化效品口播-618-陈奕璠.mp4,2024-05-28 15:43:46,00:22,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
7379857443977723967,6.11-博观图文-素人-小黛伞1047-可视化效品口播-618-李大鑫.mp4,2024-06-13 13:37:06,00:18,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7379857426661408809,6.11-博观图文-素人-眉粉笔1037-可视化效品口播-618-陈奕璠.mp4,2024-06-13 13:37:06,00:13,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7368815564117557286,6180514图文茄子超光速玉养气垫防晒粉饼营销产品花西子你疯了吗,2024-05-14 19:28:37,00:26,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
7368460667978367013,0516官号广告超光速阿会小黛伞效果混剪防晒要用完的老铁,2024-05-13 20:31:05,00:15,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7371775831108370459,0523图文广告超光速阿会玉养气垫防晒粉饼效果混剪夏天定底还得看花西子,2024-05-22 18:55:44,00:17,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7351333753208684563,3.25-博观图文-素人-小黛伞856-可视化效品口播-无-李大鑫.mp4,2024-03-28 16:50:09,00:24,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7381756952018157609,6.17-博观图文-素人-唇膜1066-可视化效品口播-无-蔡宇文.mp4,2024-06-18 16:27:44,00:27,本地上传,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7380285042613633034,6180531官号广告超光速阿会玉养气垫防晒粉饼效果混剪花西子618,2024-06-14 17:15:42,00:21,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7376942571958583322,6.3-博观图文-素人-玉养气垫+蜜粉饼1028-可视化效品口播-618-王梦园.mp4,2024-06-05 17:05:17,00:26,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7381739175672594442,6.17-博观图文-素人-小黛伞1071-可视化效品口播-无-李大鑫.mp4,2024-06-18 15:18:22,00:20,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7375111787303469093,531-博观图文-素人-玉养气垫+蜜粉饼1012-可视化效品口播-无-王梦园.mp4,2024-05-31 18:40:53,00:21,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7381311556679041043,6.14-博观图文-素人-防晒粉饼+气垫组合套装1052-可视化效品口播-618-王梦园.mp4,2024-06-17 11:39:46,00:24,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
7307540666938966043,1128-博观图文-素人-玉养蜜粉598-可视化效品口播-无-陈奕璠.mp4,2023-12-01 16:30:47,00:22,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7313829838488633380,12.11-博观图文-素人-玉养气垫602-可视化效品口播-无-王梦园.mp4,2023-12-18 15:15:44,00:18,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
7348017885464952844,3.19-博观图文-素人-小黛伞855-可视化效品口播-无-李大鑫.mp4,2024-03-19 18:23:11,00:20,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7381441170994331686,618授权至2409060617图文茄子超光速营销产品向玉养气垫防晒粉饼零吧啦到底是谁,2024-06-17 20:02:14,00:23,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7356189272187797513,0410图文广告超光速阿会小黛伞效果混剪就是这个,2024-04-10 18:51:47,00:19,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
7330143665836933158,1.29-博观图文-素人-玉养气垫730-可视化效品口播-新年&拍一发三-王梦园.mp4,2024-01-31 14:21:34,00:19,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7381311615326781503,6.14-博观图文-素人-防晒粉饼+气垫组合套装1050-可视化效品口播-618-王梦园.mp4,2024-06-17 11:39:46,00:34,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7369903655762624562,0517图文广告超光速阿会玉养气垫防晒粉饼效果混剪防晒蜜粉不用买了,2024-05-17 17:50:42,00:24,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7278570793087975436,0912-博观图文-素人-玉养蜜粉376-可视化效品口播-无-王梦园.mp4,2023-09-14 14:52:55,00:19,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7307539393028128818,1128-博观图文-素人-唇膜562-可视化效品口播-无-蔡宇文.mp4,2023-12-01 16:25:47,00:15,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7370525209659736102,5.17-博观图文-素人-防晒粉饼+气垫组合套装973-可视化效品口播-无-王梦园.mp4,2024-05-19 10:02:47,00:22,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7369429090166407204,5.13-博观图文-素人-防晒粉饼967-可视化效品口播-无-马倩.mp4,2024-05-16 11:09:15,00:36,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7354573564014395442,4.2-博观图文-素人-玉养蜜粉882-可视化效品口播-无-陈奕璠.mp4,2024-04-06 10:22:18,00:22,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7376942349895204876,6.3-博观图文-素人-玉养气垫+蜜粉饼1027-可视化效品口播-618-王梦园.mp4,2024-06-05 17:04:31,00:21,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7379857438877106239,6.11-博观图文-素人-眉粉笔1036-可视化效品口播-618-陈奕璠.mp4,2024-06-13 13:37:06,00:19,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
7356189244204105765,0410图文广告超光速阿会小黛伞效果混剪夏天到了,2024-04-10 18:51:47,00:19,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7369944455350632475,618机制授权截止至20247290517图文凡人茄子玉养气垫防晒粉饼产品向没有谁比30岁姐姐,2024-05-17 20:28:58,00:28,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7380287857976852530,6182486524图文茄子大财气垫防晒有色午郡营销产品好可怕,2024-06-14 17:26:52,00:20,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7353105193569435698,3.28-博观图文-素人-玉养气垫868-可视化效品口播-无-王梦园.mp4,2024-04-02 11:24:07,00:31,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7376904531282690085,6.3-博观图文-素人-眉粉笔1015-可视化效品口播-618-陈奕璠.mp4,2024-06-05 14:37:51,00:17,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
7273403700093321227,0829-博观图文-素人-玉养蜜粉328-可视化效品口播-无-李大鑫.mp4,2023-08-31 16:42:05,00:25,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7373952907560124426,5.27-博观图文-素人-防晒粉饼1001-可视化效品口播-无-马倩.mp4,2024-05-28 15:43:46,00:26,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11
7376840474366591027,6180604官号广告超光速阿会玉养气垫玉养蜜粉饼效果混剪你们说太贵,2024-06-05 10:29:22,00:24,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
7351343016109473830,完整版0328万家阿会小谢小黛伞效果机构承认吧你离不开它,2024-03-28 17:25:42,00:26,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7373957008755490853,6180523图文广告超光速阿会玉养气垫防晒粉饼效果混剪大家都来看看,2024-05-28 15:59:56,00:22,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7379857400026382375,6.11-博观图文-素人-唇膜1039-可视化效品口播-618-蔡宇文.mp4,2024-06-13 13:37:06,00:24,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7343163682077163570,0306图文超光速茄子玉养气垫混剪它不是粉底液,2024-03-06 16:25:48,00:37,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7284159820138119229,0922-博观图文-素人-玉养蜜粉422-可视化效品口播-无-陈奕璠.mp4,2023-09-29 16:21:16,00:35,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7339795352608473114,0226图文茄子旧版唇膜产品向混剪你可以没有口红优化,2024-02-26 14:35:04,00:18,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7380287881954705446,6180531图文茄子凡人玉养气垫防晒粉饼营销产品怎么还没有人,2024-06-14 17:26:52,00:25,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7348357788463054887,3.18-博观图文-素人-玉养气垫848-可视化效品口播-无-王梦园.mp4,2024-03-20 16:21:57,00:28,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7278193689603981372,0911-博观图文-素人-玉养蜜粉375-可视化效品口播-无-陈奕璠.mp4,2023-09-13 14:29:33,00:21,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7374724971849613350,6180530图文万家柯可防晒粉饼气垫12混剪效果还有哪个笨蛋,2024-05-30 17:39:50,00:24,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7373988782003847187,5.27-博观图文-素人-小黛伞1006-可视化效品口播-无-李大鑫.mp4,2024-05-28 18:03:13,00:27,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7373988777914646591,5.27-博观图文-素人-小黛伞1009-可视化效品口播-无-李大鑫.mp4,2024-05-28 18:03:13,00:26,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7374665797766119474,618机制0515图文广告凡人云舒营销向玉养气垫玉养蜜粉饼,2024-05-30 13:50:22,00:24,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7367686791212892211,授权至24610511图文茄子两佰WW小黛伞防晒产品向花西子你小子,2024-05-11 18:28:06,00:29,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7375156712385118258,618授权截至2507260531图文茄子凡人玉养气垫蜜粉饼香秀产品营销花西子你是够卷的,2024-05-31 21:35:17,00:25,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7381418172598190090,6.17-博观图文-素人-防晒粉饼+气垫组合套装1059-可视化效品口播-无-王梦园.mp4,2024-06-17 18:32:58,00:17,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7340154516640923699,2.26-博观图文-素人-小黛伞786-可视化效品口播-38-陈奕璠.mp4,2024-02-27 13:48:48,00:19,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7381418220769329189,6.17-博观图文-素人-防晒粉饼+气垫组合套装1060-可视化效品口播-无-王梦园.mp4,2024-06-17 18:32:58,00:36,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7363308036498898980,5.6-博观图文-素人-小黛伞949-可视化效品口播-无-李大鑫.mp4,2024-04-29 23:16:53,00:24,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7315246268736159782,授权至202402011219官号图文茄子瑜瑜不是二狗玉养蜜粉混剪最近要买定妆散粉的,2023-12-22 10:52:01,00:32,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7351333874008326207,3.25-博观图文-素人-小黛伞858-可视化效品口播-无-李大鑫.mp4,2024-03-28 16:50:39,00:22,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7373952909912850483,5.27-博观图文-素人-唇膜994-可视化效品口播-618-蔡宇文.mp4,2024-05-28 15:43:46,00:23,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13
7340154516774174746,2.26-博观图文-素人-小黛伞787-可视化效品口播-38-陈奕璠.mp4,2024-02-27 13:48:48,00:20,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7376941980079423538,6.3-博观图文-素人-玉养气垫+蜜粉饼1025-可视化效品口播-618-王梦园.mp4,2024-06-05 17:03:02,00:25,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
7300839774427283506,1108-博观图文-明星-玉养气垫547-可视化效品口播-无-王依然.mp4,2023-11-13 15:07:36,00:22,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7371102453642117130,5.13-博观图文-素人-小黛伞965-可视化效品口播-无-李大鑫.mp4,2024-05-20 23:22:47,00:20,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7376942752147062811,6.3-博观图文-素人-玉养气垫+蜜粉饼1029-可视化效品口播-618-王梦园.mp4,2024-06-05 17:06:04,00:22,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7351255434772267045,0327图文超光速茄子小黛伞效果不会还有人,2024-03-28 11:46:07,00:32,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7379824548579655715,夏天妆面层层叠加？直接用防晒+底妆+定妆+补妆四效合一的花西子防晒有色粉饼不香吗~#花西子新品 #防晒粉饼 #夏季脱妆,2024-06-13 11:36:08,00:27,抖音号主页视频,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7376944346639908915,6.3-博观图文-素人-小黛伞1019-可视化效品口播-618-李大鑫.mp4,2024-06-05 17:12:06,00:20,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7355412671246565386,0403图文广告超光速阿会小黛伞效果混剪就是这个让我一周没化妆,2024-04-08 16:38:21,00:23,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7370524984760582207,5.16-博观图文-素人-防晒粉饼+气垫组合套装972-可视化效品口播-无-王依然.mp4,2024-05-19 10:02:07,00:29,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
7309765109957672986,12.6-博观图文-素人-玉养蜜粉582-可视化效品口播-无-陈奕璠.mp4,2023-12-07 16:22:42,00:21,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7351620336671719476,不推荐你买花西子防晒粉饼的原因就是你只要花一份钱就能get一个多效合一的好物#花西子 #粉饼,2024-03-30 20:29:46,00:33,抖音号主页视频,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
7377335827741835315,618机制授权至2411170606图文茄子凡人玉养气垫玉养蜜粉饼裸宝宝维安营销产品向如果谁从包里拿出来的气垫和粉饼,2024-06-06 18:31:23,00:24,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7381441162824187930,618授权日期202407290617图文茄子凡人玉养气垫防晒粉饼长到6小张阿姨营销产品花西子为什么不单卖这个7g蜜粉,2024-06-17 20:02:14,00:23,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7345360297106325513,3.11-博观图文-素人-玉养气垫840-可视化效品口播-无-王梦园.mp4,2024-03-12 14:30:03,00:22,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7360893143511072778,422-博观图文-素人-防晒蜜粉919-可视化效品口播-无-王梦园.mp4,2024-04-23 11:05:22,00:27,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7380287839869829158,618授权至247290523图文茄子两佰山茶气垫防晒粉饼小张阿姨营销产品你怎么知道花西子618送正装的,2024-06-14 17:26:52,00:21,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7330890257648418825,0202图文凡人茄子玉养气垫产品向花西子可能是很多人的眼中钉,2024-02-02 14:38:49,00:29,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7371705834713792538,5.21-博观图文-素人-防晒粉饼+气垫组合套装992-可视化效品口播-618-王梦园.mp4,2024-05-22 14:24:13,00:27,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7351330722580873225,3.25-博观图文-素人-小黛伞857-可视化效品口播-无-李大鑫.mp4,2024-03-28 16:38:08,00:21,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7348357792561004555,3.18-博观图文-素人-玉养气垫847-可视化效品口播-无-王梦园.mp4,2024-03-20 16:21:57,00:28,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7345359287566614591,3.11-博观图文-素人-唇膜826-可视化效品口播-无-蔡宇文.mp4,2024-03-12 14:26:22,00:17,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7371358985105195046,618图文0521尾巴气垫防晒有色混剪营销我可不会一直送,2024-05-21 15:58:18,00:22,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
7345360307907035174,3.11-博观图文-素人-玉养气垫837-可视化效品口播-无-王梦园.mp4,2024-03-12 14:30:03,00:19,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7363308072154398739,428-博观图文-素人-小黛伞933-可视化效品口播-无-李大鑫.mp4,2024-04-29 23:16:53,00:21,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7329412068498194458,0125千川图文广告超光速阿会唇膜效果混剪你要问我,2024-01-29 15:02:35,00:26,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
