5-3全国分年龄、性别、受教育程度、婚姻状况的人口-受教育程度-年龄,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-合计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-女
49,1165.0,421.0,744.0,112.0,91.0,21.0,977.0,307.0,670.0,34.0,19.0,15.0,42.0,4.0,38.0
,,,,,,,,,,,,,,,
50-54岁,8120.0,2609.0,5511.0,577.0,498.0,79.0,6958.0,1953.0,5005.0,152.0,85.0,67.0,433.0,73.0,360.0
50,1381.0,434.0,947.0,102.0,84.0,18.0,1195.0,317.0,878.0,37.0,23.0,14.0,47.0,10.0,37.0
51,1463.0,490.0,973.0,121.0,103.0,18.0,1245.0,364.0,881.0,27.0,12.0,15.0,70.0,11.0,59.0
52,1765.0,574.0,1191.0,113.0,99.0,14.0,1534.0,447.0,1087.0,28.0,14.0,14.0,90.0,14.0,76.0
53,1615.0,516.0,1099.0,106.0,92.0,14.0,1391.0,400.0,991.0,28.0,15.0,13.0,90.0,9.0,81.0
54,1896.0,595.0,1301.0,135.0,120.0,15.0,1593.0,425.0,1168.0,32.0,21.0,11.0,136.0,29.0,107.0
,,,,,,,,,,,,,,,
55-59岁,9102.0,2598.0,6504.0,469.0,411.0,58.0,7746.0,2001.0,5745.0,136.0,81.0,55.0,751.0,105.0,646.0
55,1853.0,584.0,1269.0,96.0,84.0,12.0,1609.0,465.0,1144.0,22.0,17.0,5.0,126.0,18.0,108.0
56,1867.0,559.0,1308.0,116.0,98.0,18.0,1589.0,429.0,1160.0,27.0,17.0,10.0,135.0,15.0,120.0
57,2276.0,635.0,1641.0,124.0,112.0,12.0,1911.0,484.0,1427.0,41.0,19.0,22.0,200.0,20.0,180.0
58,1978.0,523.0,1455.0,93.0,80.0,13.0,1682.0,391.0,1291.0,36.0,21.0,15.0,167.0,31.0,136.0
59,1128.0,297.0,831.0,40.0,37.0,3.0,955.0,232.0,723.0,10.0,7.0,3.0,123.0,21.0,102.0
,,,,,,,,,,,,,,,
60-64岁,12386.0,3509.0,8877.0,541.0,500.0,41.0,9969.0,2669.0,7300.0,160.0,96.0,64.0,1716.0,244.0,1472.0
60,1532.0,430.0,1102.0,73.0,61.0,12.0,1252.0,328.0,924.0,18.0,14.0,4.0,189.0,27.0,162.0
61,1815.0,544.0,1271.0,87.0,84.0,3.0,1460.0,409.0,1051.0,38.0,18.0,20.0,230.0,33.0,197.0
62,2581.0,738.0,1843.0,106.0,99.0,7.0,2128.0,572.0,1556.0,26.0,15.0,11.0,321.0,52.0,269.0
63,3303.0,950.0,2353.0,161.0,149.0,12.0,2644.0,706.0,1938.0,40.0,23.0,17.0,458.0,72.0,386.0
64,3155.0,847.0,2308.0,114.0,107.0,7.0,2485.0,654.0,1831.0,38.0,26.0,12.0,518.0,60.0,458.0
,,,,,,,,,,,,,,,
65岁及以上,78326.0,23419.0,54907.0,2308.0,2108.0,200.0,42059.0,15302.0,26757.0,392.0,205.0,187.0,33567.0,5804.0,27763.0
,,,,,,,,,,,,,,,
小  学,23120875.0,10085392.0,13035483.0,980531.0,828906.0,151625.0,18386998.0,8088819.0,10298179.0,404826.0,254117.0,150709.0,3348520.0,913550.0,2434970.0
,,,,,,,,,,,,,,,
15-19岁,69367.0,38550.0,30817.0,63805.0,37656.0,26149.0,5470.0,873.0,4597.0,82.0,21.0,61.0,10.0,0.0,10.0
15,10060.0,5530.0,4530.0,9949.0,5518.0,4431.0,111.0,12.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
16,10756.0,6043.0,4713.0,10429.0,6005.0,4424.0,323.0,37.0,286.0,3.0,1.0,2.0,1.0,0.0,1.0
17,12475.0,6947.0,5528.0,11732.0,6849.0,4883.0,729.0,94.0,635.0,13.0,4.0,9.0,1.0,0.0,1.0
18,16022.0,8877.0,7145.0,14451.0,8649.0,5802.0,1545.0,223.0,1322.0,21.0,5.0,16.0,5.0,0.0,5.0
19,20054.0,11153.0,8901.0,17244.0,10635.0,6609.0,2762.0,507.0,2255.0,45.0,11.0,34.0,3.0,0.0,3.0
,,,,,,,,,,,,,,,
20-24岁,151463.0,80987.0,70476.0,93900.0,64302.0,29598.0,56024.0,16074.0,39950.0,1436.0,585.0,851.0,103.0,26.0,77.0
20,22976.0,12534.0,10442.0,18066.0,11556.0,6510.0,4792.0,949.0,3843.0,109.0,26.0,83.0,9.0,3.0,6.0
21,25107.0,13668.0,11439.0,17701.0,11879.0,5822.0,7240.0,1735.0,5505.0,154.0,50.0,104.0,12.0,4.0,8.0
22,31104.0,16693.0,14411.0,19772.0,13603.0,6169.0,11036.0,2984.0,8052.0,275.0,102.0,173.0,21.0,4.0,17.0
23,34025.0,18023.0,16002.0,19244.0,13514.0,5730.0,14374.0,4337.0,10037.0,387.0,169.0,218.0,20.0,3.0,17.0
24,38251.0,20069.0,18182.0,19117.0,13750.0,5367.0,18582.0,6069.0,12513.0,511.0,238.0,273.0,41.0,12.0,29.0
,,,,,,,,,,,,,,,
25-29岁,291784.0,148174.0,143610.0,92063.0,70315.0,21748.0,191944.0,73767.0,118177.0,7343.0,3970.0,3373.0,434.0,122.0,312.0
25,44642.0,23105.0,21537.0,19267.0,14152.0,5115.0,24542.0,8570.0,15972.0,788.0,368.0,420.0,45.0,15.0,30.0
26,48036.0,24693.0,23343.0,18087.0,13645.0,4442.0,28930.0,10556.0,18374.0,965.0,476.0,489.0,54.0,16.0,38.0
27,57626.0,29354.0,28272.0,18568.0,14189.0,4379.0,37581.0,14407.0,23174.0,1396.0,741.0,655.0,81.0,17.0,64.0
28,65603.0,32998.0,32605.0,18129.0,14098.0,4031.0,45492.0,17826.0,27666.0,1880.0,1047.0,833.0,102.0,27.0,75.0
29,75877.0,38024.0,37853.0,18012.0,14231.0,3781.0,55399.0,22408.0,32991.0,2314.0,1338.0,976.0,152.0,47.0,105.0
,,,,,,,,,,,,,,,
30-34岁,603109.0,288650.0,314459.0,94125.0,76713.0,17412.0,484264.0,197653.0,286611.0,22694.0,13729.0,8965.0,2026.0,555.0,1471.0
30,104234.0,51137.0,53097.0,21240.0,16970.0,4270.0,79385.0,32135.0,47250.0,3370.0,1969.0,1401.0,239.0,63.0,176.0
31,114874.0,55855.0,59019.0,20277.0,16436.0,3841.0,90166.0,36930.0,53236.0,4094.0,2397.0,1697.0,337.0,92.0,245.0
32,117238.0,55927.0,61311.0,17940.0,14613.0,3327.0,94477.0,38488.0,55989.0,4428.0,2717.0,1711.0,393.0,109.0,284.0
33,136448.0,64745.0,71703.0,18641.0,15382.0,3259.0,111849.0,45931.0,65918.0,5411.0,3286.0,2125.0,547.0,146.0,401.0
34,130315.0,60986.0,69329.0,16027.0,13312.0,2715.0,108387.0,44169.0,64218.0,5391.0,3360.0,2031.0,510.0,145.0,365.0
,,,,,,,,,,,,,,,
35-39岁,705459.0,321027.0,384432.0,67846.0,57215.0,10631.0,604117.0,244192.0,359925.0,28919.0,18398.0,10521.0,4577.0,1222.0,3355.0
35,123678.0,57270.0,66408.0,13832.0,11541.0,2291.0,104197.0,42409.0,61788.0,5020.0,3152.0,1868.0,629.0,168.0,461.0
36,129712.0,59482.0,70230.0,13576.0,11322.0,2254.0,110092.0,44621.0,65471.0,5293.0,3349.0,1944.0,751.0,190.0,561.0
37,132446.0,60487.0,71959.0,12682.0,10730.0,1952.0,113594.0,46126.0,67468.0,5362.0,3416.0,1946.0,808.0,215.0,593.0
38,160007.0,72406.0,87601.0,14366.0,12191.0,2175.0,137866.0,55655.0,82211.0,6658.0,4259.0,2399.0,1117.0,301.0,816.0
39,159616.0,71382.0,88234.0,13390.0,11431.0,1959.0,138368.0,55381.0,82987.0,6586.0,4222.0,2364.0,1272.0,348.0,924.0
,,,,,,,,,,,,,,,
40-44岁,1142693.0,500327.0,642366.0,72135.0,62921.0,9214.0,1012994.0,406021.0,606973.0,44078.0,28151.0,15927.0,13486.0,3234.0,10252.0
40,168699.0,74265.0,94434.0,12762.0,10947.0,1815.0,147593.0,58587.0,89006.0,6789.0,4395.0,2394.0,1555.0,336.0,1219.0
41,209963.0,93600.0,116363.0,14493.0,12631.0,1862.0,184796.0,74924.0,109872.0,8542.0,5502.0,3040.0,2132.0,543.0,1589.0
42,225578.0,98168.0,127410.0,14274.0,12406.0,1868.0,199954.0,79614.0,120340.0,8805.0,5573.0,3232.0,2545.0,575.0,1970.0
43,241718.0,105895.0,135823.0,14314.0,12555.0,1759.0,215169.0,86639.0,128530.0,9168.0,5907.0,3261.0,3067.0,794.0,2273.0
44,296735.0,128399.0,168336.0,16292.0,14382.0,1910.0,265482.0,106257.0,159225.0,10774.0,6774.0,4000.0,4187.0,986.0,3201.0
,,,,,,,,,,,,,,,
45-49岁,2177260.0,921478.0,1255782.0,94472.0,84818.0,9654.0,1972936.0,784270.0,1188666.0,67387.0,42500.0,24887.0,42465.0,9890.0,32575.0
45,336375.0,144426.0,191949.0,17074.0,15145.0,1929.0,302387.0,120535.0,181852.0,11803.0,7535.0,4268.0,5111.0,1211.0,3900.0
46,398318.0,170099.0,228219.0,19047.0,17025.0,2022.0,359393.0,143297.0,216096.0,13195.0,8243.0,4952.0,6683.0,1534.0,5149.0
47,437448.0,185732.0,251716.0,19078.0,17147.0,1931.0,396490.0,157975.0,238515.0,13577.0,8638.0,4939.0,8303.0,1972.0,6331.0
48,478158.0,200060.0,278098.0,19379.0,17462.0,1917.0,434516.0,171431.0,263085.0,14104.0,8795.0,5309.0,10159.0,2372.0,7787.0
49,526961.0,221161.0,305800.0,19894.0,18039.0,1855.0,480150.0,191032.0,289118.0,14708.0,9289.0,5419.0,12209.0,2801.0,9408.0
,,,,,,,,,,,,,,,
50-54岁,3239957.0,1350409.0,1889548.0,96484.0,88250.0,8234.0,2949522.0,1187639.0,1761883.0,76382.0,48042.0,28340.0,117569.0,26478.0,91091.0
50,601288.0,249183.0,352105.0,20282.0,18362.0,1920.0,548857.0,217064.0,331793.0,15920.0,10071.0,5849.0,16229.0,3686.0,12543.0
51,632994.0,266541.0,366453.0,19808.0,18082.0,1726.0,577600.0,234065.0,343535.0,15842.0,9876.0,5966.0,19744.0,4518.0,15226.0
52,713240.0,297514.0,415726.0,20561.0,18798.0,1763.0,650305.0,262501.0,387804.0,16897.0,10509.0,6388.0,25477.0,5706.0,19771.0
53,605532.0,250874.0,354658.0,16934.0,15582.0,1352.0,550452.0,221462.0,328990.0,13289.0,8351.0,4938.0,24857.0,5479.0,19378.0
54,686903.0,286297.0,400606.0,18899.0,17426.0,1473.0,622308.0,252547.0,369761.0,14434.0,9235.0,5199.0,31262.0,7089.0,24173.0
,,,,,,,,,,,,,,,
55-59岁,2817824.0,1121075.0,1696749.0,68446.0,63410.0,5036.0,2514576.0,986700.0,1527876.0,52837.0,33143.0,19694.0,181965.0,37822.0,144143.0
55,652531.0,267776.0,384755.0,17152.0,15803.0,1349.0,587579.0,235909.0,351670.0,13362.0,8451.0,4911.0,34438.0,7613.0,26825.0
56,620548.0,249321.0,371227.0,15785.0,14654.0,1131.0,555236.0,219164.0,336072.0,12407.0,7767.0,4640.0,37120.0,7736.0,29384.0
57,696088.0,278445.0,417643.0,17068.0,15907.0,1161.0,620389.0,244824.0,375565.0,12910.0,8169.0,4741.0,45721.0,9545.0,36176.0
58,544111.0,210074.0,334037.0,11948.0,11063.0,885.0,483132.0,185228.0,297904.0,9194.0,5686.0,3508.0,39837.0,8097.0,31740.0
59,304546.0,115459.0,189087.0,6493.0,5983.0,510.0,268240.0,101575.0,166665.0,4964.0,3070.0,1894.0,24849.0,4831.0,20018.0
,,,,,,,,,,,,,,,
60-64岁,2637421.0,1106796.0,1530625.0,62220.0,59120.0,3100.0,2253176.0,955498.0,1297678.0,38015.0,24724.0,13291.0,284010.0,67454.0,216556.0
60,385533.0,154234.0,231299.0,8764.0,8168.0,596.0,335640.0,134432.0,201208.0,6677.0,4217.0,2460.0,34452.0,7417.0,27035.0
61,400497.0,166906.0,233591.0,9453.0,8954.0,499.0,344984.0,144610.0,200374.0,6515.0,4280.0,2235.0,39545.0,9062.0,30483.0
62,553679.0,234897.0,318782.0,13903.0,13216.0,687.0,473292.0,202268.0,271024.0,8292.0,5471.0,2821.0,58192.0,13942.0,44250.0
63,661837.0,282278.0,379559.0,15598.0,14905.0,693.0,563229.0,243475.0,319754.0,8717.0,5696.0,3021.0,74293.0,18202.0,56091.0
64,635875.0,268481.0,367394.0,14502.0,13877.0,625.0,536031.0,230713.0,305318.0,7814.0,5060.0,2754.0,77528.0,18831.0,58697.0
,,,,,,,,,,,,,,,
65岁及以上,9284538.0,4207919.0,5076619.0,175035.0,164186.0,10849.0,6341975.0,3236132.0,3105843.0,65653.0,40854.0,24799.0,2701875.0,766747.0,1935128.0
,,,,,,,,,,,,,,,
初  中,43499479.0,23510726.0,19988753.0,5127902.0,3583828.0,1544074.0,35764329.0,18702621.0,17061708.0,1264236.0,739545.0,524691.0,1343012.0,484732.0,858280.0
,,,,,,,,,,,,,,,
15-19岁,1701845.0,978529.0,723316.0,1665295.0,970316.0,694979.0,36178.0,8096.0,28082.0,351.0,111.0,240.0,21.0,6.0,15.0
15,691461.0,384083.0,307378.0,690864.0,383975.0,306889.0,595.0,108.0,487.0,2.0,0.0,2.0,0.0,0.0,0.0
16,344918.0,195240.0,149678.0,342906.0,194908.0,147998.0,1994.0,329.0,1665.0,16.0,1.0,15.0,2.0,2.0,0.0
17,224449.0,131517.0,92932.0,219609.0,130514.0,89095.0,4795.0,992.0,3803.0,42.0,11.0,31.0,3.0,0.0,3.0
18,210803.0,127977.0,82826.0,200811.0,125775.0,75036.0,9885.0,2177.0,7708.0,101.0,25.0,76.0,6.0,0.0,6.0
19,230214.0,139712.0,90502.0,211105.0,135144.0,75961.0,18909.0,4490.0,14419.0,190.0,74.0,116.0,10.0,4.0,6.0
,,,,,,,,,,,,,,,
20-24岁,1675040.0,969590.0,705450.0,1137721.0,787220.0,350501.0,527656.0,178535.0,349121.0,9330.0,3753.0,5577.0,333.0,82.0,251.0
20,245012.0,148265.0,96747.0,208664.0,139013.0,69651.0,35917.0,9099.0,26818.0,413.0,152.0,261.0,18.0,1.0,17.0
21,277270.0,164378.0,112892.0,217658.0,147735.0,69923.0,58789.0,16346.0,42443.0,790.0,290.0,500.0,33.0,7.0,26.0
22,346259.0,201269.0,144990.0,244542.0,169041.0,75501.0,100082.0,31642.0,68440.0,1563.0,569.0,994.0,72.0,17.0,55.0
23,379434.0,216012.0,163422.0,235954.0,165889.0,70065.0,140867.0,49087.0,91780.0,2520.0,1006.0,1514.0,93.0,30.0,63.0
24,427065.0,239666.0,187399.0,230903.0,165542.0,65361.0,192001.0,72361.0,119640.0,4044.0,1736.0,2308.0,117.0,27.0,90.0
,,,,,,,,,,,,,,,
25-29岁,2992866.0,1622105.0,1370761.0,949964.0,720953.0,229011.0,1980230.0,868025.0,1112205.0,60539.0,32556.0,27983.0,2133.0,571.0,1562.0
25,493876.0,274506.0,219370.0,229512.0,168563.0,60949.0,258061.0,103068.0,154993.0,6088.0,2827.0,3261.0,215.0,48.0,167.0
26,511780.0,281343.0,230437.0,197849.0,148240.0,49609.0,305451.0,128954.0,176497.0,8176.0,4064.0,4112.0,304.0,85.0,219.0
27,594905.0,322282.0,272623.0,190191.0,145156.0,45035.0,392776.0,171003.0,221773.0,11543.0,6022.0,5521.0,395.0,101.0,294.0
28,650655.0,349780.0,300875.0,171420.0,133139.0,38281.0,463644.0,208185.0,255459.0,15065.0,8307.0,6758.0,526.0,149.0,377.0
29,741650.0,394194.0,347456.0,160992.0,125855.0,35137.0,560298.0,256815.0,303483.0,19667.0,11336.0,8331.0,693.0,188.0,505.0
,,,,,,,,,,,,,,,
30-34岁,5011456.0,2595821.0,2415635.0,628601.0,499467.0,129134.0,4201624.0,1988710.0,2212914.0,173103.0,105273.0,67830.0,8128.0,2371.0,5757.0
30,993419.0,522202.0,471217.0,175036.0,137679.0,37357.0,788540.0,367100.0,421440.0,28765.0,17085.0,11680.0,1078.0,338.0,740.0
31,1000140.0,519487.0,480653.0,143916.0,114589.0,29327.0,822364.0,385054.0,437310.0,32442.0,19413.0,13029.0,1418.0,431.0,987.0
32,965776.0,498136.0,467640.0,115665.0,92084.0,23581.0,814841.0,385125.0,429716.0,33706.0,20429.0,13277.0,1564.0,498.0,1066.0
33,1080376.0,556948.0,523428.0,109243.0,87472.0,21771.0,928792.0,444006.0,484786.0,40370.0,24941.0,15429.0,1971.0,529.0,1442.0
34,971745.0,499048.0,472697.0,84741.0,67643.0,17098.0,847087.0,407425.0,439662.0,37820.0,23405.0,14415.0,2097.0,575.0,1522.0
,,,,,,,,,,,,,,,
35-39岁,4500217.0,2328694.0,2171523.0,262079.0,208800.0,53279.0,4039730.0,2000485.0,2039245.0,183534.0,115545.0,67989.0,14874.0,3864.0,11010.0
35,867204.0,446784.0,420420.0,65139.0,51945.0,13194.0,765515.0,372806.0,392709.0,34287.0,21421.0,12866.0,2263.0,612.0,1651.0
36,881127.0,453804.0,427323.0,56985.0,45478.0,11507.0,786481.0,385647.0,400834.0,35207.0,22035.0,13172.0,2454.0,644.0,1810.0
37,862832.0,447374.0,415458.0,49096.0,39144.0,9952.0,775781.0,385425.0,390356.0,35063.0,22049.0,13014.0,2892.0,756.0,2136.0
38,997006.0,518174.0,478832.0,50389.0,40118.0,10271.0,901001.0,450495.0,450506.0,41961.0,26604.0,15357.0,3655.0,957.0,2698.0
39,892048.0,462558.0,429490.0,40470.0,32115.0,8355.0,810952.0,406112.0,404840.0,37016.0,23436.0,13580.0,3610.0,895.0,2715.0
,,,,,,,,,,,,,,,
40-44岁,4504421.0,2346695.0,2157726.0,153020.0,122609.0,30411.0,4134928.0,2102342.0,2032586.0,187594.0,114121.0,73473.0,28879.0,7623.0,21256.0
40,825287.0,428767.0,396520.0,34225.0,27173.0,7052.0,752817.0,379288.0,373529.0,34200.0,21237.0,12963.0,4045.0,1069.0,2976.0
41,926002.0,481861.0,444141.0,34036.0,27346.0,6690.0,847453.0,428838.0,418615.0,39458.0,24336.0,15122.0,5055.0,1341.0,3714.0
42,895016.0,465432.0,429584.0,29981.0,24058.0,5923.0,821732.0,417172.0,404560.0,37528.0,22716.0,14812.0,5775.0,1486.0,4289.0
43,871878.0,455451.0,416427.0,27092.0,21745.0,5347.0,801987.0,410093.0,391894.0,36583.0,21976.0,14607.0,6216.0,1637.0,4579.0
44,986238.0,515184.0,471054.0,27686.0,22287.0,5399.0,910939.0,466951.0,443988.0,39825.0,23856.0,15969.0,7788.0,2090.0,5698.0
,,,,,,,,,,,,,,,
45-49岁,5776662.0,3033865.0,2742797.0,131692.0,107001.0,24691.0,5363241.0,2784780.0,2578461.0,213314.0,123123.0,90191.0,68415.0,18961.0,49454.0
45,1020325.0,533453.0,486872.0,27308.0,22205.0,5103.0,942987.0,484948.0,458039.0,40531.0,23778.0,16753.0,9499.0,2522.0,6977.0
46,1129413.0,589033.0,540380.0,27854.0,22629.0,5225.0,1047036.0,538084.0,508952.0,42962.0,25108.0,17854.0,11561.0,3212.0,8349.0
47,1177863.0,618424.0,559439.0,26999.0,21885.0,5114.0,1093646.0,567672.0,525974.0,43626.0,25152.0,18474.0,13592.0,3715.0,9877.0
48,1206916.0,634956.0,571960.0,25445.0,20682.0,4763.0,1122804.0,585264.0,537540.0,43079.0,24543.0,18536.0,15588.0,4467.0,11121.0
49,1242145.0,657999.0,584146.0,24086.0,19600.0,4486.0,1156768.0,608812.0,547956.0,43116.0,24542.0,18574.0,18175.0,5045.0,13130.0
,,,,,,,,,,,,,,,
50-54岁,5912635.0,3153998.0,2758637.0,86829.0,72118.0,14711.0,5507549.0,2938707.0,2568842.0,185213.0,103884.0,81329.0,133044.0,39289.0,93755.0
50,1297731.0,685348.0,612383.0,22785.0,18776.0,4009.0,1209080.0,635646.0,573434.0,43652.0,24697.0,18955.0,22214.0,6229.0,15985.0
51,1188010.0,631425.0,556585.0,18615.0,15394.0,3221.0,1106432.0,587072.0,519360.0,39303.0,21986.0,17317.0,23660.0,6973.0,16687.0
52,1267689.0,676590.0,591099.0,17993.0,14908.0,3085.0,1181408.0,630863.0,550545.0,39992.0,22407.0,17585.0,28296.0,8412.0,19884.0
53,1018208.0,545337.0,472871.0,13536.0,11309.0,2227.0,948902.0,509637.0,439265.0,29718.0,16666.0,13052.0,26052.0,7725.0,18327.0
54,1140997.0,615298.0,525699.0,13900.0,11731.0,2169.0,1061727.0,575489.0,486238.0,32548.0,18128.0,14420.0,32822.0,9950.0,22872.0
,,,,,,,,,,,,,,,
55-59岁,4484247.0,2410427.0,2073820.0,49946.0,42251.0,7695.0,4128725.0,2242825.0,1885900.0,126816.0,70984.0,55832.0,178760.0,54367.0,124393.0
55,1101295.0,589639.0,511656.0,12622.0,10614.0,2008.0,1020625.0,550498.0,470127.0,32020.0,17723.0,14297.0,36028.0,10804.0,25224.0
56,1034558.0,551017.0,483541.0,11745.0,9892.0,1853.0,953927.0,512857.0,441070.0,30499.0,16886.0,13613.0,38387.0,11382.0,27005.0
57,1153030.0,620696.0,532334.0,12898.0,10977.0,1921.0,1059972.0,576937.0,483035.0,32658.0,18335.0,14323.0,47502.0,14447.0,33055.0
58,791417.0,430952.0,360465.0,8379.0,7137.0,1242.0,726438.0,400913.0,325525.0,20281.0,11523.0,8758.0,36319.0,11379.0,24940.0
59,403947.0,218123.0,185824.0,4302.0,3631.0,671.0,367763.0,201620.0,166143.0,11358.0,6517.0,4841.0,20524.0,6355.0,14169.0
,,,,,,,,,,,,,,,
60-64岁,2563449.0,1463296.0,1100153.0,25827.0,22286.0,3541.0,2301268.0,1343214.0,958054.0,63280.0,36088.0,27192.0,173074.0,61708.0,111366.0
60,481820.0,264966.0,216854.0,4983.0,4225.0,758.0,435324.0,244004.0,191320.0,13887.0,7783.0,6104.0,27626.0,8954.0,18672.0
61,434753.0,246237.0,188516.0,4499.0,3877.0,622.0,391653.0,226204.0,165449.0,11546.0,6693.0,4853.0,27055.0,9463.0,17592.0
62,540380.0,310105.0,230275.0,5539.0,4795.0,744.0,485375.0,284837.0,200538.0,13438.0,7764.0,5674.0,36028.0,12709.0,23319.0
63,587689.0,342350.0,245339.0,5821.0,5089.0,732.0,526856.0,314124.0,212732.0,13178.0,7553.0,5625.0,41834.0,15584.0,26250.0
64,518807.0,299638.0,219169.0,4985.0,4300.0,685.0,462060.0,274045.0,188015.0,11231.0,6295.0,4936.0,40531.0,14998.0,25533.0
,,,,,,,,,,,,,,,
65岁及以上,4376641.0,2607706.0,1768935.0,36928.0,30807.0,6121.0,3543200.0,2246902.0,1296298.0,61162.0,34107.0,27055.0,735351.0,295890.0,439461.0
,,,,,,,,,,,,,,,
高  中,21181802.0,11691454.0,9490348.0,6952207.0,4056670.0,2895537.0,13283842.0,7234815.0,6049027.0,570357.0,273924.0,296433.0,375396.0,126045.0,249351.0
,,,,,,,,,,,,,,,
15-19岁,4356713.0,2312781.0,2043932.0,4348256.0,2310539.0,2037717.0,8382.0,2213.0,6169.0,68.0,27.0,41.0,7.0,2.0,5.0
15,857026.0,440399.0,416627.0,856948.0,440365.0,416583.0,76.0,33.0,43.0,2.0,1.0,1.0,0.0,0.0,0.0
16,1340940.0,703060.0,637880.0,1340642.0,702970.0,637672.0,294.0,89.0,205.0,3.0,1.0,2.0,1.0,0.0,1.0
17,1172037.0,619479.0,552558.0,1171199.0,619220.0,551979.0,827.0,254.0,573.0,9.0,4.0,5.0,2.0,1.0,1.0
18,645391.0,355720.0,289671.0,643185.0,355155.0,288030.0,2188.0,559.0,1629.0,17.0,5.0,12.0,1.0,1.0,0.0
19,341319.0,194123.0,147196.0,336282.0,192829.0,143453.0,4997.0,1278.0,3719.0,37.0,16.0,21.0,3.0,0.0,3.0
,,,,,,,,,,,,,,,
20-24岁,1377899.0,793242.0,584657.0,1143447.0,713614.0,429833.0,231694.0,78755.0,152939.0,2652.0,850.0,1802.0,106.0,23.0,83.0
20,272488.0,156444.0,116044.0,260886.0,153676.0,107210.0,11493.0,2736.0,8757.0,99.0,28.0,71.0,10.0,4.0,6.0
21,245938.0,142184.0,103754.0,224066.0,136582.0,87484.0,21693.0,5560.0,16133.0,171.0,40.0,131.0,8.0,2.0,6.0
22,274135.0,158551.0,115584.0,232343.0,145541.0,86802.0,41379.0,12880.0,28499.0,399.0,128.0,271.0,14.0,2.0,12.0
23,282911.0,162894.0,120017.0,218149.0,140286.0,77863.0,64048.0,22374.0,41674.0,684.0,227.0,457.0,30.0,7.0,23.0
24,302427.0,173169.0,129258.0,208003.0,137529.0,70474.0,93081.0,35205.0,57876.0,1299.0,427.0,872.0,44.0,8.0,36.0
,,,,,,,,,,,,,,,
25-29岁,1875380.0,1044782.0,830598.0,771307.0,542054.0,229253.0,1078949.0,491455.0,587494.0,24491.0,11123.0,13368.0,633.0,150.0,483.0
25,333166.0,189272.0,143894.0,196913.0,133733.0,63180.0,134080.0,54721.0,79359.0,2121.0,806.0,1315.0,52.0,12.0,40.0
26,332994.0,187635.0,145359.0,167488.0,116244.0,51244.0,162362.0,70119.0,92243.0,3073.0,1261.0,1812.0,71.0,11.0,60.0
27,373148.0,207310.0,165838.0,153967.0,109198.0,44769.0,214463.0,96077.0,118386.0,4602.0,2004.0,2598.0,116.0,31.0,85.0
28,396629.0,219403.0,177226.0,133647.0,95928.0,37719.0,256719.0,120593.0,136126.0,6097.0,2838.0,3259.0,166.0,44.0,122.0
29,439443.0,241162.0,198281.0,119292.0,86951.0,32341.0,311325.0,149945.0,161380.0,8598.0,4214.0,4384.0,228.0,52.0,176.0
,,,,,,,,,,,,,,,
30-34岁,2570691.0,1386696.0,1183995.0,398305.0,291389.0,106916.0,2095373.0,1055696.0,1039677.0,74633.0,38931.0,35702.0,2380.0,680.0,1700.0
30,557476.0,302189.0,255287.0,122106.0,89299.0,32807.0,422737.0,206579.0,216158.0,12262.0,6191.0,6071.0,371.0,120.0,251.0
31,535838.0,289611.0,246227.0,93641.0,68985.0,24656.0,427963.0,213310.0,214653.0,13852.0,7207.0,6645.0,382.0,109.0,273.0
32,499275.0,268731.0,230544.0,72678.0,53261.0,19417.0,411313.0,207649.0,203664.0,14825.0,7695.0,7130.0,459.0,126.0,333.0
33,531726.0,285997.0,245729.0,63965.0,46648.0,17317.0,449573.0,229949.0,219624.0,17601.0,9224.0,8377.0,587.0,176.0,411.0
34,446376.0,240168.0,206208.0,45915.0,33196.0,12719.0,383787.0,198209.0,185578.0,16093.0,8614.0,7479.0,581.0,149.0,432.0
,,,,,,,,,,,,,,,
