序号,一级类,二级类,名字,地区,最高价,平均价,最低价,发布日期
313,肉禽蛋,禽蛋类,肉鸡,,7.0,6.9,6.8,2024-06-27 00:00:00
314,肉禽蛋,禽蛋类,鸡胸,,7.0,6.5,6.0,2024-06-27 00:00:00
315,肉禽蛋,禽蛋类,鸡翅,,11.0,11.0,11.0,2024-06-27 00:00:00
316,肉禽蛋,禽蛋类,鸡翅尖,,7.5,7.25,7.0,2024-06-27 00:00:00
317,肉禽蛋,禽蛋类,鸡翅中,,20.0,20.0,20.0,2024-06-27 00:00:00
318,肉禽蛋,禽蛋类,鸡翅根,,7.0,7.0,7.0,2024-06-27 00:00:00
319,肉禽蛋,禽蛋类,鸡边腿,,6.5,6.25,6.0,2024-06-27 00:00:00
320,肉禽蛋,禽蛋类,鸡排腿,,7.0,6.9,6.8,2024-06-27 00:00:00
321,肉禽蛋,禽蛋类,鸡琵琶腿,,7.0,6.75,6.5,2024-06-27 00:00:00
322,肉禽蛋,禽蛋类,鸡胗,,12.0,11.0,10.0,2024-06-27 00:00:00
323,肉禽蛋,禽蛋类,鸡爪,,20.0,20.0,20.0,2024-06-27 00:00:00
324,肉禽蛋,禽蛋类,鸡心,,5.0,5.0,5.0,2024-06-27 00:00:00
325,肉禽蛋,禽蛋类,鸡肝,,3.0,3.0,3.0,2024-06-27 00:00:00
326,肉禽蛋,禽蛋类,鸡脖子,,5.0,4.9,4.8,2024-06-27 00:00:00
327,肉禽蛋,禽蛋类,鸡头,,3.0,2.75,2.5,2024-06-27 00:00:00
328,肉禽蛋,禽蛋类,鸡油,,5.5,5.5,5.5,2024-06-27 00:00:00
329,肉禽蛋,禽蛋类,鸡架子,,4.0,3.75,3.5,2024-06-27 00:00:00
330,肉禽蛋,禽蛋类,白条乌鸡,,12.0,11.75,11.5,2024-06-27 00:00:00
331,肉禽蛋,禽蛋类,黑爪公鸡,,13.0,12.0,11.0,2024-06-27 00:00:00
332,肉禽蛋,禽蛋类,白条鹅,,13.0,12.0,11.0,2024-06-27 00:00:00
333,肉禽蛋,禽蛋类,白条湖鸭,,7.5,7.25,7.0,2024-06-27 00:00:00
334,肉禽蛋,禽蛋类,鸭肠,,7.5,7.25,7.0,2024-06-27 00:00:00
335,肉禽蛋,禽蛋类,鸭肝,,2.5,2.5,2.5,2024-06-27 00:00:00
336,肉禽蛋,禽蛋类,鸭头,,11.0,10.25,9.5,2024-06-27 00:00:00
337,肉禽蛋,禽蛋类,鸭心,,5.0,4.75,4.5,2024-06-27 00:00:00
338,肉禽蛋,禽蛋类,鸭腿,,6.0,5.5,5.0,2024-06-27 00:00:00
339,肉禽蛋,禽蛋类,鸭胗,,15.0,14.75,14.5,2024-06-27 00:00:00
340,肉禽蛋,禽蛋类,鸭脖子,,10.0,9.5,9.0,2024-06-27 00:00:00
341,肉禽蛋,禽蛋类,白条乳鸽,,23.0,22.0,21.0,2024-06-27 00:00:00
342,肉禽蛋,禽蛋类,白条兔,,23.0,23.0,23.0,2024-06-27 00:00:00
343,肉禽蛋,禽蛋类,箱鸡蛋,,173.0,170.5,168.0,2024-06-27 00:00:00
344,肉禽蛋,禽蛋类,箱鸡蛋,,3.93,3.88,3.82,2024-06-27 00:00:00
345,肉禽蛋,禽蛋类,散鸡蛋,,4.5,4.4,4.3,2024-06-27 00:00:00
346,肉禽蛋,禽蛋类,生鸭蛋,,7.5,7.25,7.0,2024-06-27 00:00:00
347,肉禽蛋,禽蛋类,熟鸭蛋,,9.0,8.65,8.3,2024-06-27 00:00:00
348,肉禽蛋,禽蛋类,松花蛋,,9.0,8.25,7.5,2024-06-27 00:00:00
349,肉禽蛋,禽蛋类,鹅蛋,,18.5,17.5,16.5,2024-06-27 00:00:00
350,肉禽蛋,禽蛋类,鹌鹑蛋,,7.0,6.35,5.7,2024-06-27 00:00:00
351,肉禽蛋,禽蛋类,柴鸡蛋,,8.0,6.0,4.0,2024-06-27 00:00:00
352,肉禽蛋,禽蛋类,乌鸡蛋,,8.5,7.65,6.8,2024-06-27 00:00:00
353,肉禽蛋,禽蛋类,大雁蛋,,20.0,19.0,18.0,2024-06-27 00:00:00
354,肉禽蛋,禽蛋类,变蛋,,1.0,0.83,0.65,2024-06-27 00:00:00
355,肉禽蛋,禽蛋类,鸵鸟蛋,,150.0,115.0,80.0,2024-06-27 00:00:00
356,肉禽蛋,禽蛋类,鸽子蛋,,3.0,2.9,2.8,2024-06-27 00:00:00
357,肉禽蛋,禽蛋类,活珠子,,1.5,1.43,1.35,2024-06-27 00:00:00
358,肉禽蛋,禽蛋类,山鸡蛋,,1.1,1.0,0.9,2024-06-27 00:00:00
359,水产,淡水鱼,鲤鱼,,7.0,7.0,7.0,2024-06-27 00:00:00
360,水产,淡水鱼,鲤鱼,,7.5,7.25,7.0,2024-06-27 00:00:00
361,水产,淡水鱼,草鱼,,7.5,7.25,7.0,2024-06-27 00:00:00
362,水产,淡水鱼,草鱼,,7.5,7.25,7.0,2024-06-27 00:00:00
363,水产,淡水鱼,草鱼,,9.0,8.5,8.0,2024-06-27 00:00:00
364,水产,淡水鱼,鲫鱼,,13.5,13.25,13.0,2024-06-27 00:00:00
365,水产,淡水鱼,鲫鱼,,15.0,14.5,14.0,2024-06-27 00:00:00
366,水产,淡水鱼,鲫鱼,,16.0,15.5,15.0,2024-06-27 00:00:00
367,水产,淡水鱼,胖头鱼,,10.5,10.25,10.0,2024-06-27 00:00:00
368,水产,淡水鱼,胖头鱼,,12.0,11.5,11.0,2024-06-27 00:00:00
369,水产,淡水鱼,武昌鱼,,13.0,12.0,11.0,2024-06-27 00:00:00
370,水产,淡水鱼,鲢鱼,,4.5,4.25,4.0,2024-06-27 00:00:00
371,水产,淡水鱼,鲢鱼,,4.0,3.75,3.5,2024-06-27 00:00:00
372,水产,淡水鱼,鲶鱼,,6.0,5.75,5.5,2024-06-27 00:00:00
373,水产,淡水鱼,松花鱼,,11.0,10.5,10.0,2024-06-27 00:00:00
374,水产,淡水鱼,黑鱼,,12.0,11.5,11.0,2024-06-27 00:00:00
375,水产,淡水鱼,黑鱼,,13.0,12.5,12.0,2024-06-27 00:00:00
376,水产,淡水鱼,黄鳝,,32.0,31.0,30.0,2024-06-27 00:00:00
377,水产,淡水鱼,黄鳝,,42.0,40.0,38.0,2024-06-27 00:00:00
378,水产,淡水鱼,罗非鱼,,13.0,12.5,12.0,2024-06-27 00:00:00
379,水产,淡水鱼,虹鳟鱼,,25.0,24.5,24.0,2024-06-27 00:00:00
380,水产,淡水鱼,鲟鱼,,22.0,21.5,21.0,2024-06-27 00:00:00
381,水产,淡水鱼,青鱼,,15.0,14.0,13.0,2024-06-27 00:00:00
382,水产,淡水鱼,桂鱼,,52.0,50.5,49.0,2024-06-27 00:00:00
383,水产,淡水鱼,嘎鱼,,24.0,23.5,23.0,2024-06-27 00:00:00
384,水产,淡水鱼,嘎鱼,,24.0,23.5,23.0,2024-06-27 00:00:00
385,水产,淡水鱼,淡水鲈鱼,,25.0,24.0,23.0,2024-06-27 00:00:00
386,水产,淡水鱼,泥鳅,,17.0,13.5,10.0,2024-06-27 00:00:00
387,水产,淡水鱼,清江鱼,,11.0,10.0,9.0,2024-06-27 00:00:00
388,水产,海水鱼,三文鱼肉,,120.0,105.0,90.0,2024-06-27 00:00:00
389,水产,海水鱼,三文鱼肉,,70.0,65.0,60.0,2024-06-27 00:00:00
390,水产,海水鱼,多春鱼,,18.0,17.0,16.0,2024-06-27 00:00:00
391,水产,海水鱼,燕鲅,,26.0,20.5,15.0,2024-06-27 00:00:00
392,水产,海水鱼,鲐鲅,,6.0,5.5,5.0,2024-06-27 00:00:00
393,水产,海水鱼,小黄花鱼,,10.0,8.5,7.0,2024-06-27 00:00:00
394,水产,海水鱼,鲽鱼,,30.0,29.5,29.0,2024-06-27 00:00:00
395,水产,海水鱼,红星斑,,150.0,147.5,145.0,2024-06-27 00:00:00
396,水产,海水鱼,多宝鱼,,30.0,28.0,26.0,2024-06-27 00:00:00
397,水产,海水鱼,石斑鱼,,65.0,62.5,60.0,2024-06-27 00:00:00
398,水产,海水鱼,鳕鱼,,6.0,5.5,5.0,2024-06-27 00:00:00
399,水产,海水鱼,牛尾巴鱼,,18.0,14.0,10.0,2024-06-27 00:00:00
400,水产,海水鱼,小公鱼,,12.0,11.5,11.0,2024-06-27 00:00:00
401,水产,海水鱼,带鱼,网,9.0,8.5,8.0,2024-06-27 00:00:00
402,水产,海水鱼,带鱼,网,13.0,12.5,12.0,2024-06-27 00:00:00
403,水产,海水鱼,带鱼,网,15.0,14.5,14.0,2024-06-27 00:00:00
404,水产,海水鱼,带鱼,吊,12.0,11.0,10.0,2024-06-27 00:00:00
405,水产,海水鱼,带鱼,吊,16.0,15.5,15.0,2024-06-27 00:00:00
406,水产,海水鱼,带鱼,吊,18.0,17.0,16.0,2024-06-27 00:00:00
407,水产,海水鱼,黄花鱼,国产,16.0,15.5,15.0,2024-06-27 00:00:00
408,水产,海水鱼,黄花鱼,国产,18.0,17.5,17.0,2024-06-27 00:00:00
409,水产,海水鱼,黄花鱼,国产,18.0,17.5,17.0,2024-06-27 00:00:00
410,水产,海水鱼,平鱼,国产,14.0,13.5,13.0,2024-06-27 00:00:00
411,水产,海水鱼,平鱼,国产,20.0,19.0,18.0,2024-06-27 00:00:00
412,水产,海水鱼,平鱼,国产,30.0,29.0,28.0,2024-06-27 00:00:00
413,水产,海水鱼,平鱼,国产,48.0,46.5,45.0,2024-06-27 00:00:00
414,水产,海水鱼,鱿鱼,,21.0,20.0,19.0,2024-06-27 00:00:00
415,水产,海水鱼,鱿鱼,,24.0,23.5,23.0,2024-06-27 00:00:00
416,水产,海水鱼,八爪鱼,,45.0,42.5,40.0,2024-06-27 00:00:00
417,水产,海水鱼,海鲈鱼,,14.0,13.5,13.0,2024-06-27 00:00:00
418,水产,海水鱼,墨鱼,,28.0,27.5,27.0,2024-06-27 00:00:00
419,水产,海水鱼,金鲳鱼,,24.0,23.5,23.0,2024-06-27 00:00:00
420,水产,海水鱼,金鲳鱼,,25.0,24.0,23.0,2024-06-27 00:00:00
421,水产,虾蟹类,白虾,,15.0,14.5,14.0,2024-06-27 00:00:00
422,水产,虾蟹类,白虾,,25.0,23.75,22.5,2024-06-27 00:00:00
423,水产,虾蟹类,白虾,,22.0,21.0,20.0,2024-06-27 00:00:00
424,水产,虾蟹类,白虾,,20.0,20.0,20.0,2024-06-27 00:00:00
425,水产,虾蟹类,白虾（笼装）,,25.0,24.5,24.0,2024-06-27 00:00:00
426,水产,虾蟹类,白虾（笼装）,,23.0,23.0,23.0,2024-06-27 00:00:00
427,水产,虾蟹类,白虾（精品）,,26.0,26.0,26.0,2024-06-27 00:00:00
428,水产,虾蟹类,白虾（精品）,,25.0,25.0,25.0,2024-06-27 00:00:00
429,水产,虾蟹类,小海白虾,,30.0,27.5,25.0,2024-06-27 00:00:00
430,水产,虾蟹类,小河虾,,25.0,22.5,20.0,2024-06-27 00:00:00
431,水产,虾蟹类,小河虾,,35.0,32.5,30.0,2024-06-27 00:00:00
432,水产,虾蟹类,小龙虾,,18.0,17.5,17.0,2024-06-27 00:00:00
433,水产,虾蟹类,小龙虾,,24.0,23.5,23.0,2024-06-27 00:00:00
434,水产,虾蟹类,琵琶虾,,70.0,62.5,55.0,2024-06-27 00:00:00
435,水产,虾蟹类,小青龙虾,,180.0,177.5,175.0,2024-06-27 00:00:00
436,水产,虾蟹类,虾仁,,28.0,27.0,26.0,2024-06-27 00:00:00
437,水产,虾蟹类,基围虾,,90.0,82.5,75.0,2024-06-27 00:00:00
438,水产,虾蟹类,罗氏虾,,65.0,62.5,60.0,2024-06-27 00:00:00
439,水产,虾蟹类,波士顿龙虾,,140.0,120.0,100.0,2024-06-27 00:00:00
440,水产,虾蟹类,澳洲龙虾,,450.0,425.0,400.0,2024-06-27 00:00:00
441,水产,虾蟹类,玫瑰龙虾,,330.0,325.0,320.0,2024-06-27 00:00:00
442,水产,虾蟹类,母梭子蟹,,120.0,110.0,100.0,2024-06-27 00:00:00
443,水产,虾蟹类,公梭子蟹,,100.0,90.0,80.0,2024-06-27 00:00:00
444,水产,虾蟹类,珍宝蟹,,145.0,137.5,130.0,2024-06-27 00:00:00
445,水产,虾蟹类,帝王蟹,,310.0,300.0,290.0,2024-06-27 00:00:00
446,水产,虾蟹类,面包蟹,,90.0,85.0,80.0,2024-06-27 00:00:00
447,水产,贝壳类,鲍鱼,,12.0,11.0,10.0,2024-06-27 00:00:00
448,水产,贝壳类,鲍鱼,,8.0,7.0,6.0,2024-06-27 00:00:00
449,水产,贝壳类,鲍鱼,,4.0,3.5,3.0,2024-06-27 00:00:00
450,水产,贝壳类,扇贝,,50.0,47.5,45.0,2024-06-27 00:00:00
451,水产,贝壳类,扇贝,,43.0,42.5,42.0,2024-06-27 00:00:00
452,水产,贝壳类,扇贝,,42.0,41.0,40.0,2024-06-27 00:00:00
453,水产,贝壳类,小红扇贝,,10.0,9.5,9.0,2024-06-27 00:00:00
454,水产,贝壳类,象拔蚌,,85.0,82.5,80.0,2024-06-27 00:00:00
455,水产,贝壳类,角螺,,38.0,36.5,35.0,2024-06-27 00:00:00
456,水产,贝壳类,赤贝,,18.0,16.5,15.0,2024-06-27 00:00:00
457,水产,贝壳类,花螺,,45.0,33.5,22.0,2024-06-27 00:00:00
458,水产,贝壳类,钉螺,,10.0,9.5,9.0,2024-06-27 00:00:00
459,水产,贝壳类,海螺,,19.0,18.0,17.0,2024-06-27 00:00:00
460,水产,贝壳类,海螺,,25.0,23.5,22.0,2024-06-27 00:00:00
461,水产,贝壳类,海螺,,45.0,39.0,33.0,2024-06-27 00:00:00
462,水产,贝壳类,竹蛏子,,15.0,12.5,10.0,2024-06-27 00:00:00
463,水产,贝壳类,蛏子,,20.0,19.0,18.0,2024-06-27 00:00:00
464,水产,贝壳类,带子,,18.0,17.0,16.0,2024-06-27 00:00:00
465,水产,贝壳类,生蚝,,8.0,7.5,7.0,2024-06-27 00:00:00
466,水产,贝壳类,生蚝,,9.0,8.5,8.0,2024-06-27 00:00:00
467,水产,贝壳类,黄蚬子,,32.0,22.5,13.0,2024-06-27 00:00:00
468,水产,贝壳类,文蛤,,12.0,11.0,10.0,2024-06-27 00:00:00
469,水产,贝壳类,白蛤,,7.0,6.5,6.0,2024-06-27 00:00:00
470,水产,贝壳类,青蛤,,15.0,13.5,12.0,2024-06-27 00:00:00
471,水产,贝壳类,花蛤,,5.0,4.5,4.0,2024-06-27 00:00:00
472,水产,贝壳类,毛钳,,8.0,7.0,6.0,2024-06-27 00:00:00
473,水产,贝壳类,田螺,,4.0,3.5,3.0,2024-06-27 00:00:00
474,水产,贝壳类,猫眼螺,,32.0,26.0,20.0,2024-06-27 00:00:00
475,水产,其他类,甲鱼,,50.0,42.5,35.0,2024-06-27 00:00:00
476,水产,其他类,甲鱼,,30.0,25.0,20.0,2024-06-27 00:00:00
477,水产,其他类,蚕蛹,,42.0,41.0,40.0,2024-06-27 00:00:00
478,水产,其他类,牛蛙,,11.0,10.5,10.0,2024-06-27 00:00:00
479,水产,其他类,海蜇头,,12.0,11.0,10.0,2024-06-27 00:00:00
480,水产,其他类,海蜇皮,,15.0,13.5,12.0,2024-06-27 00:00:00
481,水产,其他类,海蜇丝,,8.5,7.75,7.0,2024-06-27 00:00:00
482,蔬菜,,大白菜,冀,0.55,0.5,0.45,2024-06-26 00:00:00
483,蔬菜,,娃娃菜,冀,0.7,0.65,0.6,2024-06-26 00:00:00
484,蔬菜,,小白菜,冀,1.5,1.35,1.2,2024-06-26 00:00:00
485,蔬菜,,圆白菜,冀,1.0,0.75,0.5,2024-06-26 00:00:00
486,蔬菜,,紫甘蓝,冀,0.8,0.75,0.7,2024-06-26 00:00:00
487,蔬菜,,芹菜,冀,1.8,1.7,1.6,2024-06-26 00:00:00
488,蔬菜,,西芹,辽,1.8,1.55,1.3,2024-06-26 00:00:00
489,蔬菜,,菠菜,冀蒙,2.5,2.25,2.0,2024-06-26 00:00:00
490,蔬菜,,莴笋,冀,1.6,1.5,1.4,2024-06-26 00:00:00
491,蔬菜,,团生菜,冀,1.3,1.1,0.9,2024-06-26 00:00:00
492,蔬菜,,罗马生菜,云京,2.0,1.5,1.0,2024-06-26 00:00:00
493,蔬菜,,散叶生菜,冀京,1.0,0.9,0.8,2024-06-26 00:00:00
494,蔬菜,,油菜,京,1.5,1.4,1.3,2024-06-26 00:00:00
495,蔬菜,,香菜,冀,3.0,2.5,2.0,2024-06-26 00:00:00
496,蔬菜,,茴香,冀,1.5,1.25,1.0,2024-06-26 00:00:00
497,蔬菜,,韭菜,冀,1.8,1.55,1.3,2024-06-26 00:00:00
498,蔬菜,,苦菊,辽,2.1,2.05,2.0,2024-06-26 00:00:00
499,蔬菜,,油麦菜,京,2.0,1.75,1.5,2024-06-26 00:00:00
500,蔬菜,,散菜花,冀,2.4,2.0,1.6,2024-06-26 00:00:00
501,蔬菜,,绿菜花,冀,2.6,2.45,2.3,2024-06-26 00:00:00
502,蔬菜,,绿豆芽,,1.0,0.98,0.95,2024-06-26 00:00:00
503,蔬菜,,黄豆芽,,0.9,0.88,0.85,2024-06-26 00:00:00
504,蔬菜,,番茄,冀蒙,1.0,0.8,0.6,2024-06-26 00:00:00
505,蔬菜,,番茄,冀蒙,1.3,1.05,0.8,2024-06-26 00:00:00
506,蔬菜,,番茄,鲁蒙,1.5,1.25,1.0,2024-06-26 00:00:00
507,蔬菜,,黄瓜,辽鲁冀蒙,2.2,1.7,1.2,2024-06-26 00:00:00
508,蔬菜,,黄瓜,冀,2.6,2.05,1.5,2024-06-26 00:00:00
509,蔬菜,,小黄瓜,辽鲁,4.0,3.4,2.8,2024-06-26 00:00:00
510,蔬菜,,小黄瓜,辽鲁,4.3,4.05,3.8,2024-06-26 00:00:00
511,蔬菜,,茄子,冀鲁,1.5,1.05,0.6,2024-06-26 00:00:00
512,蔬菜,,长茄,辽,1.8,1.3,0.8,2024-06-26 00:00:00
513,蔬菜,,线茄,冀,1.5,1.15,0.8,2024-06-26 00:00:00
514,蔬菜,,广茄,云京,3.5,2.5,1.5,2024-06-26 00:00:00
515,蔬菜,,冬瓜,冀,0.7,0.65,0.6,2024-06-26 00:00:00
516,蔬菜,,冬瓜,冀鄂,0.5,0.45,0.4,2024-06-26 00:00:00
517,蔬菜,,毛冬瓜,冀鲁,0.8,0.68,0.55,2024-06-26 00:00:00
518,蔬菜,,架豆,冀晋云,4.0,3.4,2.8,2024-06-26 00:00:00
519,蔬菜,,豆王,辽冀甘云,4.5,3.25,2.0,2024-06-26 00:00:00
520,蔬菜,,扁豆,晋冀,4.5,3.5,2.5,2024-06-26 00:00:00
521,蔬菜,,豇豆,鲁冀,2.5,2.25,2.0,2024-06-26 00:00:00
522,蔬菜,,白不老,冀辽,4.0,3.1,2.2,2024-06-26 00:00:00
523,蔬菜,,油豆,辽冀,5.5,4.75,4.0,2024-06-26 00:00:00
524,蔬菜,,毛豆,川云,2.8,2.65,2.5,2024-06-26 00:00:00
525,蔬菜,,花生,琼粤,7.0,6.0,5.0,2024-06-26 00:00:00
526,蔬菜,,玉米,津冀,1.0,0.9,0.8,2024-06-26 00:00:00
527,蔬菜,,玉米,津冀,1.3,1.2,1.1,2024-06-26 00:00:00
528,蔬菜,,苦瓜,鲁,2.8,2.65,2.5,2024-06-26 00:00:00
529,蔬菜,,丝瓜,豫鲁冀,4.0,3.9,3.8,2024-06-26 00:00:00
530,蔬菜,,西葫芦,冀晋,2.2,1.85,1.5,2024-06-26 00:00:00
531,蔬菜,,贝贝南瓜,鲁冀,1.5,1.3,1.1,2024-06-26 00:00:00
532,蔬菜,,金丝南瓜,鲁冀,1.0,0.85,0.7,2024-06-26 00:00:00
533,蔬菜,,板栗南瓜,冀鲁,1.3,1.2,1.1,2024-06-26 00:00:00
534,蔬菜,,南北瓜,桂琼冀,1.0,0.9,0.8,2024-06-26 00:00:00
535,蔬菜,,尖椒,冀辽鲁,2.6,1.9,1.2,2024-06-26 00:00:00
536,蔬菜,,红尖椒,鲁,3.5,3.0,2.5,2024-06-26 00:00:00
537,蔬菜,,美人椒,鲁,5.0,4.5,4.0,2024-06-26 00:00:00
538,蔬菜,,螺丝椒,鲁辽,3.5,2.75,2.0,2024-06-26 00:00:00
539,蔬菜,,柿子椒,鲁辽冀,2.5,2.0,1.5,2024-06-26 00:00:00
540,蔬菜,,线椒,鲁冀,2.5,2.0,1.5,2024-06-26 00:00:00
541,蔬菜,,杭椒,鲁冀辽,2.5,2.0,1.5,2024-06-26 00:00:00
542,蔬菜,,小米椒,云,6.5,5.75,5.0,2024-06-26 00:00:00
543,蔬菜,,彩椒,鲁,4.5,4.25,4.0,2024-06-26 00:00:00
544,蔬菜,,白萝卜,冀,0.6,0.5,0.4,2024-06-26 00:00:00
545,蔬菜,,心里美,冀,1.3,1.25,1.2,2024-06-26 00:00:00
546,蔬菜,,卞萝卜,冀,0.7,0.65,0.6,2024-06-26 00:00:00
547,蔬菜,,青萝卜,冀鲁,1.0,0.8,0.6,2024-06-26 00:00:00
548,蔬菜,,胡萝卜,鲁,1.6,1.55,1.5,2024-06-26 00:00:00
549,蔬菜,,胡萝卜,鲁,1.6,1.5,1.4,2024-06-26 00:00:00
550,蔬菜,,土豆,鲁冀,0.95,0.8,0.65,2024-06-26 00:00:00
551,蔬菜,,葱头,冀京,0.8,0.73,0.65,2024-06-26 00:00:00
552,蔬菜,,葱头,冀京,1.0,0.9,0.8,2024-06-26 00:00:00
553,蔬菜,,山药,豫鲁,3.5,3.25,3.0,2024-06-26 00:00:00
554,蔬菜,,山药,冀,5.0,4.5,4.0,2024-06-26 00:00:00
555,蔬菜,,山药,豫冀,8.0,6.5,5.0,2024-06-26 00:00:00
556,蔬菜,,莲藕,桂川,6.5,6.25,6.0,2024-06-26 00:00:00
557,蔬菜,,红薯,冀,1.0,0.9,0.8,2024-06-26 00:00:00
558,蔬菜,,红薯,琼粤,3.6,3.3,3.0,2024-06-26 00:00:00
559,蔬菜,,红薯,冀粤琼,1.6,1.2,0.8,2024-06-26 00:00:00
560,蔬菜,,紫薯,冀粤,4.6,3.6,2.6,2024-06-26 00:00:00
561,蔬菜,,荸荠,皖,3.5,3.25,3.0,2024-06-26 00:00:00
562,蔬菜,,芋头,鲁,4.0,3.5,3.0,2024-06-26 00:00:00
563,蔬菜,,姜,鲁,5.0,4.75,4.5,2024-06-26 00:00:00
564,蔬菜,,姜,鲁,7.0,6.5,6.0,2024-06-26 00:00:00
565,蔬菜,,大蒜,豫鲁,3.2,2.7,2.2,2024-06-26 00:00:00
566,蔬菜,,大蒜,豫苏鲁,5.4,4.6,3.8,2024-06-26 00:00:00
567,蔬菜,,蒜米,鲁,4.2,3.9,3.6,2024-06-26 00:00:00
568,蔬菜,,大葱,鲁,1.4,1.35,1.3,2024-06-26 00:00:00
569,蔬菜,,小葱,冀辽,2.3,2.15,2.0,2024-06-26 00:00:00
570,蔬菜,,蒜苗,鲁,5.5,4.0,2.5,2024-06-26 00:00:00
571,蔬菜,,蒜黄,冀,8.0,7.9,7.8,2024-06-26 00:00:00
572,蔬菜,,青蒜,甘,2.8,2.55,2.3,2024-06-26 00:00:00
573,蔬菜,,平菇,京蒙,4.0,3.25,2.5,2024-06-26 00:00:00
574,蔬菜,,香菇,冀,7.0,5.25,3.5,2024-06-26 00:00:00
575,蔬菜,,白玉菇,冀豫京,4.0,3.5,3.0,2024-06-26 00:00:00
576,蔬菜,,口蘑,冀闽,8.5,8.0,7.5,2024-06-26 00:00:00
577,蔬菜,,杏鲍菇,苏豫津,4.0,3.25,2.5,2024-06-26 00:00:00
578,蔬菜,,金针菇,辽鲁京,2.6,2.3,2.0,2024-06-26 00:00:00
579,蔬菜,水菜,油菜,,1.5,1.15,0.8,2024-06-26 00:00:00
580,蔬菜,水菜,小白菜,,3.0,2.5,2.0,2024-06-26 00:00:00
581,蔬菜,水菜,油麦菜,,2.5,2.0,1.5,2024-06-26 00:00:00
582,蔬菜,水菜,奶白菜,,2.5,2.25,2.0,2024-06-26 00:00:00
583,蔬菜,水菜,散生菜,,2.2,1.85,1.5,2024-06-26 00:00:00
584,蔬菜,水菜,香葱,,4.2,3.85,3.5,2024-06-26 00:00:00
585,蔬菜,水菜,茼蒿,,8.0,7.5,7.0,2024-06-26 00:00:00
586,蔬菜,水菜,蒿子秆,,3.0,2.5,2.0,2024-06-26 00:00:00
587,蔬菜,水菜,水萝卜,,2.5,2.25,2.0,2024-06-26 00:00:00
588,蔬菜,水菜,樱桃萝卜,,2.5,2.0,1.5,2024-06-26 00:00:00
589,蔬菜,水菜,香芹,,2.5,2.15,1.8,2024-06-26 00:00:00
590,蔬菜,水菜,菠菜,,4.0,3.5,3.0,2024-06-26 00:00:00
591,蔬菜,水菜,苋菜,,3.8,3.4,3.0,2024-06-26 00:00:00
592,蔬菜,水菜,菊花菜,,3.0,2.5,2.0,2024-06-26 00:00:00
593,蔬菜,水菜,黄心菜,,5.0,4.5,4.0,2024-06-26 00:00:00
594,蔬菜,水菜,青蒜,,2.0,1.75,1.5,2024-06-26 00:00:00
595,蔬菜,水菜,盖菜,,3.8,3.4,3.0,2024-06-26 00:00:00
596,蔬菜,水菜,芥兰,,2.0,1.75,1.5,2024-06-26 00:00:00
597,蔬菜,水菜,菜心,,2.5,2.0,1.5,2024-06-26 00:00:00
598,蔬菜,水菜,空心菜,,3.0,2.5,2.0,2024-06-26 00:00:00
599,蔬菜,水菜,荠菜,,9.0,8.5,8.0,2024-06-26 00:00:00
600,蔬菜,水菜,鸡毛菜,,3.5,3.25,3.0,2024-06-26 00:00:00
601,蔬菜,水菜,荆芥,,3.5,3.0,2.5,2024-06-26 00:00:00
602,蔬菜,水菜,紫苏叶,,4.5,4.25,4.0,2024-06-26 00:00:00
603,蔬菜,水菜,豌豆苗,,5.5,5.25,5.0,2024-06-26 00:00:00
604,蔬菜,水菜,快菜,,2.0,1.75,1.5,2024-06-26 00:00:00
605,蔬菜,水菜,苦菊,,3.0,2.5,2.0,2024-06-26 00:00:00
606,蔬菜,水菜,穿心莲,,2.8,2.65,2.5,2024-06-26 00:00:00
607,蔬菜,水菜,木耳菜,,2.5,2.25,2.0,2024-06-26 00:00:00
608,水果,其他类,菠萝,,3.0,2.5,2.0,2024-06-26 00:00:00
609,水果,其他类,凤梨,国产,5.0,3.9,2.8,2024-06-26 00:00:00
610,水果,其他类,圣女果,,5.5,4.6,3.7,2024-06-26 00:00:00
611,水果,其他类,百香果,,12.0,11.0,10.0,2024-06-26 00:00:00
612,水果,其他类,人参果,,6.5,5.75,5.0,2024-06-26 00:00:00
613,水果,其他类,杨梅,,20.0,14.5,9.0,2024-06-26 00:00:00
614,水果,其他类,蓝莓,,45.0,35.0,25.0,2024-06-26 00:00:00
615,水果,其他类,火龙果,,11.0,9.0,7.0,2024-06-26 00:00:00
616,水果,其他类,火龙果,,7.3,6.3,5.3,2024-06-26 00:00:00
617,水果,其他类,木瓜,,5.0,4.6,4.2,2024-06-26 00:00:00
618,水果,其他类,桑葚,,8.0,7.0,6.0,2024-06-26 00:00:00
619,水果,其他类,桑葚,,9.0,7.5,6.0,2024-06-26 00:00:00
620,水果,其他类,柠檬,,4.0,3.5,3.0,2024-06-26 00:00:00
621,水果,其他类,姑娘果（灯笼果）,,20.0,15.0,10.0,2024-06-26 00:00:00
622,水果,梨类,鸭梨,,2.0,1.9,1.8,2024-06-26 00:00:00
623,水果,梨类,雪花梨,,2.0,1.9,1.8,2024-06-26 00:00:00
624,水果,梨类,皇冠梨,,2.8,2.7,2.6,2024-06-26 00:00:00
625,水果,梨类,丰水梨,,3.1,2.95,2.8,2024-06-26 00:00:00
626,水果,梨类,酥梨,,2.1,2.0,1.9,2024-06-26 00:00:00
