客户,商品名称,单位,数量,入库金额（元）,出库金额（元）,毛利（元）
威高集团有限公司,海鲜礼盒,箱,2.0,4820,6000,1180
威高集团有限公司,海鲜礼盒,箱,2.0,4820,6400,1580
威高集团有限公司,海米（大）,斤,20.0,3400,3760,360
威高集团有限公司,烤虾干,斤,20.0,5200,5600,400
威高集团有限公司,海米（小),斤,20.0,2200,2400,200
威高集团有限公司,烘干贝丁,斤,20.0,3700,3900,200
威高集团有限公司,淡干干贝,斤,20.0,3400,3760,360
威高集团有限公司,海鲜礼盒,箱,1.0,2787,3100,313
威高集团有限公司,有机蔬菜礼盒,盒,50.0,5400,7400,2000
威高集团有限公司,刘公岛干海参（盒装）,盒,3.0,5400,9000,3600
威高集团有限公司,胶东饽饽礼盒（盒）,盒,50.0,3900,4950,1050
威高集团有限公司,卤味礼盒B,盒,50.0,12900,15900,3000
威高集团有限公司,新年新意春节礼盒,盒,50.0,26000,30000,4000
威高集团有限公司,海鲜礼盒,箱,2.0,4800,6400,1600
威高集团有限公司,海鲜礼盒,箱,2.0,3506,4400,894
威高集团有限公司,刘公岛干海参（盒装）,盒,2.0,3600,6000,2400
威高集团有限公司,海鲜礼盒,箱,28.0,22400,28000,5600
威高集团有限公司,海鲜礼盒,箱,2.0,6520,8300,1780
威高集团有限公司,红酒盒,个,14.0,532,1232,700
威高集团有限公司,海鲜礼盒,箱,10.0,2480,2680,200
威高集团有限公司,山猪肉礼盒,盒,10.0,2180,2580,400
威高集团有限公司,红包（包）,包,10.0,50,80,30
威高集团有限公司,海鲜礼盒,箱,1.0,2300,3000,700
威高集团有限公司,海鲜礼盒,箱,2.0,3000,4000,1000
威高集团有限公司,海鲜礼盒,箱,1.0,10974,12390,1416
威高集团有限公司,海鲜礼盒,箱,2.0,5600,6200,600
威高集团有限公司,海鲜礼盒,箱,1.0,1500,2000,500
威高集团有限公司,海鲜礼盒,箱,2.0,4998,6000,1002
威高集团有限公司,海鲜礼盒,箱,1.0,2525,3000,475
威高集团有限公司,海鲜礼盒,箱,2.0,4414,5200,786
威高集团有限公司,海鲜礼盒,箱,5.0,7500,10000,2500
威高集团有限公司,海鲜礼盒,箱,1.0,33852,38220,4368
威高集团有限公司,海鲜礼盒,箱,1.0,2224,2600,376
威高集团有限公司,海鲜礼盒,箱,1.0,2300,3000,700
威高集团有限公司,海鲜礼盒,箱,1.0,3000,3500,500
威高集团有限公司,海鲜礼盒,箱,2.0,1600,2000,400
威高集团有限公司,海鲜礼盒,箱,1.0,3100,4000,900
威高集团有限公司,海鲜礼盒,箱,3.0,103850,117250,13400
威高集团有限公司,海鲜礼盒,箱,3.0,7395,9840,2445
威高集团有限公司,海鲜礼盒,箱,6.0,25740,30000,4260
威高集团有限公司,海鲜礼盒,箱,5.0,15000,20000,5000
威高集团有限公司,海鲜礼盒,箱,2.0,44330,50050,5720
威高集团有限公司,海鲜礼盒,箱,8.0,22400,24800,2400
威高集团有限公司,海鲜礼盒,箱,2.0,7000,7600,600
威高集团有限公司,海鲜礼盒,箱,2.0,5660,5760,100
威高集团有限公司,海鲜礼盒,箱,2.0,8580,10000,1420
威高集团有限公司,威高即食海参礼盒,盒,4.0,5120,10400,5280
威高集团有限公司,刘公岛干海参（盒装）,盒,4.0,7200,12000,4800
威高集团有限公司,干海鲜礼盒,盒,100.0,85000,95000,10000
威高集团有限公司,海鲜礼盒,箱,1.0,2060,2360,300
威高集团有限公司,海鲜礼盒,箱,1.0,1800,2500,700
威高集团有限公司,海鲜礼盒,箱,1.0,2500,3000,500
威高集团有限公司,海鲜礼盒,箱,1.0,2400,3120,720
威高集团有限公司,海鲜礼盒,箱,2.0,4800,6000,1200
威高集团有限公司,海鲜礼盒,箱,27.0,21600,27000,5400
威高集团有限公司,海鲜礼盒,箱,30.0,67350,90000,22650
威高集团有限公司,海鲜礼盒,箱,5.0,21450,25000,3550
威高集团有限公司,海鲜礼盒,箱,2.0,4480,4960,480
威高集团有限公司,海鲜礼盒,箱,1.0,22072,24920,2848
威高集团有限公司,海鲜礼盒,箱,1.0,1640,2000,360
威高集团有限公司,海鲜礼盒,箱,1.0,2400,2850,450
威高集团有限公司,海鲜礼盒,箱,1.0,4290,5000,710
威高集团有限公司,四件套礼盒,份,7.0,5092,7000,1908
威高集团有限公司,海鲜礼盒,箱,1.0,3000,4000,1000
威高集团有限公司,干果组合（袋装）,份,1.0,254,280,27
威高集团有限公司,糖果（散装）,斤,4.0,137,148,11
威高集团有限公司,干果组合（袋装）,份,1.0,300,348,48
威高集团有限公司,甜宝草莓,斤,5.0,150,175,25
威高集团有限公司,砂糖橘,斤,5.0,40,55,15
威高集团有限公司,晴王葡萄,斤,6.0,220,248,28
威高集团有限公司,干海鲜礼盒,盒,6.0,2226,2568,342
威高集团有限公司,维纳斯苹果90#,箱,39.0,7410,8410,1000
威高集团有限公司,富士苹果（95#）,箱,8.0,720,931,211
威高集团有限公司,五福甄稻礼盒,盒,26.0,5564,8228,2664
威高集团有限公司,干海鲜礼盒,盒,20.0,13800,15400,1600
威高集团有限公司,海鲜礼盒,箱,2.0,4700,5300,600
威高集团有限公司,海鲜礼盒,箱,1.0,1300,1600,300
威高集团有限公司,乌江榨菜丝,包,2.0,6,10,4
威高集团有限公司,农心泡面,桶,2.0,18,20,2
威高集团有限公司,农心泡面,桶,2.0,18,20,2
威高集团有限公司,复合大豆亲肤被,件,162.0,32049,32400,351
威高集团有限公司,鸭蛋（箱装）,箱,1.0,80,99,19
威高集团有限公司,鸡蛋（箱装）,箱,1.0,63,128,65
威高集团有限公司,青瓷碗,个,4.0,26,26,0
威高集团有限公司,青瓷盘,个,4.0,38,38,0
威高集团有限公司,小汤勺,个,4.0,8,8,0
威高集团有限公司,鱼盘子,个,1.0,39,39,0
威高集团有限公司,汤碗,个,1.0,16,16,0
威高集团有限公司,单柄炒锅(45CM),个,1.0,550,590,40
威高集团有限公司,苏泊尔电饭煲,个,1.0,400,480,80
威高集团有限公司,刀具套装,套,1.0,387,387,0
威高集团有限公司,铲勺厨具套装,套,1.0,82,82,0
威高集团有限公司,菜砧板,个,1.0,30,30,0
威高集团有限公司,松下吸尘器,台,1.0,948,1280,332
威高集团有限公司,干果组合（袋装）,份,1.0,248,280,32
威高集团有限公司,海尔冰箱,台,1.0,3500,3680,180
威高集团有限公司,干海鲜礼盒,盒,5.0,4150,4900,750
威高集团有限公司,干海鲜礼盒,盒,4.0,3260,3920,660
威高集团有限公司,水果礼盒,盒,1.0,774,830,56
威高集团有限公司,海鲜礼盒,箱,6.0,17113,19200,2088
威高集团有限公司,海鲜礼盒,箱,6.0,21213,23700,2488
威高集团有限公司,海鲜礼盒,箱,6.0,6633,7800,1168
威高集团有限公司,海鲜礼盒（江里子）,盒,3.0,18673,21600,2928
威高集团有限公司,海鲜礼盒,箱,6.0,24000,27000,3000
威高集团有限公司,海鲜礼盒,箱,6.0,21080,23700,2620
威高集团有限公司,海鲜礼盒,箱,6.0,6500,7800,1300
威高集团有限公司,野生海捕虾,斤,20.0,5600,6400,800
威高集团有限公司,海鲜礼盒,箱,5.0,5562,6820,1258
威高集团有限公司,海鲜礼盒,箱,5.0,14300,16426,2126
威高集团有限公司,海鲜礼盒,箱,5.0,17400,20070,2670
威高集团有限公司,运费,个,1.0,1066,0,(1066)
威高集团有限公司,手扒海米,斤,4.0,600,720,120
威高集团有限公司,烘干贝丁,斤,4.0,620,760,140
威高集团有限公司,渔具,套,1.0,1231,1400,169
威高集团有限公司,美枣樱桃箱装（特大）,箱,4.0,3010,3010,0
威高集团有限公司,美枣樱桃箱装（大）,箱,20.0,10000,10000,0
威高集团有限公司,盘锦蟹田大米,袋,5.0,575,600,25
威高集团有限公司,威高特一粉,袋,6.0,630,630,0
威高集团有限公司,花生油（20L）,桶,5.0,1800,1800,0
威高集团有限公司,故宫御酒1200ml,瓶,6.0,6102,6102,0
威高集团有限公司,美枣樱桃箱装（大）,箱,8.0,3533,5199,1666
威高集团有限公司,美枣樱桃箱装（特大）,箱,2.0,1114,1314,200
威高集团有限公司,干海参（盒装）,盒,2.0,3000,3560,560
威高集团有限公司加油站,复合大豆亲肤被,件,1.0,198,200,2
威高健康科技有限公司,复合大豆亲肤被,件,3.0,593,600,7
威高日机装（威海）透析机器有限公司,复合大豆亲肤被,件,77.0,15233,15400,167
威高肾科医疗器械（赣州）有限公司,复合大豆亲肤被,件,25.0,4946,5000,54
威高泰尔茂（威海）医疗制品有限公司,复合大豆亲肤被,件,111.0,21959,22200,241
威高天伦苑养老服务有限公司,复合大豆亲肤被,件,22.0,4352,4400,48
威高血液净化（成都）有限公司,复合大豆亲肤被,件,458.0,90607,91600,993
威高血液净化制品（上海）有限公司,复合大豆亲肤被,件,196.0,38775,39200,425
威高药业（成都）有限公司,复合大豆亲肤被,件,78.0,15431,15600,169
威高云智（上海）数字医疗科技有限公司,复合大豆亲肤被,件,6.0,1187,1200,13
威高云智（上海）数字医疗科技有限公司,复合大豆亲肤被,件,22.0,4352,4400,48
威高智诚诊断技术（济南）有限公司,复合大豆亲肤被,件,3.0,593,600,7
威海安辰贸易有限公司,复合大豆亲肤被,件,10.0,1978,2000,22
威海诚钰园林养护有限公司,维纳斯苹果（85#）,箱,6.0,960,1008,48
威海德生技术检测有限公司,复合大豆亲肤被,件,130.0,25718,26000,282
威海富信保安服务有限公司,生态嘿猪,盒,16.0,3488,4128,640
威海富信保安服务有限公司,生态嘿猪排骨,箱,16.0,3840,4768,928
威海富信保安服务有限公司,猕猴桃（箱装）,箱,16.0,1093,1408,315
威海富信保安服务有限公司,鸡蛋（箱装）,箱,16.0,1120,1408,288
威海富信保安服务有限公司,盘锦大米,斤,9740.0,26298,34090,7792
威海富信保安服务有限公司,生态嘿猪,盒,487.0,106166,124185,18019
威海富信保安服务有限公司,海鲜礼盒,箱,487.0,45111,75485,30374
威海高维医疗器械有限公司,复合大豆亲肤被,件,22.0,4352,4400,48
威海公共交通集团有限公司,生鲜礼盒（1300）,盒,1.0,794,1300,506
威海公共交通集团有限公司,生鲜礼盒（1000）,盒,1.0,888,1000,112
威海公共交通集团有限公司,粮油礼盒（1000）,盒,1.0,814,1000,186
威海公共交通集团有限公司,粮油礼盒（1000）,盒,1.0,814,1000,186
威海公共交通集团有限公司,生鲜礼盒（1000）,盒,1.0,888,1000,112
威海公共交通集团有限公司,粮油礼盒（1000）,盒,1.0,814,1000,186
威海公共交通集团有限公司,粮油礼盒（1000）,盒,1.0,814,1000,186
威海公共交通集团有限公司,四海欣盛礼盒,盒,480.0,28800,42240,13440
威海公共交通集团有限公司,威高花生油（5L）,桶,3158.0,272535,435804,163269
威海公共交通集团有限公司,盘锦大米,斤,126320.0,341064,410540,69476
威海公共交通集团有限公司,生鲜礼盒（1000）,盒,1.0,888,1000,112
威海公共交通集团有限公司,生鲜礼盒（1300）,盒,1.0,794,1300,506
威海公共交通集团有限公司,粮油礼盒（1000）,盒,1.0,814,1000,186
威海固远贸易有限公司,复合大豆亲肤被,件,28.0,5539,5600,61
威海和笙水产品有限公司,沃柑（10斤）,箱,54.0,2700,3510,810
威海华东数控股份有限公司,复合大豆亲肤被,件,34.0,6726,6800,74
威海火炬高技术产业开发区芭那那精品水果店,五香猪蹄礼盒B,盒,3.0,774,954,180
威海火炬高技术产业开发区芭那那精品水果店,风干肠礼盒,箱,1.0,268,298,30
威海火炬高技术产业开发区总工会,瑞可安速干手消毒液（500ml）,瓶,2400.0,30000,38400,8400
威海火炬高技术产业开发区总工会,N95口罩,个,1080.0,1080,4320,3240
威海火炬高技术产业开发区总工会,四海生菜大全礼盒,箱,200.0,7350,10000,2650
威海吉禾果蔬种植专业合作社,海鲜礼盒,箱,20.0,1853,3000,1147
威海建筑机械有限公司,阿兰颂酒庄干红,瓶,30.0,8940,10500,1560
威海疆峰食品有限公司,维纳斯苹果（85#）,箱,6.0,960,1008,48
威海疆峰食品有限公司,沃柑（10斤）,箱,10.0,500,650,150
威海洁瑞医用制品有限公司,复合大豆亲肤被,件,350.0,69241,70000,759
威海洁瑞医用制品有限公司-留置针,复合大豆亲肤被,件,265.0,52425,53000,575
威海金佰特商用厨具有限公司,生态嘿猪,盒,10.0,2180,2980,800
威海锦泉洗浴有限公司,复合大豆亲肤被,件,19.0,3759,3800,41
威海靖坤食品有限公司,苹果（箱装）,箱,10.0,700,700,0
威海靖坤食品有限公司,沃柑（10斤）,箱,10.0,500,650,150
威海靖坤食品有限公司,美枣樱桃箱装（中大）,箱,3.0,750,840,90
威海开乐影城有限公司,复合大豆亲肤被,件,5.0,989,1000,11
威海科宇厨业有限公司,生态嘿猪,盒,10.0,2180,2980,800
威海科宇厨业有限公司,美枣樱桃箱装（小）,箱,2.0,300,600,300
威海可丽你韩产后护理有限公司,复合大豆亲肤被,件,28.0,5539,5600,61
威海可丽你韩产后护理有限公司环翠分公司,复合大豆亲肤被,件,26.0,5144,5200,56
威海兰山信息科技有限公司,富士苹果（95#）,箱,15.0,1050,1050,0
威海蓝色海域海洋食品股份有限公司,生态嘿猪,盒,33.0,7194,8514,1320
威海蓝天科技有限公司,复合大豆亲肤被,件,40.0,7913,8000,87
威海利达行装饰有限公司,生态嘿猪,盒,31.0,6758,9238,2480
威海利达行装饰有限公司,有机蔬菜礼盒,盒,130.0,14040,19240,5200
威海利达行装饰有限公司,阿兰颂酒庄干红,瓶,90.0,26820,31500,4680
威海利景商贸有限公司,生态嘿猪,盒,20.0,4360,5960,1600
威海利景商贸有限公司,富士苹果（95#）,箱,2.0,140,140,0
威海利景商贸有限公司,沃柑（10斤）,箱,10.0,500,650,150
威海利景商贸有限公司,美枣樱桃箱装（中大）,箱,1.0,250,280,30
威海脉康医疗科技有限公司,复合大豆亲肤被,件,7.0,1385,1400,15
威海茂禾果蔬贸易有限公司,富士苹果（95#）,箱,5.0,350,350,0
威海门久包装用品有限公司,维纳斯苹果（85#）,箱,6.0,960,1008,48
威海铭洋水产养殖有限公司,维纳斯苹果（85#）,箱,6.0,960,1008,48
威海铭洋水产养殖有限公司,富士苹果（95#）,箱,5.0,350,350,0
威海铭洋水产养殖有限公司,水晶樱桃（箱装）,箱,2.0,420,600,180
威海南广贸易有限公司,焦煤在线,瓶,12.0,4776,5280,504
威海南广贸易有限公司,海鲜礼盒,箱,23.0,2130,3450,1320
威海南广贸易有限公司,沃柑（10斤）,箱,20.0,1000,1300,300
威海南广贸易有限公司,水晶樱桃（箱装）,箱,2.0,420,600,180
威海盛泰园食品有限公司,生态嘿猪,盒,60.0,13080,17880,4800
威海市环翠区启东果蔬专业合作社,海鲜礼盒,箱,66.0,6114,9900,3786
威海市环翠区启东果蔬专业合作社,台历,个,85.0,1105,1105,0
威海市环翠区威高幼儿园,复合大豆亲肤被,件,14.0,2770,2800,30
威海市嘉盛乳业有限公司,猪肉礼盒,盒,14.0,2912,4172,1260
威海市嘉辛海产品有限公司,鸡脯肉,斤,4000.0,24600,29000,4400
威海市嘉辛海产品有限公司,鸡腿块,斤,4000.0,26440,29000,2560
威海市嘉辛海产品有限公司,鸡翅根,斤,4000.0,28040,30000,1960
威海市嘉辛海产品有限公司,鸡腿(五连腿),斤,1000.0,8710,9000,290
威海市嘉辛海产品有限公司,鸡边腿,斤,3600.0,21600,26100,4500
威海市嘉辛海产品有限公司,鸡翅根,斤,4000.0,29800,31000,1200
威海市嘉辛海产品有限公司,琵琶腿,斤,4000.0,32000,34000,2000
威海市嘉辛海产品有限公司,鸡脯肉,斤,4000.0,24000,29000,5000
威海市嘉辛海产品有限公司,鸡腿块,斤,4000.0,27860,30000,2140
威海市嘉辛海产品有限公司,鸡腿(五连腿),斤,400.0,3240,3400,160
威海市嘉辛海产品有限公司,生态嘿猪（5斤）,盒,2.0,360,390,30
威海市嘉辛海产品有限公司,美枣樱桃箱装（中大）,箱,3.0,750,900,150
威海市教育局,四海新康礼盒,盒,66.0,3300,3828,528
威海市金泰实业有限公司,复合大豆亲肤被,件,1.0,198,200,2
威海市精而美包装印刷有限公司,生态嘿猪,盒,20.0,4360,5160,800
威海市俊全调味品有限公司,生态嘿猪,盒,20.0,4360,5960,1600
威海市俊全调味品有限公司,富士苹果（95#）,箱,5.0,350,350,0
威海市俊全调味品有限公司,美枣樱桃箱装（中大）,箱,2.0,500,560,60
威海市润海食品有限公司,海鲜礼盒,箱,20.0,1853,3000,1147
威海市万通置业有限公司,复合大豆亲肤被,件,112.0,22157,22400,243
威海顺潮农副产品配送有限公司,盘锦大米,斤,66000.0,135960,145200,9240
威海顺潮农副产品配送有限公司,海鲜礼盒,箱,50.0,4632,7500,2869
威海顺潮农副产品配送有限公司,非转基因大豆油10L,桶,4000.0,450000,480000,30000
威海顺潮农副产品配送有限公司,土豆（2-3个/斤）,斤,7922.0,6971,9506,2535
威海顺潮农副产品配送有限公司,五福甄稻礼盒,盒,4.0,856,1112,256
威海顺潮农副产品配送有限公司,盘锦大米,斤,66000.0,135960,145200,9240
威海顺潮农副产品配送有限公司,富士苹果（95#）,箱,8.0,560,560,0
威海顺潮农副产品配送有限公司,土豆（1-2个/斤）,斤,4528.0,5207,5207,0
威海顺潮农副产品配送有限公司,茭瓜（白）1,斤,1338.0,2609,2609,0
威海顺潮农副产品配送有限公司,刺黄瓜1,斤,1000.0,1950,1950,0
威海顺潮农副产品配送有限公司,芹菜1,斤,1020.0,1122,1122,0
威海顺潮农副产品配送有限公司,净大葱（带叶）,斤,1032.0,980,980,0
威海顺潮农副产品配送有限公司,胡萝卜1,斤,1016.0,1067,1067,0
威海顺潮农副产品配送有限公司,西红柿1,斤,900.0,1845,1845,0
威海顺潮农副产品配送有限公司,头菜1,斤,936.0,899,899,0
威海顺潮农副产品配送有限公司,盘锦大米,斤,66000.0,135960,145200,9240
威海顺潮农副产品配送有限公司,土豆（4-6个/斤）,斤,2206.0,2427,2427,0
威海顺潮农副产品配送有限公司,茭瓜（白）1,斤,2182.0,3731,3731,0
威海顺潮农副产品配送有限公司,刺黄瓜1,斤,1000.0,2000,2000,0
威海顺潮农副产品配送有限公司,青尖椒1,斤,1185.0,3911,3911,0
威海顺潮农副产品配送有限公司,西红柿1,斤,1880.0,4738,4738,0
威海顺潮农副产品配送有限公司,头菜1,斤,2416.0,2223,2223,0
威海顺潮农副产品配送有限公司,青梗花菜1,斤,1524.0,3551,3551,0
威海顺潮农副产品配送有限公司,大龙茄子1,斤,825.0,2723,2723,0
威海顺潮农副产品配送有限公司,布茄子1,斤,1596.0,4389,4389,0
威海顺潮农副产品配送有限公司,青萝卜1,斤,2840.0,1278,1278,0
威海顺潮农副产品配送有限公司,西红柿3,斤,4632.0,13201,13201,0
威海顺潮农副产品配送有限公司,刺黄瓜3,斤,2000.0,3800,3800,0
威海顺潮农副产品配送有限公司,茭瓜（白）3,斤,2322.0,3367,3367,0
威海顺潮农副产品配送有限公司,青尖椒3,斤,3000.0,10050,10050,0
威海顺潮农副产品配送有限公司,胡萝卜3,斤,1680.0,1848,1848,0
威海顺潮农副产品配送有限公司,青梗花菜3,斤,1532.0,3753,3753,0
威海顺潮农副产品配送有限公司,大龙茄子3,斤,1490.0,4396,4396,0
威海顺潮农副产品配送有限公司,土豆（4-6个/斤）,斤,7536.0,8290,8290,0
威海顺潮农副产品配送有限公司,青萝卜3,斤,2700.0,1080,1080,0
威海顺潮农副产品配送有限公司,盘锦大米,斤,66000.0,135960,145200,9240
威海顺潮农副产品配送有限公司,盘锦大米,斤,66000.0,135960,145200,9240
威海顺潮农副产品配送有限公司,胡萝卜3,斤,2480.0,2567,2852,285
威海顺潮农副产品配送有限公司,土豆（4-6个/斤）,斤,6150.0,6365,7073,707
威海顺潮农副产品配送有限公司,芹菜3,斤,2260.0,1526,1695,170
威海顺潮农副产品配送有限公司,青梗花菜3,斤,2072.0,5501,6112,611
威海顺潮农副产品配送有限公司,布茄子3,斤,2100.0,3875,4305,431
威海顺潮农副产品配送有限公司,刺黄瓜3,斤,2080.0,3426,3806,381
威海顺潮农副产品配送有限公司,大冬瓜3,斤,3080.0,3742,4158,416
威海顺潮农副产品配送有限公司,茭瓜（白）3,斤,2400.0,2484,2760,276
威海顺潮农副产品配送有限公司,青尖椒3,斤,1720.0,4102,4558,456
威海顺潮农副产品配送有限公司,西红柿3,斤,5858.0,16344,18160,1816
威海顺潮农副产品配送有限公司,沃柑（10斤）,箱,20.0,1000,1300,300
威海顺潮农副产品配送有限公司,胡萝卜3,斤,2460.0,1882,2091,209
威海顺潮农副产品配送有限公司,青梗花菜3,斤,2100.0,4253,4725,473
威海顺潮农副产品配送有限公司,布茄子3,斤,2550.0,4016,4463,446
威海顺潮农副产品配送有限公司,刺黄瓜3,斤,3120.0,3510,3900,390
威海顺潮农副产品配送有限公司,茭瓜（白）3,斤,2850.0,2437,2708,271
威海顺潮农副产品配送有限公司,青尖椒3,斤,2677.0,3734,4149,415
威海顺潮农副产品配送有限公司,西红柿3,斤,907.0,2081,2313,232
威海顺潮农副产品配送有限公司,美枣樱桃箱装（特大）,箱,2.0,1000,1000,0
威海顺潮农副产品配送有限公司,玉米（冻）,个,2000.0,3500,4000,500
威海顺潮农副产品配送有限公司,盘锦大米,斤,66000.0,135960,145200,9240
威海顺潮农副产品配送有限公司,美枣樱桃箱装（特大）,箱,2.0,1000,1000,0
威海顺潮农副产品配送有限公司,美枣樱桃箱装（中大）,箱,1.0,250,280,30
威海颂美水产品有限公司,生态嘿猪,盒,10.0,2180,2980,800
威海颂美水产品有限公司,富士苹果（95#）,箱,5.0,350,350,0
威海颂美水产品有限公司,沃柑（10斤）,箱,10.0,500,650,150
威海颂美水产品有限公司,水晶樱桃（箱装）,箱,2.0,420,600,180
威海天成元园林绿化工程有限公司,生态嘿猪,盒,100.0,21800,30000,8200
威海威高采血耗材有限公司,复合大豆亲肤被,件,135.0,26707,27000,293
威海威高房地产开发有限公司,有机蔬菜礼盒,盒,10.0,976,1480,504
威海威高房地产开发有限公司,单冻鲅鱼（6斤以上/条）,斤,54.0,1620,1782,162
威海威高房地产开发有限公司,海鲜礼盒,箱,38.0,28500,34200,5700
威海威高房地产开发有限公司,有机蔬菜礼盒,盒,20.0,2000,2960,960
威海威高房地产开发有限公司,海鲜礼盒,箱,5.0,11225,15000,3775
威海威高房地产开发有限公司,生态嘿猪,盒,30.0,6540,8940,2400
威海威高房地产开发有限公司,生态嘿猪排骨,箱,6.0,2808,3588,780
威海威高房地产开发有限公司,生态嘿猪（10斤）,箱,6.0,2640,2988,348
威海威高房地产开发有限公司,有机蔬菜礼盒,盒,4.0,432,592,160
威海威高房地产开发有限公司,花生油（5L）,桶,35.0,4130,4830,700
威海威高房地产开发有限公司,水果礼盒,盒,2.0,400,456,56
威海威高房地产开发有限公司,水果礼盒,盒,2.0,400,456,56
威海威高房地产开发有限公司,复合大豆亲肤被,件,55.0,10881,11000,119
威海威高房地产开发有限公司,水果礼盒,盒,2.0,400,456,56
威海威高房地产开发有限公司,水果礼盒,盒,2.0,400,456,56
威海威高房地产开发有限公司,花生油（5L）,桶,50.0,4315,5950,1635
威海威高房地产开发有限公司,水果礼盒,盒,2.0,400,456,56
威海威高富森医用材料有限公司,复合大豆亲肤被,件,7.0,1385,1400,15
威海威高海盛医用设备有限公司,复合大豆亲肤被,件,8.0,1583,1600,17
威海威高海洋科技发展有限公司,复合大豆亲肤被,件,9.0,1780,1800,20
威海威高汉德医疗科技有限公司,复合大豆亲肤被,件,64.0,12661,12800,139
威海威高护理院,复合大豆亲肤被,件,20.0,3957,4000,43
威海威高激光医疗设备股份有限公司,复合大豆亲肤被,件,11.0,2176,2200,24
威海威高集团模具有限公司,复合大豆亲肤被,件,10.0,1978,2000,22
威海威高建材科技有限公司,复合大豆亲肤被,件,10.0,1978,2000,22
威海威高建设有限公司,复合大豆亲肤被,件,19.0,3759,3800,41
威海威高节能科技有限公司,复合大豆亲肤被,件,13.0,2572,2600,28
威海威高洁盛医疗器材有限公司,复合大豆亲肤被,件,28.0,5539,5600,61
威海威高进出口有限公司,福运满堂礼盒,盒,15.0,2925,3870,945
威海威高进出口有限公司,胶东饽饽礼盒（盒）,盒,15.0,1170,1485,315
威海威高进出口有限公司,五谷杂粮礼盒,盒,7.0,665,896,231
威海威高进出口有限公司,新年新意春节礼盒,盒,2.0,1040,1080,40
威海威高进出口有限公司,威高即食海参礼盒,盒,1.0,1600,1800,200
威海威高进出口有限公司,水果礼盒,盒,8.0,4020,4640,620
威海威高进出口有限公司,威高卤味礼盒（盒）,盒,17.0,4386,5406,1020
威海威高进出口有限公司,胶东饽饽礼盒（盒）,盒,7.0,546,693,147
威海威高进出口有限公司,海鸭蛋礼盒（咸）,箱,2.0,130,196,66
威海威高进出口有限公司,风干肠礼盒,箱,2.0,536,596,60
威海威高进出口有限公司,马茜葡萄酒,瓶,12.0,2016,2376,360
威海威高进出口有限公司,复合大豆亲肤被,件,13.0,2572,2600,28
威海威高进出口有限公司,美枣樱桃（中）,斤,24.0,1200,1680,480
威海威高进出口有限公司,水晶樱桃（箱装）,箱,1.0,200,340,140
威海威高进出口有限公司,美枣樱桃箱装（中大）,箱,1.0,250,350,100
威海威高康威餐饮服务有限公司,复合大豆亲肤被,件,23.0,4550,4600,50
威海威高齐全医疗设备有限公司,复合大豆亲肤被,件,14.0,2770,2800,30
威海威高汽车服务有限公司,复合大豆亲肤被,件,3.0,593,600,7
威海威高人工肝有限公司,复合大豆亲肤被,件,4.0,791,800,9
威海威高生命科技有限公司,复合大豆亲肤被,件,78.0,15431,15600,169
威海威高生态植物（体育）园有限公司,复合大豆亲肤被,件,70.0,13848,14000,152
威海威高生物科技有限公司,复合大豆亲肤被,件,106.0,20970,21200,230
威海威高盛祥商业管理有限公司,复合大豆亲肤被,件,12.0,2374,2400,26
威海威高食品有限公司,西红柿块（SP）,千克,3268.0,6612,13726,7114
威海威高食品有限公司,海鲜礼盒,箱,400.0,37052,55200,18148
威海威高食品有限公司,海鲜礼盒,箱,4884.0,452405,576312,123907
威海威高食品有限公司,海鲜礼盒,箱,110.0,10189,15180,4991
威海威高食品有限公司,泡沫箱外纸箱（20斤）,个,5410.0,29755,29755,0
威海威高食品有限公司,福满四海礼盒,盒,130.0,17940,17940,0
威海威高食品有限公司,有机蔬菜礼盒,盒,46.0,4968,5428,460
威海威高食品有限公司,土豆（2-3个/斤）,斤,15075.0,13266,15075,1809
威海威高食品有限公司,复合大豆亲肤被,件,119.0,23542,23800,258
威海威高食品有限公司,花生饼（斤）,斤,200.0,500,560,60
威海威高食品有限公司,花生饼（斤）,斤,310.0,806,899,93
威海威高食品有限公司,花生饼（斤）,斤,400.0,960,1160,200
威海威高物流控股有限公司,复合大豆亲肤被,件,10.0,1978,2000,22
威海威高现代农业生态园有限公司,鸡蛋箱（白）,套,200.0,1000,1000,0
威海威高现代农业生态园有限公司,生态嘿猪箱,个,500.0,2750,2750,0
威海威高现代农业生态园有限公司,会飞的鸡箱,个,193.0,1062,1062,0
威海威高现代农业生态园有限公司,干海鲜箱,个,207.0,1139,1139,0
威海威高现代农业生态园有限公司,海鲜礼盒,箱,4.0,3200,4000,800
威海威高现代农业生态园有限公司,偏口鱼（冻）,斤,50.0,600,600,0
威海威高现代农业生态园有限公司,港虾（30-40个/斤）,斤,40.0,1040,1040,0
威海威高现代农业生态园有限公司,船冻鲅鱼（1-1.5斤/条）,斤,48.0,672,672,0
威海威高现代农业生态园有限公司,冻刀鱼（0.4-0.6斤/条）,斤,40.0,720,720,0
威海威高现代农业生态园有限公司,鱿鱼（冻）,斤,50.0,900,900,0
威海威高现代农业生态园有限公司,海米（大）,斤,4.0,680,680,0
威海威高现代农业生态园有限公司,扇贝丁,斤,4.0,700,700,0
威海威高现代农业生态园有限公司,五香猪蹄礼盒B,盒,4.0,1032,1032,0
