学校,学校排名,专业,最低分,最低分位次,录取人数,选科要求
中南林业科技大学,,朝鲜语,512分,149611名,2人,不限
中南林业科技大学,,家具设计与工程,488分,175424名,8人,物
吉首大学,,法学(吉首校区),592分,60508名,2人,不限
临沂大学,,汉语言文学(师范),592分,60408名,3人,不限
长春师范大学,,汉语言文学(师范)(中工校区),592分,60872名,3人,不限
绍兴文理学院,,小学教育(师范),592分,60983名,90人,不限
甘肃中医药大学,,临床医学(和平校区),592分,60451名,3人,化+生
深圳北理莫斯科大学,,智能感知工程(中外合作办学)(要求高考外语成绩不低于120分，数学成绩不低于100分),592分,60587名,2人,物
东北财经大学,,工商管理(中外合作办学)(与英国萨里大学合作办学.要求大二时适应全英文授课环境.要求高考外语成绩不低于115分),591分,62192名,4人,不限
中国计量大学,,汉语国际教育(要求高考外语成绩不低于100分),591分,62076名,76人,不限
中国计量大学,,生物工程,591分,61649名,50人,物/化/生
河南大学,,俄语(开封校区),591分,62248名,3人,不限
四川外国语大学,,金融科技,591分,61290名,2人,不限
四川外国语大学,,社会学类(含社会学，社会工作专业),591分,61885名,2人,不限
上海师范大学,,园艺,591分,61848名,4人,物/化
武汉科技大学,,外国语言文学类(黄家湖校区含英语，翻译专业),591分,62034名,9人,不限
浙江中医药大学,129,计算机科学与技术(第一学年在富春校区就读，第二学年起在滨文校区就读),591分,61569名,36人,物
浙江中医药大学,,卫生检验与检疫(第一学年在富春校区就读，第二学年起在滨文校区就读),591分,61899名,34人,化/生
重庆理工大学,,智能车辆工程(两江校区),591分,61325名,2人,物
江苏科技大学,,应用化学,591分,61548名,3人,化
江西财经大学,,虚拟现实技术,591分,61465名,2人,物
北京工商大学,,环境工程(良乡校区/阜成路校区),591分,62174名,5人,化
新疆大学,,软件工程(友好校区.要求高考数学成绩不低于70分),591分,61600名,18人,物
西安建筑科技大学,,交通工程(草堂校区),591分,61411名,2人,物
温州大学,,电气工程及其自动化(卓工超豪示范班),591分,61417名,83人,物
河北医科大学,,临床医学(5+3一体化)(后三年按研究生标准收费.中山校区),651分,11969名,6人,化+生
河北医科大学,,临床医学(中山校区),635分,21616名,10人,化+生
青岛大学,,德语(浮山校区),591分,62220名,2人,不限
青岛大学,,食品科学与工程(浮山校区),591分,61746名,4人,物/化/生
上海商学院,,金融学(奉浦校区),591分,61503名,6人,不限
上海商学院,,税收学(奉浦校区),591分,61847名,6人,不限
华侨大学,,国际商务(全英文教学)(泉州校区),591分,61823名,4人,不限
天津外国语大学,,日语(马场道校区),591分,62318名,4人,不限
浙江农林大学,,建筑学(东湖校区),591分,61620名,40人,物/史/地
浙江农林大学,,园林(东湖校区),591分,61288名,22人,物/化/生
温州医科大学,,听力与言语康复学,591分,61336名,22人,物/化/生
中北大学,,电气工程与智能控制,591分,61343名,1人,物
中北大学,,电子科学与技术,591分,61390名,2人,物
中北大学,,智能制造工程,591分,61549名,2人,物
成都大学,,学前教育(师范),591分,62306名,2人,不限
成都大学,,物联网工程,591分,61559名,2人,物
青岛理工大学,,机械设计制造及其自动化(嘉陵江路校区),591分,61352名,3人,物
安徽财经大学,,工商管理类(龙湖东校区.含工商管理，市场营销，人力资源管理专业),591分,61617名,5人,不限
湖南工商大学,,审计学,591分,62232名,9人,不限
沈阳工业大学,,智能建造,568分,86683名,3人,物
沈阳工业大学,,测控技术与仪器,563分,92439名,4人,物
沈阳工业大学,,工业设计,562分,93159名,4人,物
沈阳工业大学,,材料成型及控制工程,556分,99459名,3人,物
三峡大学,,电气工程及其自动化,636分,20993名,6人,物
三峡大学,,电气工程及其自动化(输电线路工程方向),632分,23828名,4人,物
武汉轻工大学,,金融学(大数据金融实验班),591分,61659名,2人,不限
温州肯恩大学,,经济学(中外合作办学)(全英文教学.要求高考外语成绩不低于110分),591分,61785名,10人,不限
南昌航空大学,,电子科学与技术(前湖校区),591分,61578名,2人,物
安徽农业大学,,工商管理类(含财务管理，会计学专业),591分,61732名,2人,不限
陕西科技大学,,会计学,591分,61687名,4人,不限
三峡大学,,土木工程,591分,62235名,2人,物
长江大学,,日语(语言，商务)(荆州校区.要求高考外语成绩不低于100分),591分,62328名,1人,不限
遵义医科大学,,临床医学,591分,61402名,15人,物+化
石河子大学,,工商管理类(含财务管理，工商管理，人力资源管理，市场营销专业),591分,62256名,6人,不限
昆明理工大学,,测控技术与仪器(呈贡校区),591分,61908名,2人,物
湖南科技大学,,教育技术学(师范),591分,61918名,4人,不限
湖南科技大学,,新闻学,591分,61919名,1人,不限
河南师范大学,,水产类(东，西校区.含水产养殖学，水族科学与技术专业),560分,95535名,7人,化/生/技
河南师范大学,,工商管理(东，西校区),556分,99570名,10人,不限
河南师范大学,,旅游管理类(东，西校区.含旅游管理，酒店管理专业),527分,132961名,10人,不限
河南科技大学,,电子信息类(开元校区.含电子信息工程，通信工程专业),591分,61481名,2人,物
常州大学,,能源与动力工程(科教城校区),591分,61276名,2人,物
常州大学,,环境工程(科教城校区),591分,61884名,2人,物/化/生
淮北师范大学,,经济学(滨湖校区),591分,61596名,1人,不限
甘肃政法大学,,法学(卓越法治基地实验班智慧法治方向)(要求高考外语成绩不低于113分),591分,61903名,2人,不限
西华师范大学,,历史学(师范),591分,61896名,4人,史/地
西安科技大学,,建筑学,591分,61719名,2人,物/史/地
山东理工大学,,自动化,591分,62094名,2人,物
金陵科技学院,,金融学(江宁校区),591分,62196名,1人,物/史
哈尔滨师范大学,,教育技术学(师范)(松北校区),591分,61294名,2人,不限
浙江海洋大学,,汉语言文学(高级文秘方向)(定海校区),591分,62166名,26人,不限
浙江海洋大学,,海洋科学(星颉实验班)(前两年在定海校区，后两年在新城校区.要求高考外语成绩不低于110分),591分,61949名,30人,物/化/生
四川轻化工大学,,法学,591分,62064名,1人,不限
沈阳药科大学,,医疗产品管理(南校区),591分,61418名,1人,化/生
兰州交通大学,,电气工程及其自动化,591分,61898名,3人,物
哈尔滨理工大学,,机械电子工程,591分,61691名,2人,物
湖南工业大学,,会计学,591分,61860名,3人,不限
海南医学院,,中医学,591分,61632名,2人,化
黑龙江大学,,汉语国际教育,591分,61935名,2人,史/政/地
江西理工大学,168,计算机类(赣州三江校区.含计算机科学与技术，信息安全专业),591分,61870名,2人,物
天津商业大学,,财务管理,591分,62086名,3人,不限
湖南第一师范学院,,英语(师范)(要求高考英语成绩不低于115分),591分,62124名,1人,不限
湖南第一师范学院,,数学与应用数学(师范),591分,61967名,1人,物
广东药科大学,,中药学类(广州校区.含中药学，中药制药专业),591分,62032名,4人,物/化/生
河南工业大学,,网络与新媒体(嵩山路校区),591分,61813名,1人,不限
河南工业大学,,电气工程及其自动化(莲花街校区),591分,61510名,2人,物
苏州科技大学,,土木工程(中外合作办学)(石湖校区),562分,93058名,4人,物
烟台大学,,国际经济与贸易,591分,62316名,2人,不限
烟台大学,,新闻学,591分,61998名,2人,不限
黑龙江中医药大学,,针灸推拿学,591分,61485名,10人,物/化/生
沈阳建筑大学,,土木工程,591分,61299名,1人,物
沈阳建筑大学,,风景园林(要求考生有一定的美术基础),591分,61553名,1人,物/生/地
天津职业技术师范大学,,汉语国际教育(师范),591分,61599名,1人,不限
天津职业技术师范大学,,电子商务(师范),591分,62151名,1人,不限
重庆文理学院,,法学(第一学年在星湖校区就读),591分,62127名,2人,不限
福建工程学院,,法学(旗山校区),591分,62057名,3人,不限
杭州医学院,,临床医学(临安校区),591分,62029名,228人,化+生
温州医科大学仁济学院,,中医学(滨海校区),591分,61879名,3人,物/化/生
海南大学,,酒店管理(中外合作办学)(观澜湖校区.要求高考外语成绩不低于105分),590分,63360名,9人,不限
中国计量大学,,工商管理类(含工商管理，财务管理，市场营销专业),590分,62636名,170人,不限
中国计量大学,,行政管理,590分,63147名,66人,不限
中国计量大学,,应用化学,590分,62820名,35人,化
中国计量大学,,功能材料,590分,62828名,23人,化
四川外国语大学,,电子商务,590分,62547名,2人,不限
河北大学,,化学(五四路校区),590分,62504名,3人,化
石家庄铁道大学,,国际经济与贸易(龙山校区),564分,91058名,4人,不限
石家庄铁道大学,,管理科学与工程类(龙山校区.含信息管理与信息系统，工程管理专业),563分,91665名,2人,物
石家庄铁道大学,,材料类(龙山校区.含材料科学与工程，金属材料工程，无机非金属材料工程，功能材料，焊接技术与工程专业),559分,95987名,3人,物
燕山大学,,土木类(含土木工程，建筑环境与能源应用工程，工程力学专业),590分,63310名,6人,物
徐州医科大学,,护理学类(含护理学，助产学专业),590分,63125名,2人,化
重庆交通大学,,新闻传播学类(大一，大二科学城校区，后续学年南岸校区.含广播电视学，广告学专业),590分,63353名,3人,不限
重庆交通大学,,土木类(大一，大二科学城校区，后续学年南岸校区.含土木工程，道路桥梁与渡河工程专业),590分,62916名,5人,物
重庆理工大学,,机械电子工程(两江校区),590分,62995名,4人,物
江西财经大学,,旅游管理(数字文旅),590分,63349名,3人,不限
曲阜师范大学,,物流管理(日照校区),566分,89360名,3人,不限
曲阜师范大学,,朝鲜语(日照校区),548分,108643名,3人,不限
江西财经大学,,工程管理(数字基建管理),590分,62978名,2人,物
天津科技大学,,智能制造工程(实行学分制收费.河西校区),590分,62476名,2人,物
重庆工商大学,,物流管理(江北校区),590分,62895名,2人,不限
新疆大学,,工程管理(博达校区),590分,63321名,1人,物
江西师范大学,,统计学,590分,62607名,2人,物
西安建筑科技大学,,安全工程(草堂校区),590分,62433名,2人,物
安徽师范大学,,旅游管理(花津校区),590分,63313名,2人,不限
温州大学,,广告学,590分,63172名,30人,不限
温州大学,,行政管理,590分,63109名,18人,不限
温州大学,,数据科学与大数据技术,590分,62857名,74人,物
温州大学,,信息与计算科学,590分,62732名,20人,物
中南民族大学,,日语,564分,90796名,3人,不限
湖南中医药大学,,中医学(5+3一体化，卓越2班),644分,15964名,1人,物/化/生
湖南中医药大学,,中医学(5+3一体化，卓越1班),644分,15902名,2人,物/化/生
湖南中医药大学,,中医学(5+3一体化，卓越3班),644分,16297名,1人,物/化/生
湖南中医药大学,,中医学(5+3一体化，中医儿科班),636分,21231名,2人,物/化/生
湖南中医药大学,,口腔医学,630分,25457名,6人,物+化
温州大学,,建筑学,590分,63089名,24人,史/地/技
北京物资学院,,物流管理,590分,63193名,1人,不限
青岛大学,,生物技术(浮山校区),590分,62668名,3人,物/化/生
天津外国语大学,,工商管理类(滨海校区.含会计学，财务管理，国际商务，人力资源管理专业),590分,62742名,3人,不限
天津外国语大学,,白俄罗斯语(马场道校区),590分,63341名,1人,不限
上海工程技术大学,,铁道工程(松江校区),590分,63328名,4人,物
浙江农林大学,,城乡规划(东湖校区),590分,63221名,49人,物/史/地
南京工程学院,,数字媒体技术,590分,62749名,3人,物
南京工程学院,,能源动力类(含能源与动力工程，新能源科学与工程，能源服务工程专业),590分,62474名,5人,物/化
青岛理工大学,,信息管理与信息系统(嘉陵江路校区),590分,62896名,2人,物
湖南工商大学,,智能科学与技术,590分,62771名,1人,物
天津理工大学,,财务管理,590分,62966名,3人,不限
天津理工大学,,集成电路设计与集成系统,590分,62816名,5人,物
山西大学,,日语(坞城校区),590分,63345名,2人,不限
上海应用技术大学,,英语,590分,63260名,2人,不限
南昌航空大学,,机械设计制造及其自动化(前湖校区),590分,62991名,2人,物
南昌航空大学,,飞行器制造工程(航空维修工程与技术)(前湖校区),590分,62491名,2人,物
南昌航空大学,,经济学(前湖校区),590分,63376名,2人,物/史/地
中南林业科技大学,,建筑类(含建筑学，城乡规划专业),590分,62917名,2人,物/地
西安石油大学,249,计算机类(鄠邑校区.含计算机科学与技术，软件工程，网络工程，数字媒体技术专业),590分,63105名,2人,物
苏州科技大学,,工程力学(江枫校区),590分,62472名,2人,物
大连交通大学,,数据科学与大数据技术(旅顺口校区),590分,62464名,2人,物
浙大城市学院,,护理学,590分,63190名,10人,不限
浙大城市学院,,软件工程,590分,63078名,69人,物
浙大城市学院,,人工智能,590分,62502名,13人,物
湖南科技大学,,车辆工程,590分,62347名,2人,物
河北师范大学,,软件工程(智能软件开发，智能设备开发，自动化测试开发，移动互联网开发方向),590分,62379名,3人,物
河南科技大学,,经济学(开元校区),590分,63222名,1人,不限
湖南中医药大学,,商务英语,560分,95697名,2人,不限
山西财经大学,,财政学(迎泽校区),590分,62926名,3人,不限
浙江海洋大学,,英语(师范)(定海校区.要求高考英语成绩不低于105分),590分,63068名,44人,不限
哈尔滨理工大学,,软件工程(后两年学费为14000元/年),590分,62715名,4人,物
湖南工业大学,,财务管理,590分,62790名,1人,不限
湖南工业大学,,数学与应用数学,590分,62672名,2人,物
湖北中医药大学,,医学检验技术,590分,62662名,4人,物+化
西藏大学,,交通运输(纳金校区),590分,62972名,1人,物
河北中医学院,,针灸推拿学,590分,62711名,3人,物/化/生
西华大学,,思想政治教育(郫都校区),590分,62835名,3人,政
黑龙江大学,,生物技术(部分专业课程由俄罗斯新西伯利亚国立大学教师用俄语讲授),590分,62410名,2人,物/化/生
江西科技师范大学,,数学与应用数学(师范)(红角洲校区),590分,62676名,2人,物
湖南农业大学,172,计算机科学与技术,590分,62436名,2人,物
湖南农业大学,,智慧农业,590分,63050名,2人,化/生
赣南师范大学,,应用心理学(师范)(蓉江校区),590分,62872名,2人,不限
湖州师范学院,,学前教育(师范),590分,62669名,13人,不限
湖州师范学院,,科学教育(师范),590分,62929名,69人,物/化/生
长春工业大学,,软件工程(北湖校区),590分,62758名,1人,物
兰州理工大学,,法学(彭家坪校区),590分,63247名,2人,不限
衡阳师范学院,,历史学(师范)(东校区),590分,63377名,1人,史/地
海南师范大学,,地理科学(师范)(桂林洋校区),590分,63380名,3人,物/化/地
华北理工大学,,会计学,590分,62943名,3人,不限
长江大学,,土木工程(中外合作办学)(荆州校区),542分,115149名,5人,物
华北理工大学,,预防医学,590分,62805名,4人,物/化/生
南昌医学院,,中医学(小蓝校区),590分,63118名,6人,物/化/生
中国人民警察大学,,核生化消防(学校提醒:不适宜女生报考),590分,63282名,2人,物/化/技
山东农业大学,,动物医学类(含动物医学，动物药学专业),590分,62534名,3人,物/化/生
桂林电子科技大学,,电子封装技术(花江校区),590分,62705名,4人,物
贵州中医药大学,,针灸推拿学,590分,63159名,4人,物/化/生
聊城大学,,思想政治教育(师范),590分,62402名,3人,政
台州学院,,小学教育(师范)(临海校区),590分,63114名,35人,不限
台州学院,,汉语言文学(师范)(临海校区),590分,63020名,68人,不限
湖南文理学院,,汉语言文学(师范),590分,63283名,2人,不限
绍兴文理学院,,汉语言文学,590分,62863名,39人,不限
泉州师范学院,,汉语言文学(师范),590分,63010名,2人,史
大连交通大学,,测控技术与仪器(旅顺口校区),566分,88770名,2人,物
大连交通大学,,土木工程(旅顺口校区),565分,89844名,2人,物
大连交通大学,,工业设计(旅顺口校区),565分,90034名,2人,物
大连交通大学,,智能制造工程(旅顺口校区),565分,89429名,2人,物
大连交通大学,,工业工程(旅顺口校区),564分,91356名,2人,物
大连交通大学,,信息管理与信息系统(旅顺口校区),562分,93218名,2人,物
大连交通大学,,安全工程(旅顺口校区),558分,97914名,2人,物
大连交通大学,,材料科学与工程(旅顺口校区),554分,101499名,2人,物
大连交通大学,,材料成型及控制工程(旅顺口校区),551分,105234名,3人,物
大连交通大学,,日语(旅顺口校区),549分,107767名,2人,物
杭州医学院,,儿科学(临安校区),590分,63174名,9人,化+生
辽宁中医药大学,,针灸推拿学(第一学年在本溪校区就读，第二学年起在沈阳校区就读),590分,63202名,3人,化/生
浙江工商大学,,通信工程(中外合作办学)(与英国萨塞克斯大学合作),589分,63645名,51人,物
中国计量大学,,食品质量与安全,589分,63443名,62人,物/化/生
四川外国语大学,,商务英语(中外合作办学)(与澳大利亚纽卡斯尔大学合作办学),589分,64208名,2人,不限
天津工业大学,,纺织工程,589分,64013名,4人,物+化
重庆师范大学,,电子商务(大学城校区),589分,63601名,3人,物/化/生
燕山大学,,机械设计制造及其自动化(外语教学为英语.4+0模式),589分,63945名,5人,物
大连外国语大学,,汉语国际教育,589分,64446名,2人,不限
重庆交通大学,,水利类(大一，大二科学城校区，后续学年南岸校区.含水利水电工程，港口航道与海岸工程专业),589分,63502名,4人,物/化/技
新疆大学,,新闻传播学类(红湖校区.含广告学，新闻学专业),589分,64254名,4人,不限
新疆大学,,物流管理(红湖校区),589分,64234名,1人,不限
新疆大学,,机械类(博达校区.含机械工程，材料成型及控制工程专业),589分,63682名,4人,物
山东财经大学,,国际经济发展合作(圣井校区),589分,64092名,2人,不限
西安建筑科技大学,,公共管理类(草堂校区.含文化产业管理，国际经济与贸易，公共事业管理专业),589分,63554名,2人,不限
西安建筑科技大学,,英语(草堂校区),589分,64122名,2人,不限
温州大学,,工商管理,589分,66714名,34人,不限
温州大学,,应用统计学,589分,63665名,51人,物/化/生
北京物资学院,,金融学(期货与证券实验班),589分,63478名,5人,不限
上海工程技术大学,,车辆工程(城市轨道交通车辆)(松江校区),589分,63992名,9人,物
北京联合大学,,人文地理与城乡规划(学院路校区),589分,63623名,1人,物/化/地
浙江农林大学,,工业设计(东湖校区),589分,64113名,14人,物
浙江农林大学,,生物制药(东湖校区),589分,63835名,34人,物/化/生
浙江农林大学,,农学(面向浙江户籍考生招生.东湖校区),589分,63660名,22人,物/化/生
浙江农林大学,,测绘工程(东湖校区),589分,63979名,25人,地
浙江传媒学院,,汉语言文学(桐乡乌镇校区),589分,63702名,27人,史/政/地
中北大学,,光电信息科学与工程,589分,63723名,2人,物
成都大学,,英语,589分,64114名,2人,不限
成都大学,,文化产业管理,589分,64411名,2人,不限
青岛理工大学,,应用物理学(嘉陵江路校区),589分,63967名,2人,物
武汉轻工大学,,建筑学,589分,64068名,2人,物/史
天津理工大学,,智能制造工程,589分,63689名,2人,物
南昌航空大学,,数学与应用数学(前湖校区),589分,63408名,2人,物
南昌航空大学,,网络工程(前湖校区),589分,63793名,2人,物
沈阳工业大学,,自动化,589分,63493名,3人,物
福建农林大学,,蜂学(金山校区),569分,85255名,2人,物/化/生
福建农林大学,,木材科学与工程(旗山校区),568分,86643名,4人,物/化/生
福建农林大学,,海洋科学(金山校区),568分,86549名,6人,物/化/生
福建农林大学,,生态学(中外合作办学)(旗山校区.未出国均在国际学院就读，每年2万元，出国后按加拿大校方外国留学生收费标准),568分,86899名,4人,物/化/生
福建农林大学,,水产养殖学(金山校区),567分,87848名,5人,物/化/生
福建农林大学,,轻化工程(旗山校区),566分,88446名,5人,物/化
福建农林大学,,园艺(中外合作办学)(旗山校区.未出国均在国际学院就读，每年2万元，出国后按加拿大校方外国留学生收费标准),564分,90616名,2人,物/化/生
福建农林大学,,农业资源与环境(中外合作办学)(旗山校区.未出国均在国际学院就读，每年2万元，出国后按加拿大校方外国留学生收费标准),562分,93317名,7人,物/化/生
福建中医药大学,,临床医学(旗山校区),637分,20296名,1人,化+生
福建中医药大学,,中西医临床医学(旗山校区),630分,25689名,1人,物/化/生
三峡大学,,生物科学(生科，生态学方向),589分,64232名,2人,物/化/生
湖南中医药大学,,药学,589分,63777名,4人,物/化/生
大连交通大学,,物流管理(旅顺口校区),589分,64095名,2人,不限
福建农林大学,,人工智能(金山校区),589分,63619名,1人,物
福建农林大学,,生物工程(金山校区),589分,63520名,2人,物/化/生
浙大城市学院,,自动化,589分,63871名,39人,物
昆明理工大学,,储能科学与工程(莲华校区),589分,63610名,2人,物/化
昆明理工大学,,生物工程(呈贡校区),589分,64292名,2人,物/化/生
武汉纺织大学,,会计学(注册会计师)(阳光校区),589分,63569名,8人,不限
福建中医药大学,,护理学(中外合作办学)(与西班牙巴里亚多丽德大学合作),567分,88019名,2人,不限
西北师范大学,,数学与应用数学(师范),589分,64075名,4人,物
西北师范大学,,生物科学(师范),589分,64340名,2人,物/化/生
甘肃政法大学,,刑事科学技术,589分,63725名,1人,物/化/生
甘肃政法大学,,禁毒学,589分,64349名,1人,政
西安科技大学,,测控技术与仪器,589分,63570名,2人,物
吉林财经大学,,会计学(净月校区),589分,64112名,4人,不限
哈尔滨理工大学,,人工智能,589分,63419名,2人,物
宁夏医科大学,,医学检验技术(雁湖校区),589分,63472名,1人,物/化/生
云南财经大学,,会计学(龙泉路校区),589分,64066名,6人,不限
广西医科大学,,医学影像学(南宁-武鸣校区),589分,63631名,2人,物+化
西华大学,,网络与新媒体(郫都校区),589分,64121名,3人,物/史
湖南农业大学,,会计学,589分,64134名,2人,不限
赣南师范大学,,法学(蓉江校区),589分,64138名,4人,不限
衡阳师范学院,,思想政治教育(师范)(东校区),589分,64356名,1人,政
华北理工大学,,针灸推拿学,589分,63737名,3人,物/化/生
陕西理工大学,,地理科学(师范),589分,64378名,1人,物/化/地
大理大学,,临床医学,589分,63589名,4人,化+生
石河子大学,,动物医学,491分,171319名,4人,物+化+生
桂林电子科技大学,,测控技术与仪器(花江校区),589分,63852名,2人,物
上海健康医学院,,临床医学,589分,64204名,5人,化+生
聊城大学,,法学,589分,64285名,3人,不限
广西民族大学,,法学(相思湖校区),589分,63731名,1人,不限
沈阳师范大学,,历史学(师范),589分,64317名,5人,史
安徽理工大学,,金融学,589分,64167名,2人,不限
安徽理工大学,,电子信息工程,589分,63684名,2人,物
山西师范大学,,电子信息工程(太原校区),569分,85066名,2人,物
山西师范大学,,生物科学类(太原校区.含生物科学，生物技术专业),567分,88042名,2人,物/化/生
山西师范大学,,食品科学与工程(太原校区),560分,95774名,2人,物/化/生
山西师范大学,,食品质量与安全(太原校区),559分,97054名,2人,物/化/生
山西师范大学,,旅游管理(太原校区),555分,101167名,2人,不限
杭州医学院,,麻醉学(临安校区),589分,64316名,49人,化+生
中国计量大学,,材料科学与工程,588分,65028名,50人,化
重庆师范大学,,光电信息科学与工程(大学城校区),588分,64867名,4人,物
重庆师范大学,,食品质量与安全(大学城校区),588分,64765名,2人,物/化/生
河北大学,,土木工程(七一路校区),588分,64514名,2人,物
天津中医药大学,,应用统计学,588分,65071名,2人,物
成都信息工程大学,,金融工程(龙泉校区),588分,64774名,2人,不限
浙江中医药大学,,数据科学与大数据技术(第一学年在富春校区就读，第二学年起在滨文校区就读),588分,64606名,33人,物
重庆交通大学,,工商管理类(大一，大二科学城校区，后续学年南岸校区.含工商管理，会计学，市场营销专业),588分,64596名,4人,不限
上海立信会计金融学院,,商务英语(文翔路校区),588分,65463名,5人,不限
西南科技大学,,兵器类(青义校区.含特种能源技术与工程，信息对抗技术专业),569分,85466名,3人,物
西南科技大学,,食品科学与工程(青义校区),568分,86429名,3人,物/化/生
西南科技大学,,安全科学与工程类(青义校区含安全工程，应急技术与管理专业),567分,87296名,4人,物
西南科技大学,,材料类(青义校区.含材料科学与工程，材料物理，功能材料，储能科学与工程专业),566分,88387名,4人,化
西南科技大学,,土木类(青义校区.含土木工程，建筑环境与能源应用工程专业),565分,89720名,3人,物
西南科技大学,,工业工程(青义校区),565分,90250名,3人,物
西南科技大学,,西班牙语(大一在西山校区，后三年在校本部),562分,93337名,3人,不限
西南科技大学,,土木工程(中外合作办学)(与美国田纳西大学合作.青义校区),546分,110882名,3人,物
上海立信会计金融学院,,物流管理(文翔路校区),588分,64884名,2人,不限
上海立信会计金融学院,,英语(文翔路校区),588分,65343名,4人,不限
江苏科技大学,,外国语言文学类(含英语，翻译专业),588分,64781名,6人,不限
江苏科技大学,,测控技术与仪器,588分,65379名,6人,物
江苏科技大学,,应用物理学,588分,64852名,5人,物
江苏科技大学,,生物工程,588分,65365名,3人,物/化/生
天津科技大学,,国际经济与贸易(实行学分制收费.滨海校区),588分,65440名,3人,不限
天津科技大学,,微电子科学与工程(实行学分制收费.河西校区),588分,65077名,3人,物
天津科技大学,,食品科学与工程(实行学分制收费.滨海校区),588分,64689名,3人,化/生
新疆大学,,汉语国际教育(红湖校区),588分,65432名,2人,不限
新疆大学,,土木工程(含建筑工程，道路与桥梁，隧道与地下工程方向)(博达校区),588分,64631名,3人,物
新疆大学,,交通工程(博达校区),588分,65019名,3人,物/化
集美大学,,数字经济,588分,64895名,3人,物
广东工业大学,,应用化学(大学城校区),588分,64575名,2人,物
温州大学,,国际经济与贸易,588分,65111名,31人,不限
温州大学,,人工智能,588分,64474名,55人,物
北京物资学院,,物流工程(京东科技实验班),588分,65331名,1人,不限
青岛大学,,法语(浮山校区),588分,65307名,3人,不限
青岛大学,,应用化学(浮山校区),588分,65062名,5人,物/化
上海商学院,,商务经济学(奉浦校区),588分,65383名,6人,不限
天津外国语大学,,阿拉伯语(马场道校区),588分,65006名,1人,不限
浙江农林大学,,广告学(东湖校区),588分,65012名,67人,不限
浙江农林大学,,工商管理(衣锦校区),588分,65108名,53人,不限
浙江农林大学,,国际经济与贸易(衣锦校区),588分,64873名,25人,不限
浙江农林大学,,机械设计制造及其自动化(东湖校区),588分,64496名,46人,物
浙江农林大学,,智能装备与系统(东湖校区),588分,65301名,35人,物
浙江农林大学,,中药学(东湖校区),588分,64988名,34人,物/化/生
浙江农林大学,,智慧农业(东湖校区),588分,65170名,32人,物/化/生
中国劳动关系学院,,汉语言文学(低年级在涿州校区),588分,64661名,2人,史
浙江传媒学院,,广告学(桐乡乌镇校区),588分,64551名,27人,不限
浙大城市学院,,会展经济与管理(中外合作办学)(要求高考外语成绩不低于100分),569分,86071名,16人,不限
浙大城市学院,,金融学(中外合作办学)(要求高考外语成绩不低于100分),569分,85114名,74人,不限
东北电力大学,,电气工程及其自动化(船营校区),640分,18461名,7人,物
东北电力大学,,电气工程及其自动化(中外合作办学)(与英国史萃克莱德大学合作办学.船营校区),629分,26256名,5人,物
浙江传媒学院,,数字媒体技术(杭州钱塘校区),588分,64547名,33人,物
西安财经大学,,经济学(长安校区),588分,65511名,4人,不限
成都大学,,土木工程,588分,65289名,2人,物
青岛理工大学,,环境科学(嘉陵江路校区),588分,64771名,1人,物/化/生
安徽财经大学,,经济与贸易类(龙湖东校区含国际经济与贸易，贸易经济专业),588分,64955名,6人,不限
上海应用技术大学,,德语,588分,64949名,1人,不限
南昌航空大学,,物联网工程(前湖校区),588分,65095名,2人,物
济南大学,,金融数学,588分,64780名,4人,物
安徽农业大学,153,计算机科学与技术,588分,64737名,4人,物
三峡大学,,制药工程,588分,64586名,2人,物/化
西南民族大学,285,计算机类(航空港校区.含计算机科学与技术，软件工程，网络工程，物联网工程专业),588分,64752名,3人,物
石家庄铁道大学,,物流管理(龙山校区),588分,65449名,2人,不限
中南民族大学,,电子信息类(含电子信息工程通信工程，光电信息科学与工程，集成电路设计与集成系统专业),588分,64571名,5人,物
山东中医药大学,,护理学(长清校区),588分,65452名,1人,不限
山东中医药大学,,制药工程(长清校区),588分,65231名,1人,物/化/生
石河子大学,,食品科学与工程类(含食品科学与工程，食品质量与安全专业),588分,64816名,2人,化/生
东北电力大学,,思想政治教育(船营校区),568分,86428名,5人,政
东北电力大学,,工商管理(船营校区),567分,88089名,2人,不限
东北电力大学,,土木工程(船营校区),567分,87673名,9人,物
东北电力大学,,应用化学(船营校区),563分,91656名,3人,物/化
东北电力大学,,给排水科学与工程(船营校区),561分,93832名,2人,物
东北电力大学,,建筑环境与能源应用工程(船营校区),561分,94200名,4人,物
东北电力大学,,环境工程(船营校区),558分,97108名,3人,物/化
东北电力大学,,英语(船营校区),555分,101377名,9人,不限
东北电力大学,,日语(船营校区),552分,103959名,10人,不限
西南科技大学,223,计算机类(青义校区.含计算机科学与技术，软件工程，信息安全专业),588分,64639名,3人,物
浙大城市学院,,电子科学与技术,588分,64464名,23人,物
浙大城市学院,,考古学,588分,64947名,30人,史/地
东北电力大学,,软件工程(船营校区),588分,64656名,2人,物
湖南科技大学,,智能制造工程,588分,64923名,2人,物
河南财经政法大学,,经济学类(郑东校区.含经济学，经济学(经济计量方向)专业),588分,64587名,2人,不限
河南科技大学,,会计学(开元校区),588分,64655名,4人,物/化/地
安徽工业大学,,电子信息工程(佳山校区),588分,64660名,2人,物
河南理工大学,,金融学(南校区),588分,64803名,1人,不限
