10000-Region,StoreAbbreviation,JanuarytoDate-LastYearSales-Quantity,JanuarytoDate-LastYearSales-TagPriceAmount,JanuarytoDate-LastYearSales-SalesValue,JanuarytoDate-LastYearSales-Discount,JanuarytoDate-ThisYear'sSales-Quantity,JanuarytoDate-ThisYear'sSales-TagPriceAmount,JanuarytoDate-ThisYear'sSales-SalesValue,JanuarytoDate-ThisYear'sSales-Discount,JanuarytoDate-DiscountComparison-DiscountComparison,JanuarytoDate-SalesComparison-SalesComparison,JanuarySales-LastYearSales-Quantity,JanuarySales-LastYearSales-TagPriceAmount,JanuarySales-LastYearSales-SalesValue,JanuarySales-LastYearSales-Discount,JanuarySales-ThisYear'sSales-Quantity,JanuarySales-ThisYear'sSales-TagPriceAmount,JanuarySales-ThisYear'sSales-SalesValue,JanuarySales-ThisYear'sSales-Discount,JanuarySales-DiscountComparison-DiscountComparison,JanuarySales-SalesComparison-SalesComparison,FebruarySales-LastYearSales-Quantity,FebruarySales-LastYearSales-TagPriceAmount,FebruarySales-LastYearSales-SalesValue,FebruarySales-LastYearSales-Discount,FebruarySales-ThisYear'sSales-Quantity,FebruarySales-ThisYear'sSales-TagPriceAmount,FebruarySales-ThisYear'sSales-SalesValue,FebruarySales-ThisYear'sSales-Discount,FebruarySales-DiscountComparison-DiscountComparison,FebruarySales-SalesComparison-SalesComparison,MarchSales-LastYearSales-Quantity,MarchSales-LastYearSales-TagPriceAmount,MarchSales-LastYearSales-SalesValue,MarchSales-LastYearSales-Discount,MarchSales-ThisYear'sSales-Quantity,MarchSales-ThisYear'sSales-TagPriceAmount,MarchSales-ThisYear'sSales-SalesValue,MarchSales-ThisYear'sSales-Discount,MarchSales-DiscountComparison-DiscountComparison,MarchSales-SalesComparison-SalesComparison,AprilSales-LastYearSales-Quantity,AprilSales-LastYearSales-TagPriceAmount,AprilSales-LastYearSales-SalesValue,AprilSales-LastYearSales-Discount,AprilSales-ThisYear'sSales-Quantity,AprilSales-ThisYear'sSales-TagPriceAmount,AprilSales-ThisYear'sSales-SalesValue,AprilSales-ThisYear'sSales-Discount,AprilSales-DiscountComparison-DiscountComparison,AprilSales-SalesComparison-SalesComparison,MaySales-LastYearSales-Quantity,MaySales-LastYearSales-TagPriceAmount,MaySales-LastYearSales-SalesValue,MaySales-LastYearSales-Discount,MaySales-ThisYear'sSales-Quantity,MaySales-ThisYear'sSales-TagPriceAmount,MaySales-ThisYear'sSales-SalesValue,MaySales-ThisYear'sSales-Discount,MaySales-ThisYear'sSales-Stock-to-salesratio,MaySales-ProjectedSales-ProjectedSales,MaySales-ProjectedAmount-ProjectedAmount,MaySales-DiscountComparison-DiscountComparison,MaySales-SalesComparison-SalesComparison,MaySales-Inventory-Inventory
Shenzhen,(Shen) Shenzhen Poly Tianhong Lingerie Store,436.0,11,6,,536.0,15.54,8.28,,,,187.0,5.95,3.44,,264.0,8.9,5.21,,,,99.0,2.74,1.65,,110.0,3.46,1.54,,,,55.0,0.9,0.53,,73.0,1.47,0.71,,,,78.0,1.25,0.6,,54.0,1.18,0.56,,,,131.0,1.88,1.0,,35.0,0.53,0.26,,,,,,,40.78
,(Shen) Shenzhen Buji Tianhong Lingerie Store,1669.0,33,26,,1357.0,30.36,27.66,,,,697.0,17.61,15.36,,800.0,20.88,21.16,,,,381.0,6.97,3.81,,133.0,3.33,1.95,,,,143.0,2.42,1.77,,187.0,2.89,2.0,,,,345.0,4.65,3.96,,147.0,2.22,1.53,,,,262.0,3.67,3.37,,90.0,1.04,1.02,,,,,,,59.35
,(Shen) Shenzhen Chuangye Tianhong Lingerie Store,2073.0,48,33,,2201.0,61.63,47.7,,,,832.0,24.59,17.23,,1360.0,45.45,36.9,,,,625.0,14.35,7.81,,238.0,6.54,4.27,,,,197.0,3.41,2.52,,244.0,4.84,3.31,,,,281.0,4.15,3.41,,232.0,3.28,2.38,,,,577.0,9.73,6.3,,127.0,1.53,0.83,,,,,,,75.49
,(Shen) Shenzhen Dingcheng International Tianhong Lingerie Store,2187.0,46,43,,2626.0,59.28,37.93,,,,664.0,19.3,18.98,,1112.0,29.26,19.1,,,,516.0,11.16,10.26,,381.0,9.97,5.35,,,,437.0,7.13,6.36,,616.0,11.98,5.58,,,,490.0,7.1,6.37,,400.0,6.44,6.28,,,,329.0,4.72,4.09,,117.0,1.63,1.62,,,,,,,81.7
,(Shen) Shenzhen Dongmen Tianhong Lingerie Store,1052.0,21,20,,1352.0,33.73,28.21,,,,418.0,9.87,9.59,,938.0,24.46,23.07,,,,369.0,6.37,6.08,,105.0,3.12,1.68,,,,105.0,1.89,1.46,,145.0,3.79,1.82,,,,113.0,1.93,1.87,,130.0,1.77,1.08,,,,419.0,8.43,5.24,,34.0,0.6,0.56,,,,,,,115.09
,(Shen) Shenzhen Guomao Tianhong Department Store Lingerie Store,1650.0,38,33,,2113.0,44.64,33.02,,,,743.0,21.02,20.63,,1017.0,23.87,22.14,,,,440.0,9.73,6.81,,271.0,6.65,3.57,,,,232.0,3.58,3.14,,357.0,6.84,3.76,,,,191.0,2.79,2.08,,381.0,6.15,2.92,,,,301.0,4.47,2.77,,87.0,1.13,0.62,,,,,,,120.99
,(Shen) Shenzhen Jingguanghua Yoga Fitness Store,1380.0,29,19,,613.0,16.03,14.25,,,,117.0,2.96,2.52,,115.0,3.13,2.86,,,,143.0,3.25,2.97,,110.0,3.17,2.85,,,,183.0,3.96,3.6,,129.0,3.3,2.9,,,,220.0,4.68,4.12,,203.0,5.07,4.5,,,,890.0,18.97,9.98,,56.0,1.37,1.13,,,,,,,83.19
,(Shen) Shenzhen Junshang Department Store Sports Lingerie Store,815.0,21,14,,1163.0,27.04,16.47,,,,349.0,10.27,6.32,,492.0,14.02,9.2,,,,259.0,6.53,4.46,,84.0,2.36,1.68,,,,98.0,2.04,1.53,,473.0,8.61,3.98,,,,104.0,1.99,1.69,,101.0,1.81,1.43,,,,139.0,3.19,2.51,,13.0,0.24,0.18,,,,,,,134.97
,(Shen) Shenzhen Longhua Tianhong Lingerie Store,1287.0,26,23,,2414.0,55.03,45.62,,,,544.0,14.43,11.91,,1201.0,30.8,30.42,,,,310.0,5.9,5.75,,294.0,8.59,6.32,,,,93.0,1.64,1.12,,431.0,7.87,3.81,,,,310.0,3.98,3.68,,353.0,5.91,3.22,,,,184.0,2.38,1.45,,135.0,1.85,1.85,,,,,,,116.89
,(Shen) Shenzhen Longxin Tianhong Lingerie Store,1847.0,39,37,,3045.0,74.23,65.31,,,,660.0,18.96,18.56,,1762.0,47.72,47.72,,,,517.0,9.99,9.66,,278.0,8.33,5.11,,,,278.0,3.94,3.39,,431.0,9.49,6.39,,,,331.0,5.37,4.94,,464.0,7.11,5.27,,,,486.0,7.67,4.36,,110.0,1.57,0.83,,,,,,,121.08
,(Shen) Shenzhen Maoye Huaqiang Yoga Fitness Store,921.0,24,19,,1327.0,42.02,26.62,,,,235.0,7.15,4.62,,558.0,21.01,9.01,,,,145.0,3.73,2.94,,168.0,4.87,4.04,,,,278.0,6.79,5.95,,282.0,7.28,6.18,,,,228.0,5.5,4.87,,239.0,6.64,5.6,,,,399.0,10.18,8.81,,80.0,2.22,1.78,,,,,,,156.09
,(Shen) Shenzhen Meilin Tianhong Lingerie Store,1078.0,26,26,,1166.0,33.62,33.76,,,,480.0,14.03,14.39,,723.0,24.33,25.58,,,,233.0,5.47,5.62,,143.0,3.84,3.6,,,,81.0,1.61,1.11,,124.0,2.5,2.14,,,,237.0,4.07,3.88,,134.0,2.32,1.87,,,,197.0,3.06,2.46,,42.0,0.63,0.56,,,,,,,85.41
,(Shen) Shenzhen Minzhi Tianhong Lingerie Store,953.0,23,18,,1398.0,35.17,27.07,,,,473.0,14.03,12.76,,859.0,25.89,22.31,,,,186.0,4.43,2.39,,97.0,2.58,1.61,,,,84.0,1.38,1.02,,244.0,4.22,1.75,,,,175.0,2.69,1.67,,124.0,1.49,0.9,,,,164.0,2.7,2.2,,74.0,0.99,0.52,,,,,,,71.52
,(Shen) Shenzhen Qianjin Tianhong Lingerie Store,1371.0,29,22,,1618.0,42.48,35.31,,,,565.0,16.1,14.52,,1026.0,31.27,29.05,,,,458.0,8.64,4.63,,158.0,4.42,2.53,,,,105.0,1.6,1.15,,168.0,2.97,1.61,,,,187.0,2.41,1.31,,189.0,2.88,1.65,,,,240.0,3.16,1.95,,77.0,0.94,0.47,,,,,,,114.0
,(Shen) Shenzhen Taiyang Department Store Sports Store,250.0,6,4,,312.0,8.5,5.14,,,,89.0,2.51,1.33,,64.0,1.98,1.26,,,,58.0,1.51,0.78,,65.0,1.83,1.15,,,,36.0,0.68,0.53,,75.0,2.18,1.24,,,,64.0,1.37,0.98,,78.0,1.97,1.14,,,,74.0,1.28,0.99,,30.0,0.55,0.36,,,,,,,47.57
,Shenzhen Jusco Donghu Shuiyun Season Store,,0,0,,18.0,0.35,0.24,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,18.0,0.35,0.24,,,,,0.0,0.0,,,0.0,0.0,,,,,,,23.74
,Shenzhen Nanshan Jusco Water Sports Season Store,,0,0,,27.0,0.47,0.32,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,27.0,0.47,0.32,,,,,0.0,0.0,,,0.0,0.0,,,,,,,23.66
Shenzhen Summary,,18969.0,421,343,,23286.0,580.12,452.9,,,,7053.0,198.8,172.16,,12291.0,352.95,304.98,,,,4739.0,100.76,75.62,,2635.0,73.07,47.25,,,,2405.0,42.97,35.17,,3979.0,80.23,47.18,,,,3354.0,53.92,45.43,,3274.0,57.07,40.9,,,,4792.0,85.49,57.48,,1107.0,16.81,12.59,,,,,,,
Nanning,(Nan) Nanning Mengzhi Island Shopping Center Lingerie Store,113.0,3,2,,136.0,2.99,2.32,,,,48.0,1.35,0.99,,44.0,1.12,0.9,,,,16.0,0.41,0.35,,22.0,0.74,0.55,,,,12.0,0.32,0.27,,10.0,0.31,0.26,,,,36.0,0.72,0.56,,29.0,0.37,0.31,,,,12.0,0.33,0.28,,31.0,0.45,0.3,,,,,,,73.31
,(Nan) Nanning Mengzhi Island Crystal City Yoga Fitness Store,705.0,18,15,,643.0,17.37,13.46,,,,132.0,3.63,2.89,,105.0,2.97,2.31,,,,156.0,4.17,3.57,,138.0,4.2,3.2,,,,180.0,4.43,3.88,,144.0,3.71,3.19,,,,215.0,5.07,4.29,,230.0,5.93,4.36,,,,332.0,7.44,6.24,,26.0,0.56,0.41,,,,,,,114.51
Nanning Summary,,818.0,21,17,,779.0,20.37,15.78,,,,180.0,4.98,3.88,,149.0,4.09,3.21,,,,172.0,4.57,3.92,,160.0,4.94,3.75,,,,192.0,4.75,4.15,,154.0,4.02,3.44,,,,251.0,5.79,4.85,,259.0,6.3,4.67,,,,344.0,7.77,6.52,,57.0,1.01,0.71,,,,,,,
Removed from shelf,(Guang) Guangzhou Datong North Guangbai Sports Lingerie Store,458.0,10,6,,166.0,5.49,2.57,,,,166.0,4.81,2.85,,86.0,2.97,1.37,,,,79.0,2.23,1.37,,31.0,0.96,0.43,,,,123.0,2.09,1.21,,49.0,1.56,0.76,,,,84.0,1.19,0.94,,,0.0,0.0,,,,40.0,0.52,0.5,,,0.0,0.0,,,,,,,0.16
,(Guang) Guangzhou Modern Huangpu Sport Lingerie Store,42.0,1,1,,,0.0,0.0,,,,42.0,1.19,0.63,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0.0
,(Guang) Guangzhou Tianhe City Mingsheng Yoga Fitness Store,286.0,7,6,,381.0,9.7,7.46,,,,74.0,1.49,1.14,,101.0,2.73,2.11,,,,53.0,1.27,1.12,,113.0,3.37,2.64,,,,95.0,2.53,2.26,,102.0,2.41,2.03,,,,46.0,1.01,0.84,,65.0,1.18,0.67,,,,120.0,2.5,2.19,,,0.0,0.0,,,,,,,3.79
,(Da) Meisha Outlet Water Sports Store,1256.0,28,14,,51.0,1.36,0.54,,,,324.0,8.88,4.07,,,0.0,0.0,,,,262.0,6.16,3.27,,,0.0,0.0,,,,233.0,4.77,2.59,,,0.0,0.0,,,,373.0,6.63,3.42,,51.0,1.36,0.54,,,,497.0,9.47,4.55,,,0.0,0.0,,,,,,,17.62
,(Shen) Shenzhen Pingshan Tianhong Sports Lingerie Store,204.0,5,4,,,0.0,0.0,,,,85.0,2.67,2.36,,,0.0,0.0,,,,29.0,0.72,0.4,,,0.0,0.0,,,,18.0,0.35,0.25,,,0.0,0.0,,,,62.0,0.9,0.69,,,0.0,0.0,,,,50.0,0.72,0.56,,,0.0,0.0,,,,,,,0.0
,(Shen) Shenzhen Zhuoye Century Yoga Fitness Store,123.0,3,2,,,0.0,0.0,,,,11.0,0.44,0.35,,,0.0,0.0,,,,17.0,0.41,0.4,,,0.0,0.0,,,,32.0,0.74,0.69,,,0.0,0.0,,,,52.0,1.04,0.84,,,0.0,0.0,,,,50.0,1.11,1.0,,,0.0,0.0,,,,,,,0.0
,Guangdong Zhongshan Youyue Department Store Sports Water Store,9.0,0,0,,,0.0,0.0,,,,9.0,0.19,0.18,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0.54
,Guangzhou Best Choice Baijiafu Special Store,915.0,21,13,,,0.0,0.0,,,,331.0,9.69,6.13,,,0.0,0.0,,,,198.0,4.79,3.11,,,0.0,0.0,,,,234.0,3.73,2.22,,,0.0,0.0,,,,107.0,1.59,1.27,,,0.0,0.0,,,,230.0,3.44,2.39,,,0.0,0.0,,,,,,,12.35
,Guangzhou Beijing Road Tamarack Yoga Fitness Store,154.0,4,4,,,0.0,0.0,,,,50.0,1.48,1.23,,,0.0,0.0,,,,77.0,1.89,1.78,,,0.0,0.0,,,,27.0,0.8,0.61,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0.54
,Guangzhou Jiangnan West Sports Lingerie Specialty Store,174.0,5,2,,,0.0,0.0,,,,116.0,4.05,1.89,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,58.0,1.05,0.43,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,-0.05
,Guangzhou Economic Development Zone Qingshannan Road Specialty Store,184.0,6,3,,,0.0,0.0,,,,184.0,5.77,3.38,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,1.18
,Guangzhou Tianhe City Hua Hua World Store,553.0,12,6,,,0.0,0.0,,,,224.0,5.9,2.98,,,0.0,0.0,,,,113.0,2.47,1.41,,,0.0,0.0,,,,73.0,1.32,0.66,,,0.0,0.0,,,,134.0,2.39,1.28,,,0.0,0.0,,,,207.0,3.65,2.08,,,0.0,0.0,,,,,,,0.0
,Guangzhou Tianhe City Tianyin Yoga Fitness Store,48.0,2,1,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,48.0,1.59,1.11,,,0.0,0.0,,,,61.0,1.14,0.69,,,0.0,0.0,,,,,,,115.19
,Guangzhou Friendship Mansion Headquarters Lingerie Store,6.0,0,0,,,0.0,0.0,,,,6.0,0.13,0.04,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0.15
,Guangzhou Zhengjia Tretorn Sports Indoor Sports Store,,0,0,,274.0,9.72,3.64,,,,,0.0,0.0,,185.0,7.69,2.56,,,,,0.0,0.0,,89.0,2.03,1.08,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,1.94
,"Haosa Specialty Store, Guangzhou China Plaza",33.0,1,0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,19.0,0.49,0.27,,,0.0,0.0,,,,175.0,3.4,2.49,,,0.0,0.0,,,,,,,0.0
,Guangzhou Zhujiang New Town Guangbai Sports Store,172.0,4,3,,,0.0,0.0,,,,60.0,1.44,1.3,,,0.0,0.0,,,,54.0,0.96,0.88,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,57.0,1.29,1.15,,,0.0,0.0,,,,107.0,1.87,1.72,,,0.0,0.0,,,,,,,-0.01
,Shenzhen Changxing Tianhong Lingerie Store,1422.0,33,33,,,0.0,0.0,,,,651.0,18.65,18.66,,,0.0,0.0,,,,394.0,7.78,7.58,,,0.0,0.0,,,,165.0,2.95,2.47,,,0.0,0.0,,,,177.0,3.54,3.48,,,0.0,0.0,,,,188.0,2.95,2.52,,,0.0,0.0,,,,,,,0.0
,Shenzhen Dongmen Lingerie Specialty Store,116.0,4,2,,,0.0,0.0,,,,116.0,4.34,1.79,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0.63
,Shenzhen Maoye Dongmen Shuiyun Sports Store,73.0,2,1,,,0.0,0.0,,,,38.0,0.87,0.44,,,0.0,0.0,,,,21.0,0.55,0.29,,,0.0,0.0,,,,6.0,0.26,0.09,,,0.0,0.0,,,,8.0,0.3,0.1,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0.0
,Shenzhen Maoye Peace Water Sports Store,615.0,15,9,,,0.0,0.0,,,,105.0,3.04,1.8,,,0.0,0.0,,,,103.0,3.01,1.71,,,0.0,0.0,,,,183.0,4.41,2.45,,,0.0,0.0,,,,197.0,4.22,2.24,,,0.0,0.0,,,,348.0,8.19,3.96,,,0.0,0.0,,,,,,,0.0
,Shenzhen Shuanglong Tianhong Lingerie Store,9.0,0,0,,,0.0,0.0,,,,9.0,0.33,0.19,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0.0
,Zhongshan Yihua Lingerie Store,525.0,12,9,,,0.0,0.0,,,,258.0,7.32,5.89,,,0.0,0.0,,,,57.0,1.6,1.1,,,0.0,0.0,,,,114.0,1.71,1.2,,,0.0,0.0,,,,82.0,1.49,1.15,,,0.0,0.0,,,,61.0,1.03,0.91,,,0.0,0.0,,,,,,,0.0
Withdrawn Shelving Summary,,7863.0,185,122,,1519.0,38.62,15.99,,,,3061.0,88.45,58.19,,625.0,16.97,6.88,,,,1570.0,36.1,24.61,,340.0,9.11,4.21,,,,1361.0,26.72,17.13,,197.0,5.03,2.99,,,,1617.0,29.56,19.0,,357.0,7.51,1.91,,,,2265.0,43.04,26.34,,,0.0,0.0,,,,,,,
Total,,63449.0,1443,1047,,68554.0,1691.73,1140.47,,,,22238.0,622.13,464.74,,29832.0,820.42,596.27,,,,14635.0,317.28,228.15,,11420.0,317.44,193.31,,,,11702.0,233.21,161.01,,13201.0,296.37,172.15,,,,11664.0,210.6,155.16,,11648.0,214.24,147.01,,,,17035.0,319.63,219.98,,2453.0,43.25,31.73,,,,,,,
