最终用户,商机项目名称,合同编号生成日期,物料描述,大型号,数量,销售单价
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44873,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,5,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44883,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,3,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44907,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,20,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44907,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,4,1509
河北正元氢能科技有限公司,河北正元氢能科技有限公司煤炭清洁高效综合利用项目-2022-02-129,44770,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,4,1300
海南逸盛石化有限公司,海南逸盛石化振动给料机项目-2022-02-135,44614,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,14,1180
浙江新和成药业有限公司,浙江新和成药业有限公司nh酸项目-2022-02-131,44653,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,1,1240
江苏桐昆恒阳化纤有限公司,江苏桐昆恒阳化纤有限公司织造及聚酯车间、长丝动力低配低压仪表及系统-2021-12-955,44679,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,23,1020
武汉水务环境科技有限公司,武汉水务环境科技有限公司-2021-08-210,44645,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,1,1200
武汉市自来水有限公司,蔡甸水厂新建工程（取水部分）-2021-09-458,44777,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,6,1000
武汉三镇实业控股股份有限公司,太子湖污水处理厂五期项目-2021-12-101,44887,"成品,PMC-550A-CXW6B5EBA,V4,无DC220V控制",PMC-550A,2,1000
沈阳鼓风机集团股份有限公司,沈阳鼓风机股份有限公司电控柜-2021-09-424,44896,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,6,1250
河北燕山钢铁集团有限公司,唐山燕山钢铁有限公司低压改造项目-2022,44600,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,4,1350
沙河市正康能源有限公司,沙河市正康能源有限公司480万标准立方米/日高效清洁燃气项目/沙玻玻璃集团能源改造工程 480万标准立方米/日高效清洁燃气项目-2022,44645,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,39,1000
国能长源汉川发电有限公司,国电长源汉川第一发电有限公司改造项目-2021-08-223,44622,"成品,PMC-550A-CXW6B5HCA,V5",PMC-550A,10,1800
国电长源汉川第一发电有限公司,国电长源汉川第一发电有限公司改造项目-2021-08-223,44783,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,10,1800
国电长源汉川第一发电有限公司,国电长源汉川第一发电有限公司改造项目-2021-08-223,44806,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,2,1610
海南金海浆纸业有限公司,海南金海浆纸业有限公司发电车间马达保护器改造-2022-11,44692,"成品,PMC-550A-CXW3B5FCA,V2",PMC-550A,50,1950
山东清河化工科技有限公司,山东清河化工科技有限公司30万吨/年双氧水法  环氧丙烷装置及配套90万吨/年双氧水装置项目、煤粉炉装置项目-2021,44636,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,16,1200
山东合力泰化工有限公司,山东合力泰化工有限公司碳铵项目-2021-08-334,44753,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,5,1200
湖北枣鑫工贸有限公司,--,44673,"成品,PMC-550A-CXW3B5FCA-F,V4,无DC220V控制,F",PMC-550A,2,3320
中际山河科技有限责任公司,中际山河金隆破水碎机现场控制柜项目-2022-08-346,44790,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,1,1700
海南逸盛石化有限公司,海南逸盛石化有限公司PTA循环水系统余压能回收利用发电项目电力监控系统-2022-08-355,44813,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,10,1250
烟台万华成达化学有限公司,烟台万华成达化学有限公司-2021-10-710,44862,"成品,PMC-550A-CXW3B5FAA,V4,无DC220V控制",PMC-550A,2,1200
烟台万华成达化学有限公司,烟台万华成达化学有限公司-2021-10-710,44862,"成品,PMC-550A-CXW3B5FAA,V4,无DC220V控制",PMC-550A,3,1300
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44750,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线2m常闭",PMC-550A,4,1509
东莞市科伟环保电力有限公司,东莞市科伟环保电力有限公司东莞市横沥环保热电厂科伟一二期技改增容工程项目-2022-03-141,44670,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,10,1300
国电投（揭阳）智慧能源有限公司,国电投揭东燃气电厂项目-2022-03-233,44648,"成品,PMC-550A-CXW6B5FDB,V5",PMC-550A,7,1280
鲁西工业装备有限公司,鲁西化工装备低压电动机-2021-11-838,44789,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,21,1200
华能荆门热电有限责任公司,华能荆门热电厂技改项目-2022-10-378,44858,"成品,PMC-550A-CXW6B5FDB,V5",PMC-550A,20,1950
河北嘉泰化工科技有限公司,河北嘉泰化工科技有限公司6-硝DASAPP酸车间-2021-12-113,44818,"成品,PMC-550A-CXW3B5FCA,V4,无DC220V控制",PMC-550A,1,1380
陕西金泰氯碱化工有限公司,陕西金泰氯碱化工有限公司60万吨年PVC热动力站-2021-09-469,44613,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,115,1000
濮阳市盛源能源科技股份有限公司,濮阳市盛源能源科技股份有限公司20万吨/年顺酐及PBS新材料一体化项目-2022-04-262,44791,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,3,1700
山东新和成氨基酸有限公司,山东新和成氨基酸有限公司增补项目-2022-04-264,44705,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,8,2000
万华化学（烟台）氯碱热电有限公司,万华化学烟台氯碱热电公司增补项目-2022-01-117,44736,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,13,1309
万华化学（烟台）氯碱热电有限公司,万华化学烟台氯碱热电公司增补项目-2022-01-117,44824,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,2,1309
连云港圣奥化学科技有限公司,中化国际聚合物(连云港)有限公司新建塑料45万吨年ABS项目/连云港圣奥Legend项目/连云港圣奥化学科技有限公司聚合物添加剂项目（一期）-2021-12-103,44788,"成品,PMC-550A-CXW6B5FBA-F,V5",PMC-550A,69,946
连云港圣奥化学科技有限公司,中化国际聚合物(连云港)有限公司新建塑料45万吨年ABS项目/连云港圣奥Legend项目/连云港圣奥化学科技有限公司聚合物添加剂项目（一期）-2021-12-103,44818,"成品,PMC-550A-CXW6B5FBA-F,V5",PMC-550A,24,946
连云港圣奥化学科技有限公司,中化国际聚合物(连云港)有限公司新建塑料45万吨年ABS项目/连云港圣奥Legend项目/连云港圣奥化学科技有限公司聚合物添加剂项目（一期）-2021-12-103,44831,"成品,PMC-550A-CXW6B5FBA-F,V5",PMC-550A,1,946
连云港圣奥化学科技有限公司,中化国际聚合物(连云港)有限公司新建塑料45万吨年ABS项目/连云港圣奥Legend项目/连云港圣奥化学科技有限公司聚合物添加剂项目（一期）-2021-12-103,44855,"成品,PMC-550A-CXW6B5FBA-F,V5",PMC-550A,361,924
宁夏宝丰能源集团股份有限公司,宁夏宝丰能源集团股份有限公司甲醇污水治理设备配套项目-2022-07-334,44768,"成品,PMC-550A-CXW6B5HCA,V5",PMC-550A,10,1216
宁夏宝丰能源集团股份有限公司,宁夏宝丰能源集团股份有限公司甲醇污水治理设备配套项目-2022-07-334,44791,"成品,PMC-550A-CXW6B5HCA,V5",PMC-550A,3,1216
金沂蒙集团有限公司,山东金沂蒙电厂技改-2021-08-187,44896,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,1,1265
河北正元氢能科技有限公司,沧州正元氢能科技有限公司-2021-10-713,44831,"定制成品,PMC-550A-CXW6B5FBA,V5,网线4M",PMC-550A,42,1250
中国石油天然气股份有限公司大庆炼化分公司,中石油大庆炼化公司变频改造项目-2021-09-387,44617,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,1,1000
中国石油天然气股份有限公司大庆炼化分公司,中国石油天然气股份有限公司大庆炼化分公司液蜡轻重分离项目-2022-08-340,44795,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,32,950
中国石油天然气股份有限公司大庆炼化分公司,中国石油天然气股份有限公司大庆炼化分公司液蜡轻重分离项目-2022-08-340,44831,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,24,950
万华化学集团物资有限公司,项目,2023-11-27,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,4,1200
万华化学集团物资有限公司,项目,2023-11-27,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,29,1200
万华化学集团物资有限公司,增补项目,2023-11-24,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,1,1200
万华化学集团物资有限公司,增补项目,2023-11-23,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,99,1200
万华化学集团物资有限公司,增补项目,2023-11-23,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,103,1200
沃顿科技股份有限公司,南美hanaq3000吨碳酸锂项目膜设备,2023-11-21,"成品,PMC-550A-EXW6B5FBA,V5,白头",PMC-550A,1,1150
东莞市汇森电气有限公司,,2023-11-13,"成品,PMC-550A-CXW6B5FBB,V5,白头",PMC-550A,4,3600
中国石油天然气股份有限公司大庆石化分公司,中国石油大庆石化公司新建污泥焚烧装置项目,2023-11-07,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,10,1050
景津装备股份有限公司,增补,2023-11-01,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,1,1200
威海热电集团有限公司,南郊热电项目,2023-10-30,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,2,930
晋控电力蒲洲热电山西有限公司,增补,2023-10-27,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,5,1100
中国石油天然气股份有限公司大庆石化分公司,新建污泥焚烧装置项目,2023-10-26,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,10,1050
中车长春轨道客车股份有限公司,中车长春客车股份有限公司车辆公司整体搬迁配套工程建设项目,2023-10-26,"成品,PMC-550A-EXW6B5FCB,V5,白头",PMC-550A,1,1200
万华化学（宁波）有限公司,项目,2023-10-26,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,2,1200
万华化学（宁波）有限公司,项目,2023-10-26,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,12,1200
万华化学（四川）有限公司,扩建项目,2023-10-23,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,1,1200
万华化学（四川）有限公司,扩建项目,2023-10-23,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,10,1200
四川天华股份有限公司,备件采购,2023-10-23,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,4,1250
万华化学集团物资有限公司,项目,2023-10-17,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,43,1200
万华化学集团物资有限公司,项目,2023-10-17,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,310,1200
万华化学集团物资有限公司,项目,2023-10-17,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,23,1200
万华化学集团物资有限公司,项目,2023-10-17,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,89,1200
万华化学集团物资有限公司,项目,2023-10-16,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,4,1200
万华化学集团物资有限公司,项目,2023-10-13,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,74,1200
万华化学集团物资有限公司,项目,2023-10-13,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,111,1200
四川天华股份有限公司,备件采购,2023-10-13,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,8,1250
万华化学（四川）有限公司,扩建项目,2023-10-09,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,81,1200
万华化学（四川）有限公司,扩建项目,2023-10-09,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,421,1200
四川天华股份有限公司,备件采购,2023-10-09,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,2,1250
万华化学（四川）有限公司,扩建项目,2023-09-28,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,1,1200
万华化学（四川）有限公司,扩建项目,2023-09-28,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,4,1200
万华化学（宁波）有限公司,项目,2023-09-25,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,5,1200
万华化学（宁波）有限公司,项目,2023-09-25,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,1,1200
宝山钢铁股份有限公司,一炼钢流程智能控制与决策系统,2023-09-21,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,(8),1235
万华化学集团物资有限公司,项目,2023-09-21,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,5,1200
万华化学集团物资有限公司,项目,2023-09-21,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,159,1200
万华化学集团物资有限公司,项目,2023-09-20,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,2,1200
万华化学集团物资有限公司,项目,2023-09-20,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,2,1200
宁波宝新不锈钢有限公司,2AP控制回路优化改造项目,2023-09-18,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,8,1070
宝山钢铁股份有限公司,一炼钢流程智能控制与决策系统,2023-09-15,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,8,1235
山东华鲁恒升化工股份有限公司,生产区备件,2023-09-12,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,8,1250
辽宁七仁石化有限公司,年产10万吨乙烯焦油生产导电性树脂碳基新材项目,2023-09-13,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,2,1200
玉锋实业集团有限公司,电厂改造,2023-09-12,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,24,1000
淄博英维思仪表科技有限公司,,2023-09-07,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,3,2700
万华化学（四川）有限公司,扩建项目,2023-09-08,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,54,1200
万华化学（四川）有限公司,扩建项目,2023-09-08,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,15,1200
武汉德拓软件开发有限公司,武汉东湖高新德成科创中心,2023-09-07,"成品,PMC-550A-CXW6B5HBA,V5,白头",PMC-550A,6,1300
万华化学集团物资有限公司,项目,2023-09-06,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,1,1200
万华化学集团物资有限公司,项目,2023-09-06,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,3,1200
蓝星（成都）新材料有限公司,低压电动机采购,2023-08-24,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,4,2991
齐鲁制药集团有限公司,齐鲁制药生物医药产业园二期项目/齐鲁制药有限公司（生物医药产业园）化药制剂二期项目,2023-09-04,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,79,800
万华化学（宁波）有限公司,项目,2023-09-04,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,1,1200
万华化学（四川）有限公司,扩建项目,2023-08-30,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,1,1200
万华化学（四川）有限公司,扩建项目,2023-08-30,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,99,1200
万华化学（四川）有限公司,扩建项目,2023-08-30,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,60,1200
国能（清远）清洁能源有限公司,国家能源集团广东公司石角热电2×100MW级燃气-蒸汽联合循环热电联产项目低压柜-2023-04-560,2023-08-28,"成品,PMC-550A-CXW6B5FBB,V5,白头",PMC-550A,6,1200
万华化学集团物资有限公司,项目,2023-08-25,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,1,1200
万华化学集团物资有限公司,项目,2023-08-25,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,5,1200
万华化学集团物资有限公司,项目,2023-08-24,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,32,1200
万华化学集团物资有限公司,项目,2023-08-22,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,12,1200
万华化学集团物资有限公司,项目,2023-08-22,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,11,1200
万华化学集团物资有限公司,项目,2023-08-21,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,16,1200
万华化学（福建）有限公司,项目,2023-08-15,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,2,1200
国能（清远）清洁能源有限公司,国家能源集团广东公司石角热电2×100MW级燃气-蒸汽联合循环热电联产项目,2023-08-11,"成品,PMC-550A-CXW6B5HBA,V5,白头",PMC-550A,34,1550
万华化学（宁波）有限公司,项目,2023-08-10,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,3,1200
宁夏宝丰能源集团股份有限公司,马达保护器采购项目,2023-08-02,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,22,850
中国石油天然气股份有限公司大庆石化分公司,新建污泥焚烧装置项目,2023-08-04,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,1,1050
云南磷化集团有限公司,昆阳磷矿二矿200万吨/年地下开采项目,2023-08-03,"成品,PMC-550A-CXW6B5EBA,V5,白头",PMC-550A,2,1000
中国石油天然气股份有限公司大庆石化分公司,新建污泥焚烧装置项目,2023-08-02,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,2,1050
云南云天化红磷化工有限公司,4万吨/年设施农业用磷酸二氢钾项目,2023-08-02,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,3,1200
万华化学集团物资有限公司,项目,2023-07-31,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,14,1200
万华化学集团物资有限公司,项目,2023-07-31,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,16,1200
中国石油天然气股份有限公司大庆石化分公司,新建污泥焚烧装置项目,2023-07-25,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,2,1050
中国石油天然气股份有限公司大庆石化分公司,新建污泥焚烧装置项目,2023-07-25,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,1,1050
万华化学（福建）有限公司,项目,2023-07-20,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,4,1200
万华化学集团物资有限公司,项目,2023-07-14,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,(1),1200
沈阳鼓风机集团股份有限公司,沈阳鼓风机股份有限公司电控柜,2023-07-14,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,6,1000
万华化学（宁波）有限公司,项目,2023-07-12,"成品,PMC-550A-CXW3B5FAA,V4,无DC220V控制",PMC-550A,7,1200
万华化学集团物资有限公司,项目,2023-07-10,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,2,1200
沈阳鼓风机集团股份有限公司,沈阳鼓风机股份有限公司电控柜,2023-07-10,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,22,1000
中国石油天然气股份有限公司大庆石化分公司,新建污泥焚烧装置项目,2023-07-07,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,1,1050
万华化学（宁波）有限公司,项目,2023-07-04,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,6,1200
万华化学集团股份有限公司,项目,2023-07-03,"定制成品,PMC-550A-CXW6B5FCA,V5,万华,变频起动网线1m白头",PMC-550A,6,1200
万华化学集团股份有限公司,项目,2023-07-03,"定制成品,PMC-550A-CXW6B5FCA,V5,万华,直接起动网线1m白头",PMC-550A,4,1200
山西梗阳新能源有限公司,变电站改造项目,2023-06-30,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,5,1100
连云港圣奥化学科技有限公司,江苏备品备件,2023-06-30,"成品,PMC-550A-CXW6B5FBA-F,V5,白头",PMC-550A,30,1086
万华化学集团股份有限公司,项目,2023-06-19,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,5,1200
万华化学集团股份有限公司,项目,2023-06-19,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,4,1200
玉湖冷链物流（广州）有限公司,玉湖冷链市场交易中心电机保护物料,2023-06-19,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,1,1200
江西省江铜铜箔科技股份有限公司,后台系统改造项目,2023-02-20,"成品,PMC-550A-CXW6B5FCA,V5,白头",PMC-550A,82,1250
江铜国兴（烟台）铜业有限公司,搬迁新建18万吨阴极铜节能减排项目,2023-01-28,"成品,PMC-550A-CXW6B5FCA,V5,白头",PMC-550A,4,1150
万华化学（福建）有限公司,项目,2023-06-14,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,1,1200
万华化学集团股份有限公司,项目,2023-06-09,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,41,1200
万华化学集团股份有限公司,项目,2023-06-09,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,40,1200
万华化学集团股份有限公司,项目,2023-06-09,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,8,1200
万华化学集团股份有限公司,项目,2023-06-07,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,7,1200
万华化学集团股份有限公司,项目,2023-06-07,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,2,1200
江苏健达干燥工程有限公司,,2023-05-25,"成品,PMC-550A-CXW6B5EBA,V4,无DC220V控制",PMC-550A,14,2605
山东华鲁恒升化工股份有限公司,华鲁恒升低压电动机保护,2023-05-31,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,6,1900
国能长源汉川发电有限公司,汉川发电三期码头配电系统增容改造项目,2023-05-29,"成品,PMC-550A-CXW6B5FCA,V5,白头",PMC-550A,1,1480
万华化学（福建）有限公司,项目,2023-05-24,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,12,1200
万华化学（福建）有限公司,项目,2023-05-24,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,2,1200
万华化学（福建）有限公司,项目,2023-05-24,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,8,1200
海南矿业股份有限公司,石碌铁矿石悬浮磁化焙烧技术改造项目,2023-05-12,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,12,1050
连云港圣奥化学科技有限公司,备品备件,2023-05-12,"成品,PMC-550A-CXW6B5FBA-F,V5,白头",PMC-550A,3,1600
四川天华股份有限公司,备件采购,2023-05-08,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,2,1250
万华化学集团物资有限公司,项目,2023-05-05,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,1,1200
山东御馨生物科技股份有限公司,产3万吨生物醇法浓缩蛋白及新产品开发应用项目,2023-05-05,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,10,1300
万华化学集团物资有限公司,电动机保护器项目,2023-05-05,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,1,1200
威海热电集团有限公司市区热电分公司,400V厂区,2023-04-27,"成品,PMC-550A-CXW6B5HCA,V5,白头",PMC-550A,3,930
万华化学集团物资有限公司,项目,2023-04-21,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,10,1200
万华化学集团物资有限公司,项目,2023-04-21,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,7,1200
万华化学集团物资有限公司,项目,2023-04-18,"定制成品,PMC-550A-CXW6B5FCA,V5,万华,变频起动网线1m白头",PMC-550A,1,1200
华能荆门热电有限责任公司,循环水排污水处理系统改造EPC总承包工程,2023-04-17,"成品,PMC-550A-CXW6B5FCA,V5,白头",PMC-550A,16,1540
威海热电集团有限公司市区热电分公司,400V厂区,2023-04-14,"成品,PMC-550A-CXW6B5EBA,V4,无DC220V控制",PMC-550A,2,930
万华化学集团物资有限公司,项目,2023-04-14,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,25,1200
万华化学集团物资有限公司,项目,2023-04-14,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,39,1200
湖南华菱湘潭钢铁有限公司,高效余能发电项目,2023-04-12,"成品,PMC-550A-CXW6B5FCA,V5,白头",PMC-550A,44,1460
河北阳煤正元化工集团有限公司,河北正元氢能科技有限公司煤炭清洁高效综合利用项目,2023-04-11,"定制成品,PMC-550A-CXW6B5FBA,V5,网线4M,白头",PMC-550A,14,1350
万华化学集团物资有限公司,项目,2023-04-10,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,2,1200
万华化学（四川）有限公司,项目,2023-04-10,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,74,1200
万华化学（四川）有限公司,项目,2023-04-10,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,23,1200
山西聚源煤化有限公司,焦炉气机组低压电控,2023-03-27,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,9,1040
万华化学集团物资有限公司,项目,2023-03-27,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,17,1200
