time,液流速率,风速,气温,相对湿度,太阳辐射,土壤热通量,饱和水汽压
2014/06/25 14,150,2,25,48,841,36,3
2014/06/25 15,165,1,26,44,637,88,3
2014/06/25 16,148,1,26,43,371,78,3
2014/06/25 17,108,1,26,43,191,44,3
2014/06/25 18,50,4,21,59,52,6,3
2014/06/25 19,22,1,17,79,8,(26),2
2014/06/25 20,15,0,18,72,1,(31),2
2014/06/25 21,10,0,16,83,0,(33),2
2014/06/25 22,6,0,15,88,0,(37),2
2014/06/25 23,5,0,15,88,0,(37),2
2014/06/26 00,3,1,14,88,0,(37),2
2014/06/26 01,2,0,14,85,0,(36),2
2014/06/26 02,2,1,13,89,0,(35),2
2014/06/26 03,1,0,13,90,0,(33),2
2014/06/26 04,1,0,12,92,0,(33),1
2014/06/26 05,0,0,13,88,8,(32),1
2014/06/26 06,10,1,16,75,44,(26),2
2014/06/26 07,77,1,21,56,102,(14),2
2014/06/26 08,269,2,23,45,100,(3),3
2014/06/26 09,187,2,25,37,710,62,3
2014/06/26 10,188,3,27,29,866,118,3
2014/06/26 11,193,3,28,27,913,142,4
2014/06/26 12,198,3,28,25,804,151,4
2014/06/26 13,178,3,29,23,678,83,4
2014/06/26 14,184,3,29,22,858,53,4
2014/06/26 15,171,3,29,21,721,97,4
2014/06/26 16,146,3,28,23,435,74,4
2014/06/26 17,133,2,28,23,323,56,4
2014/06/26 18,87,2,27,23,138,27,4
2014/06/26 19,53,1,25,30,50,5,3
2014/06/26 20,25,0,20,50,1,(19),2
2014/06/26 21,15,0,17,60,0,(31),2
2014/06/26 22,8,0,16,56,0,(36),2
2014/06/26 23,6,0,16,59,0,(37),2
2014/06/27 00,18,0,15,66,0,(37),2
2014/06/27 01,12,0,14,69,0,(36),2
2014/06/27 02,9,0,13,77,0,(36),2
2014/06/27 03,5,2,14,75,0,(36),2
2014/06/27 04,1,2,15,65,0,(35),2
2014/06/27 05,3,1,14,68,14,(33),2
2014/06/27 06,13,1,16,64,71,(27),2
2014/06/27 07,59,1,19,54,133,(15),2
2014/06/27 08,241,1,23,40,198,0,3
2014/06/27 09,229,2,24,34,455,42,3
2014/06/27 10,231,2,24,34,266,50,3
2014/06/27 11,202,2,24,34,250,34,3
2014/06/27 12,209,2,24,35,218,29,3
2014/06/27 13,185,2,23,35,169,24,3
2014/06/27 14,174,1,24,34,184,19,3
2014/06/27 15,196,1,24,34,188,19,3
2014/06/27 16,140,1,23,37,110,16,3
2014/06/27 17,75,1,22,41,76,6,3
2014/06/27 18,59,0,22,41,53,0,3
2014/06/27 19,48,0,22,42,30,(4),3
2014/06/27 20,44,0,18,53,1,(14),2
2014/06/27 21,30,0,16,66,0,(21),2
2014/06/27 22,22,0,16,69,0,(22),2
2014/06/27 23,19,0,17,71,0,(20),2
2014/06/28 00,2,0,16,74,0,(20),2
2014/06/28 01,2,0,16,66,0,(19),2
2014/06/28 02,3,0,16,67,0,(19),2
2014/06/28 03,2,0,16,71,0,(19),2
2014/06/28 04,0,0,16,68,0,(19),2
2014/06/28 05,2,0,16,66,5,(18),2
2014/06/28 06,12,0,17,61,42,(15),2
2014/06/28 07,54,0,17,59,73,(9),2
2014/06/28 08,183,0,19,54,144,(1),2
2014/06/28 09,323,1,22,35,416,20,3
2014/06/28 10,479,2,25,23,767,70,3
2014/06/28 11,520,2,26,23,925,103,3
2014/06/28 12,463,1,27,23,660,118,3
2014/06/28 13,391,1,27,22,258,67,4
2014/06/28 14,378,1,27,21,497,48,4
2014/06/28 15,383,2,28,20,580,82,4
2014/06/28 16,327,1,27,22,234,57,4
2014/06/28 17,258,1,27,24,181,31,3
2014/06/28 18,152,2,25,29,75,13,3
2014/06/28 19,89,1,24,35,22,(1),3
2014/06/28 20,59,1,22,40,1,(12),3
2014/06/28 21,46,3,21,44,0,(17),3
2014/06/28 22,38,3,19,53,0,(19),2
2014/06/28 23,32,3,18,67,0,(21),2
2014/06/29 00,15,3,17,82,0,(22),2
2014/06/29 01,5,1,15,94,0,(25),2
2014/06/29 02,1,0,15,94,0,(37),2
2014/06/29 03,1,1,15,95,0,(37),2
2014/06/29 04,2,1,15,95,0,(33),2
2014/06/29 05,6,1,15,95,0,(31),2
2014/06/29 06,9,1,15,94,9,(29),2
2014/06/29 07,6,1,14,94,26,(26),2
2014/06/29 08,5,1,15,93,41,(21),2
2014/06/29 09,9,1,15,93,83,(17),2
2014/06/29 10,11,1,16,92,113,(5),2
2014/06/29 11,14,1,16,91,151,(3),2
2014/06/29 12,28,1,18,79,453,25,2
2014/06/29 13,158,0,20,69,265,41,2
2014/06/29 14,250,1,21,60,574,37,3
2014/06/29 15,250,1,22,58,384,55,3
2014/06/29 16,300,1,21,62,346,45,3
2014/06/29 17,136,1,21,66,130,10,2
2014/06/29 18,81,2,21,67,115,(2),2
2014/06/29 19,55,1,20,74,18,(14),2
2014/06/29 20,26,1,18,85,0,(20),2
2014/06/29 21,17,1,17,89,0,(23),2
2014/06/29 22,12,1,17,90,0,(23),2
2014/06/29 23,9,2,17,91,0,(25),2
2014/06/30 00,5,2,16,94,0,(28),2
2014/06/30 01,2,2,16,94,0,(27),2
2014/06/30 02,4,2,16,93,0,(24),2
2014/06/30 03,1,2,15,91,0,(23),2
2014/06/30 04,2,1,15,89,0,(23),2
2014/06/30 05,7,2,15,87,6,(25),2
2014/06/30 06,10,2,15,85,51,(23),2
2014/06/30 07,27,2,17,78,127,(17),2
2014/06/30 08,118,3,18,74,173,(3),2
2014/06/30 09,252,3,20,69,640,44,2
2014/06/30 10,299,3,23,62,811,84,3
2014/06/30 11,326,2,25,55,877,112,3
2014/06/30 12,294,3,27,40,664,118,3
2014/06/30 13,235,4,26,40,186,53,3
2014/06/30 14,247,2,26,43,531,36,3
2014/06/30 15,248,4,28,32,550,73,4
2014/06/30 16,240,5,28,29,494,69,4
2014/06/30 17,140,4,27,35,290,57,3
2014/06/30 18,125,4,26,38,176,35,3
2014/06/30 19,61,1,24,42,51,8,3
2014/06/30 20,30,0,21,60,1,(14),2
2014/06/30 21,18,2,20,73,0,(20),2
2014/06/30 22,12,2,19,75,0,(27),2
2014/06/30 23,9,2,17,74,0,(33),2
