1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-行业中类,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-代码,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-单位数(个)-单位数(个),1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-单产业法人,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-多产业法人,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-从业人员数(人)-从业人员数(人),1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-#女性,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-单位数(个)-单位数(个),1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-#多产业法人所属的产业活动单位数,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-从业人员数(人)-从业人员数(人)
建筑业,E,226768.0,219444.0,7324.0,39070264.0,4728049.0,253211.0,33767.0,39954674.0
房屋和土木工程建筑业,4700,93054.0,88195.0,4859.0,32429089.0,3715332.0,111566.0,23371.0,32898741.0
房屋工程建筑,4710,59935.0,56495.0,3440.0,25420433.0,2735242.0,74153.0,17658.0,25798249.0
土木工程建筑,4720,33119.0,31700.0,1419.0,7008656.0,980090.0,37413.0,5713.0,7100492.0
建筑安装业,4800,43759.0,42736.0,1023.0,3226536.0,518182.0,47638.0,4902.0,3439184.0
建筑装饰业,4900,66286.0,65114.0,1172.0,1866382.0,318720.0,69102.0,3988.0,1988537.0
其他建筑业,5000,23669.0,23399.0,270.0,1548257.0,175815.0,24905.0,1506.0,1628212.0
工程准备,5010,8717.0,8596.0,121.0,438644.0,58984.0,9089.0,493.0,460258.0
提供施工设备服务,5020,2753.0,2730.0,23.0,234844.0,24941.0,2943.0,213.0,252672.0
其他未列明的建筑活动,5090,12198.0,12072.0,126.0,874749.0,91884.0,12872.0,800.0,915262.0
交通运输、仓储和邮政业,F,157589.0,150099.0,7490.0,8976298.0,2249937.0,225259.0,75160.0,9614746.0
铁路运输业,5100,440.0,426.0,14.0,55648.0,11789.0,592.0,166.0,126332.0
铁路旅客运输,5110,17.0,16.0,1.0,5567.0,1524.0,29.0,13.0,20738.0
铁路货物运输,5120,203.0,195.0,8.0,34562.0,6912.0,285.0,90.0,72553.0
铁路运输辅助活动,5130,220.0,215.0,5.0,15519.0,3353.0,278.0,63.0,33041.0
道路运输业,5200,73202.0,69426.0,3776.0,3757924.0,842557.0,93982.0,24556.0,4018707.0
公路旅客运输,5210,7745.0,6807.0,938.0,944799.0,296844.0,10489.0,3682.0,903741.0
道路货物运输,5220,53276.0,51786.0,1490.0,1957276.0,276359.0,57909.0,6123.0,2069227.0
道路运输辅助活动,5230,12181.0,10833.0,1348.0,855849.0,269354.0,25584.0,14751.0,1045739.0
城市公共交通业,5300,7689.0,7275.0,414.0,1602044.0,397725.0,8963.0,1688.0,1635679.0
公共电汽车客运,5310,2054.0,1826.0,228.0,900593.0,298860.0,2738.0,912.0,930386.0
轨道交通,5320,85.0,77.0,8.0,55096.0,16070.0,119.0,42.0,50847.0
出租车客运,5330,5129.0,4973.0,156.0,605635.0,71475.0,5612.0,639.0,614861.0
城市轮渡,5340,91.0,87.0,4.0,7723.0,1443.0,103.0,16.0,8033.0
其他城市公共交通,5390,330.0,312.0,18.0,32997.0,9877.0,391.0,79.0,31552.0
水上运输业,5400,8009.0,7657.0,352.0,812911.0,141502.0,9085.0,1428.0,748074.0
水上旅客运输,5410,915.0,874.0,41.0,57797.0,12860.0,1130.0,256.0,59348.0
水上货物运输,5420,4857.0,4658.0,199.0,469137.0,73163.0,5248.0,590.0,422637.0
水上运输辅助活动,5430,2237.0,2125.0,112.0,285977.0,55479.0,2707.0,582.0,266089.0
航空运输业,5500,808.0,713.0,95.0,320362.0,118274.0,1314.0,601.0,323789.0
航空客货运输,5510,300.0,258.0,42.0,220222.0,83879.0,605.0,347.0,227643.0
通用航空服务,5520,152.0,147.0,5.0,5839.0,1616.0,190.0,43.0,7008.0
航空运输辅助活动,5530,356.0,308.0,48.0,94301.0,32779.0,519.0,211.0,89138.0
管道运输业,5600,85.0,75.0,10.0,25054.0,6263.0,121.0,46.0,42247.0
装卸搬运和其他运输服务业,5700,44661.0,43004.0,1657.0,1074379.0,289538.0,50923.0,7919.0,1205392.0
装卸搬运,5710,7331.0,7174.0,157.0,387377.0,57950.0,7977.0,803.0,435583.0
运输代理服务,5720,37330.0,35830.0,1500.0,687002.0,231588.0,42946.0,7116.0,769809.0
仓储业,5800,18207.0,17629.0,578.0,534918.0,147053.0,21091.0,3462.0,601990.0
谷物、棉花等农产品仓储,5810,5600.0,5320.0,280.0,177041.0,49335.0,7195.0,1875.0,186665.0
其他仓储,5890,12607.0,12309.0,298.0,357877.0,97718.0,13896.0,1587.0,415325.0
邮政业,5900,4488.0,3894.0,594.0,793058.0,295236.0,39188.0,35294.0,912536.0
国家邮政,5910,621.0,171.0,450.0,673721.0,266471.0,33944.0,33773.0,792033.0
其他寄递服务,5990,3867.0,3723.0,144.0,119337.0,28765.0,5244.0,1521.0,120503.0
信息传输、计算机服务和软件业,G,153290.0,149424.0,3866.0,3206954.0,1190433.0,211421.0,61997.0,3593578.0
电信和其他信息传输服务业,6000,22590.0,20313.0,2277.0,1540412.0,638307.0,76557.0,56244.0,1893816.0
电信,6010,6777.0,5071.0,1706.0,1198040.0,522432.0,53365.0,48294.0,1497219.0
互联网信息服务,6020,10638.0,10404.0,234.0,151109.0,58778.0,11864.0,1460.0,170748.0
广播电视传输服务,6030,4946.0,4617.0,329.0,183488.0,54121.0,11051.0,6434.0,217176.0
卫星传输服务,6040,229.0,221.0,8.0,7775.0,2976.0,277.0,56.0,8673.0
计算机服务业,6100,90843.0,90027.0,816.0,769355.0,271058.0,93441.0,3414.0,788019.0
计算机系统服务,6110,14702.0,14409.0,293.0,242587.0,77474.0,15360.0,951.0,253744.0
数据处理,6120,997.0,971.0,26.0,31352.0,15949.0,1097.0,126.0,33009.0
计算机维修,6130,3165.0,3090.0,75.0,34577.0,10668.0,3444.0,354.0,35103.0
其他计算机服务,6190,71979.0,71557.0,422.0,460839.0,166967.0,73540.0,1983.0,466163.0
软件业,6200,39857.0,39084.0,773.0,897187.0,281068.0,41423.0,2339.0,911743.0
公共软件服务,6210,32602.0,31940.0,662.0,747257.0,231043.0,33860.0,1920.0,759899.0
其他软件服务,6290,7255.0,7144.0,111.0,149930.0,50025.0,7563.0,419.0,151844.0
批发和零售业,H,1403141.0,1343605.0,59536.0,18919762.0,8093936.0,1745277.0,401672.0,19592227.0
批发业,6300,854007.0,823572.0,30435.0,10549388.0,3827763.0,969427.0,145855.0,10728355.0
农畜产品批发,6310,41760.0,39738.0,2022.0,703804.0,212830.0,53630.0,13892.0,720778.0
食品、饮料及烟草制品批发,6320,63784.0,60431.0,3353.0,1394362.0,503844.0,73999.0,13568.0,1429130.0
纺织、服装及日用品批发,6330,88629.0,85927.0,2702.0,1081013.0,554176.0,93320.0,7393.0,1122000.0
文化、体育用品及器材批发,6340,27255.0,26222.0,1033.0,306056.0,140979.0,28945.0,2723.0,313504.0
医药及医疗器材批发,6350,25541.0,24105.0,1436.0,558034.0,249072.0,28288.0,4183.0,547239.0
矿产品、建材及化工产品批发,6360,287252.0,276566.0,10686.0,3211571.0,1023466.0,346295.0,69729.0,3203731.0
机械设备、五金交电及电子产品批发,6370,239381.0,232246.0,7135.0,2457103.0,866373.0,251002.0,18756.0,2517173.0
贸易经纪与代理,6380,19650.0,19285.0,365.0,209932.0,78047.0,20644.0,1359.0,215095.0
其他批发,6390,60755.0,59052.0,1703.0,627513.0,198976.0,73304.0,14252.0,659705.0
零售业,6500,549134.0,520033.0,29101.0,8370374.0,4266173.0,775850.0,255817.0,8863872.0
综合零售,6510,63693.0,56909.0,6784.0,2859867.0,1769115.0,116227.0,59318.0,2858737.0
食品、饮料及烟草制品专门零售,6520,44851.0,41953.0,2898.0,492535.0,219214.0,68693.0,26740.0,563277.0
纺织、服装及日用品专门零售,6530,59570.0,55817.0,3753.0,749027.0,463731.0,78097.0,22280.0,809422.0
文化、体育用品及器材专门零售,6540,36487.0,34215.0,2272.0,405394.0,212287.0,46628.0,12413.0,434491.0
医药及医疗器材专门零售,6550,49441.0,45742.0,3699.0,625087.0,364827.0,104921.0,59179.0,695540.0
汽车、摩托车、燃料及零配件,6560,79907.0,76878.0,3029.0,1229100.0,442037.0,118363.0,41485.0,1400728.0
专门零售,,,,,,,,,
家用电器及电子产品专门零售,6570,90954.0,87467.0,3487.0,972755.0,423362.0,102071.0,14604.0,1004036.0
五金、家具及室内装修材料专门零售,6580,72517.0,70725.0,1792.0,568584.0,216176.0,79570.0,8845.0,595771.0
无店铺及其他零售,6590,51714.0,50327.0,1387.0,468025.0,155424.0,61280.0,10953.0,501870.0
住宿和餐饮业,I,145297.0,138720.0,6577.0,5857510.0,3278408.0,181401.0,42681.0,6249069.0
住宿业,6600,54316.0,51466.0,2850.0,2673057.0,1522314.0,62010.0,10544.0,2770989.0
旅游饭店,6610,17850.0,16293.0,1557.0,1900688.0,1060294.0,19478.0,3185.0,1920657.0
一般旅馆,6620,33233.0,32007.0,1226.0,692793.0,415413.0,38605.0,6598.0,757634.0
其他住宿服务,6690,3233.0,3166.0,67.0,79576.0,46607.0,3927.0,761.0,92698.0
餐饮业,6700,90981.0,87254.0,3727.0,3184453.0,1756094.0,119391.0,32137.0,3478080.0
正餐服务,6710,75029.0,72204.0,2825.0,2628709.0,1451168.0,90389.0,18185.0,2839049.0
快餐服务,6720,6171.0,5694.0,477.0,373083.0,204671.0,13279.0,7585.0,403722.0
饮料及冷饮服务,6730,3902.0,3735.0,167.0,54622.0,31180.0,5144.0,1409.0,59778.0
其他餐饮服务,6790,5879.0,5621.0,258.0,128039.0,69075.0,10579.0,4958.0,175531.0
金融业,J,28668.0,17717.0,10951.0,5095109.0,2576588.0,225378.0,207661.0,6028460.0
银行业,6800,7706.0,1957.0,5749.0,2820740.0,1328784.0,149712.0,147755.0,3305230.0
中央银行,6810,626.0,289.0,337.0,108700.0,36596.0,2824.0,2535.0,128158.0
商业银行,6820,6449.0,1403.0,5046.0,2616074.0,1251466.0,140953.0,139550.0,3041940.0
其他银行,6890,631.0,265.0,366.0,95966.0,40722.0,5935.0,5670.0,135132.0
证券业,6900,1116.0,829.0,287.0,148254.0,61491.0,5272.0,4443.0,169540.0
证券市场管理,6910,76.0,69.0,7.0,4803.0,1657.0,133.0,64.0,5417.0
证券经纪与交易,6920,699.0,440.0,259.0,130328.0,54446.0,4648.0,4208.0,151191.0
证券投资,6930,197.0,181.0,16.0,10869.0,4557.0,329.0,148.0,10369.0
证券分析与咨询,6940,144.0,139.0,5.0,2254.0,831.0,162.0,23.0,2563.0
保险业,7000,9146.0,4766.0,4380.0,1904912.0,1080295.0,47396.0,42630.0,2297780.0
人寿保险,7010,2904.0,1066.0,1838.0,1420360.0,849864.0,23061.0,21995.0,1719074.0
非人寿保险,7020,3678.0,1396.0,2282.0,421749.0,201096.0,20765.0,19369.0,495292.0
保险辅助服务,7030,2564.0,2304.0,260.0,62803.0,29335.0,3570.0,1266.0,83414.0
其他金融活动,7100,10700.0,10165.0,535.0,221203.0,106018.0,22998.0,12833.0,255910.0
金融信托与管理,7110,814.0,790.0,24.0,25237.0,9145.0,1114.0,324.0,23449.0
金融租赁,7120,102.0,99.0,3.0,2046.0,839.0,121.0,22.0,2126.0
财务公司,7130,329.0,322.0,7.0,6438.0,2929.0,357.0,35.0,6466.0
邮政储蓄,7140,358.0,50.0,308.0,89620.0,53524.0,11667.0,11617.0,123518.0
典当,7150,3035.0,2958.0,77.0,25816.0,9845.0,3176.0,218.0,25979.0
其他未列明的金融活动,7190,6062.0,5946.0,116.0,72046.0,29736.0,6563.0,617.0,74372.0
房地产业,K,214391.0,204522.0,9869.0,5521938.0,1851135.0,244565.0,40043.0,5834561.0
房地产业,7200,214391.0,204522.0,9869.0,5521938.0,1851135.0,244565.0,40043.0,5834561.0
房地产开发经营,7210,87880.0,86074.0,1806.0,2077206.0,655586.0,90012.0,3938.0,2059153.0
物业管理,7220,58405.0,54310.0,4095.0,2501183.0,849589.0,69966.0,15656.0,2779799.0
房地产中介服务,7230,33890.0,31142.0,2748.0,374302.0,153504.0,46539.0,15397.0,406102.0
其他房地产活动,7290,34216.0,32996.0,1220.0,569247.0,192456.0,38048.0,5052.0,589507.0
租赁和商务服务业,L,427001.0,416102.0,10899.0,7706947.0,2664955.0,490843.0,74741.0,8494310.0
租赁业,7300,18330.0,18019.0,311.0,218866.0,51476.0,19408.0,1389.0,251993.0
机械设备租赁,7310,17496.0,17203.0,293.0,209139.0,47903.0,18460.0,1257.0,241701.0
文化及日用品出租,7320,834.0,816.0,18.0,9727.0,3573.0,948.0,132.0,10292.0
商务服务业,7400,408671.0,398083.0,10588.0,7488081.0,2613479.0,471435.0,73352.0,8242317.0
企业管理服务,7410,93579.0,90242.0,3337.0,2379384.0,864038.0,124682.0,34440.0,2935327.0
法律服务,7420,21832.0,21713.0,119.0,226645.0,70665.0,26354.0,4641.0,245393.0
咨询与调查,7430,105085.0,103231.0,1854.0,1041343.0,455343.0,111546.0,8315.0,1087404.0
广告业,7440,72543.0,71713.0,830.0,608555.0,232033.0,74245.0,2532.0,620408.0
知识产权服务,7450,3803.0,3737.0,66.0,40269.0,18729.0,3982.0,245.0,40899.0
职业中介服务,7460,21588.0,21149.0,439.0,1121169.0,409913.0,24023.0,2874.0,1144496.0
市场管理,7470,18529.0,17655.0,874.0,461719.0,160869.0,23412.0,5757.0,489618.0
旅行社,7480,21245.0,19479.0,1766.0,302271.0,161351.0,27701.0,8222.0,310039.0
其他商务服务,7490,50467.0,49164.0,1303.0,1306726.0,240538.0,55490.0,6326.0,1368733.0
科学研究、技术服务和地质勘查业,M,201689.0,195831.0,5858.0,4475880.0,1306013.0,237048.0,41217.0,4809137.0
研究与试验发展,7500,21317.0,20747.0,570.0,786385.0,261577.0,22916.0,2169.0,822030.0
自然科学研究与试验发展,7510,2102.0,2036.0,66.0,98453.0,33392.0,2228.0,192.0,100417.0
工程和技术研究与试验发展,7520,9298.0,9072.0,226.0,425752.0,132204.0,9790.0,718.0,453986.0
农业科学研究与试验发展,7530,5097.0,4917.0,180.0,152043.0,50218.0,5762.0,845.0,155544.0
医学研究与试验发展,7540,3246.0,3170.0,76.0,69261.0,30503.0,3376.0,206.0,69012.0
社会人文科学研究与试验发展,7550,1574.0,1552.0,22.0,40876.0,15260.0,1760.0,208.0,43071.0
专业技术服务业,7600,99966.0,97318.0,2648.0,2264156.0,650909.0,112570.0,15252.0,2420306.0
气象服务,7610,3896.0,3576.0,320.0,64830.0,21932.0,4442.0,866.0,66784.0
地震服务,7620,1409.0,1370.0,39.0,17247.0,4947.0,1611.0,241.0,24544.0
海洋服务,7630,217.0,212.0,5.0,8409.0,1893.0,270.0,58.0,9007.0
测绘服务,7640,3751.0,3682.0,69.0,85974.0,23998.0,4162.0,480.0,91440.0
技术检测,7650,14708.0,14437.0,271.0,308472.0,103849.0,17784.0,3347.0,350478.0
环境监测,7660,3009.0,2957.0,52.0,57741.0,20813.0,3672.0,715.0,64958.0
工程技术与规划管理,7670,47094.0,45572.0,1522.0,1348990.0,360232.0,53142.0,7570.0,1410329.0
其他专业技术服务,7690,25882.0,25512.0,370.0,372493.0,113245.0,27487.0,1975.0,402766.0
科技交流和推广服务业,7700,76591.0,74210.0,2381.0,1032937.0,304172.0,97193.0,22983.0,1143434.0
技术推广服务,7710,62518.0,60336.0,2182.0,853323.0,248689.0,81547.0,21211.0,955881.0
科技中介服务,7720,6766.0,6671.0,95.0,81093.0,24750.0,7404.0,733.0,84829.0
其他科技服务,7790,7307.0,7203.0,104.0,98521.0,30733.0,8242.0,1039.0,102724.0
地质勘查业,7800,3815.0,3556.0,259.0,392402.0,89355.0,4369.0,813.0,423367.0
矿产地质勘查,7810,1702.0,1574.0,128.0,244608.0,53341.0,1843.0,269.0,262933.0
基础地质勘查,7820,795.0,713.0,82.0,77476.0,18881.0,1068.0,355.0,78357.0
地质勘查技术服务,7830,1318.0,1269.0,49.0,70318.0,17133.0,1458.0,189.0,82077.0
水利、环境和公共设施管理业,N,57553.0,55144.0,2409.0,2214135.0,841566.0,74997.0,19853.0,2375337.0
水利管理业,7900,20827.0,19752.0,1075.0,475648.0,122704.0,32103.0,12351.0,528572.0
防洪管理,7910,2627.0,2501.0,126.0,65155.0,15865.0,4079.0,1578.0,70532.0
水资源管理,7920,10549.0,9859.0,690.0,301049.0,79650.0,15863.0,6004.0,327724.0
其他水利管理,7990,7651.0,7392.0,259.0,109444.0,27189.0,12161.0,4769.0,130316.0
环境管理业,8000,12801.0,12327.0,474.0,861627.0,403082.0,16271.0,3944.0,924914.0
自然保护,8010,2295.0,2132.0,163.0,61669.0,18459.0,3387.0,1255.0,67669.0
环境治理,8020,10506.0,10195.0,311.0,799958.0,384623.0,12884.0,2689.0,857245.0
公共设施管理业,8100,23925.0,23065.0,860.0,876860.0,315780.0,26623.0,3558.0,921851.0
市政公共设施管理,8110,5222.0,5030.0,192.0,238615.0,73517.0,6292.0,1262.0,264334.0
城市绿化管理,8120,10862.0,10595.0,267.0,316626.0,112290.0,11552.0,957.0,329610.0
游览景区管理,8130,7841.0,7440.0,401.0,321619.0,129973.0,8779.0,1339.0,327907.0
居民服务和其他服务业,O,120467.0,117022.0,3445.0,1990364.0,848654.0,137709.0,20687.0,2174725.0
居民服务业,8200,61339.0,58982.0,2357.0,965828.0,490603.0,73406.0,14424.0,1067854.0
家庭服务,8210,3823.0,3727.0,96.0,48700.0,26362.0,4105.0,378.0,50696.0
托儿所,8220,1308.0,1296.0,12.0,15250.0,12137.0,1441.0,145.0,17472.0
洗染服务,8230,2216.0,1977.0,239.0,34397.0,17481.0,3396.0,1419.0,40539.0
理发及美容保健服务,8240,16490.0,15480.0,1010.0,219534.0,136878.0,19951.0,4471.0,236845.0
洗浴服务,8250,10350.0,10171.0,179.0,256120.0,134077.0,11342.0,1171.0,271127.0
婚姻服务,8260,3438.0,3395.0,43.0,18986.0,9936.0,3660.0,265.0,20003.0
殡葬服务,8270,4496.0,4349.0,147.0,94468.0,26123.0,5457.0,1108.0,99901.0
摄影扩印服务,8280,6932.0,6534.0,398.0,77348.0,40686.0,8145.0,1611.0,80791.0
其他居民服务,8290,12286.0,12053.0,233.0,201025.0,86923.0,15909.0,3856.0,250480.0
其他服务业,8300,59128.0,58040.0,1088.0,1024536.0,358051.0,64303.0,6263.0,1106871.0
修理与维护,8310,33120.0,32455.0,665.0,397276.0,87567.0,36244.0,3789.0,442230.0
清洁服务,8320,10565.0,10421.0,144.0,334832.0,185785.0,10952.0,531.0,340466.0
其他未列明的服务,8390,15443.0,15164.0,279.0,292428.0,84699.0,17107.0,1943.0,324175.0
教育,P,335065.0,302078.0,32987.0,17236288.0,8537462.0,546479.0,244401.0,17946594.0
教育,8400,335065.0,302078.0,32987.0,17236288.0,8537462.0,546479.0,244401.0,17946594.0
学前教育,8410,65638.0,64754.0,884.0,1030873.0,866043.0,81086.0,16332.0,1149480.0
初等教育,8420,129233.0,106656.0,22577.0,5933689.0,3090518.0,310008.0,203352.0,6648135.0
中等教育,8430,74372.0,67142.0,7230.0,7033420.0,3169177.0,81019.0,13877.0,6900814.0
高等教育,8440,5512.0,4914.0,598.0,2052582.0,903202.0,6688.0,1774.0,2063933.0
其他教育,8490,60310.0,58612.0,1698.0,1185724.0,508522.0,67678.0,9066.0,1184232.0
卫生、社会保障和社会福利业,Q,206480.0,192658.0,13822.0,6803553.0,3852308.0,414299.0,221641.0,7418712.0
卫生,8500,171449.0,158146.0,13303.0,6358529.0,3662313.0,364144.0,205998.0,6891989.0
医院,8510,22031.0,18951.0,3080.0,3931574.0,2422446.0,25333.0,6382.0,4030626.0
卫生院及社区医疗活动,8520,51724.0,42865.0,8859.0,1421232.0,705303.0,92190.0,49325.0,1418640.0
门诊部医疗活动,8530,70262.0,69789.0,473.0,313894.0,139543.0,205023.0,135234.0,660907.0
计划生育技术服务活动,8540,13060.0,12913.0,147.0,129172.0,74719.0,23346.0,10433.0,199984.0
妇幼保健活动,8550,3041.0,2863.0,178.0,196675.0,146114.0,3370.0,507.0,196933.0
专科疾病防治活动,8560,1888.0,1754.0,134.0,64081.0,32979.0,2282.0,528.0,65770.0
疾病预防控制及防疫活动,8570,5387.0,5039.0,348.0,210883.0,97037.0,6635.0,1596.0,216245.0
其他卫生活动,8590,4056.0,3972.0,84.0,91018.0,44172.0,5965.0,1993.0,102884.0
社会保障业,8600,11428.0,11209.0,219.0,195742.0,66419.0,17621.0,6412.0,238959.0
社会福利业,8700,23603.0,23303.0,300.0,249282.0,123576.0,32534.0,9231.0,287764.0
提供住宿的社会福利,8710,18122.0,17929.0,193.0,204720.0,104834.0,24186.0,6257.0,231080.0
不提供住宿的社会福利,8720,5481.0,5374.0,107.0,44562.0,18742.0,8348.0,2974.0,56684.0
文化、体育和娱乐业,R,81878.0,79471.0,2407.0,1940677.0,821458.0,102171.0,22700.0,2047469.0
新闻出版业,8800,6278.0,5979.0,299.0,356272.0,146553.0,7167.0,1188.0,358100.0
新闻业,8810,915.0,890.0,25.0,31117.0,12191.0,1205.0,315.0,32104.0
出版业,8820,5363.0,5089.0,274.0,325155.0,134362.0,5962.0,873.0,325996.0
广播、电视、电影和音像业,8900,13481.0,12671.0,810.0,477789.0,177785.0,20074.0,7403.0,506236.0
广播,8910,2962.0,2836.0,126.0,85297.0,32409.0,6035.0,3199.0,99701.0
电视,8920,4465.0,4095.0,370.0,277338.0,101143.0,7270.0,3175.0,288398.0
电影,8930,4801.0,4504.0,297.0,102951.0,39404.0,5458.0,954.0,105109.0
音像制作,8940,1253.0,1236.0,17.0,12203.0,4829.0,1311.0,75.0,13028.0
文化艺术业,9000,33830.0,33244.0,586.0,519512.0,230272.0,43044.0,9800.0,565014.0
文艺创作与表演,9010,5633.0,5557.0,76.0,164225.0,68146.0,6178.0,621.0,172276.0
艺术表演场馆,9020,1071.0,1038.0,33.0,30924.0,13258.0,1184.0,146.0,32754.0
图书馆与档案馆,9030,4744.0,4649.0,95.0,78115.0,44521.0,5335.0,686.0,82546.0
文物及文化保护,9040,2570.0,2499.0,71.0,35453.0,13776.0,3144.0,645.0,38453.0
博物馆,9050,1776.0,1728.0,48.0,45518.0,19624.0,1948.0,220.0,46812.0
烈士陵园、纪念馆,9060,955.0,937.0,18.0,13541.0,5658.0,1179.0,242.0,15014.0
群众文化活动,9070,11176.0,11000.0,176.0,104688.0,46159.0,17823.0,6823.0,128536.0
文化艺术经纪代理,9080,2068.0,2043.0,25.0,14630.0,6011.0,2112.0,69.0,14738.0
其他文化艺术,9090,3837.0,3793.0,44.0,32418.0,13119.0,4141.0,348.0,33885.0
体育,9100,7405.0,7226.0,179.0,125852.0,43665.0,8267.0,1041.0,131128.0
体育组织,9110,4203.0,4114.0,89.0,68837.0,22553.0,4627.0,513.0,69917.0
体育场馆,9120,1507.0,1450.0,57.0,33623.0,12682.0,1739.0,289.0,35522.0
其他体育,9190,1695.0,1662.0,33.0,23392.0,8430.0,1901.0,239.0,25689.0
娱乐业,9200,20884.0,20351.0,533.0,461252.0,223183.0,23619.0,3268.0,486991.0
室内娱乐活动,9210,12186.0,11947.0,239.0,241141.0,118121.0,13749.0,1802.0,255787.0
游乐园,9220,671.0,650.0,21.0,28404.0,12997.0,724.0,74.0,27985.0
休闲健身娱乐活动,9230,5924.0,5698.0,226.0,154116.0,76920.0,6826.0,1128.0,162859.0
其他娱乐活动,9290,2103.0,2056.0,47.0,37591.0,15145.0,2320.0,264.0,40360.0
公共管理和社会组织,S,1363857.0,1213064.0,150793.0,22284730.0,5889545.0,1712039.0,498975.0,22050834.0
中国共产党机关,9300,39846.0,36857.0,2989.0,611164.0,130118.0,43885.0,7028.0,599474.0
国家机构,9400,396222.0,326548.0,69674.0,14725490.0,4014693.0,691188.0,364640.0,14433140.0
国家权力机构,9410,6844.0,6042.0,802.0,230584.0,53948.0,8822.0,2780.0,234364.0
国家行政机构,9420,377840.0,311563.0,66277.0,13770972.0,3766118.0,660810.0,349247.0,13452235.0
人民法院和人民检察院,9430,7488.0,5164.0,2324.0,597060.0,157359.0,15784.0,10620.0,607287.0
其他国家机构,9490,4050.0,3779.0,271.0,126874.0,37268.0,5772.0,1993.0,139254.0
人民政协和民主党派,9500,6209.0,6052.0,157.0,100652.0,24179.0,6630.0,578.0,101640.0
人民政协,9510,3488.0,3346.0,142.0,83334.0,18044.0,3867.0,521.0,83899.0
民主党派,9520,2721.0,2706.0,15.0,17318.0,6135.0,2763.0,57.0,17741.0
群众团体、社会团体和宗教组织,9600,234644.0,231561.0,3083.0,2542034.0,736884.0,281483.0,49922.0,2780469.0
群众团体,9610,25591.0,24469.0,1122.0,304408.0,120322.0,30811.0,6342.0,365270.0
社会团体,9620,149698.0,148161.0,1537.0,1685331.0,445425.0,165057.0,16896.0,1760447.0
宗教组织,9630,59355.0,58931.0,424.0,552295.0,171137.0,85615.0,26684.0,654752.0
基层群众自治组织,9700,686936.0,612046.0,74890.0,4305390.0,983671.0,688853.0,76807.0,4136111.0
社区自治组织,9710,78921.0,74948.0,3973.0,687984.0,363341.0,79864.0,4916.0,687421.0
村民自治组织,9720,608015.0,537098.0,70917.0,3617406.0,620330.0,608989.0,71891.0,3448690.0
