4-13全国分性别、职业小类、周工作时间的正在工作人口-职业小类性别-职业小类性别-职业小类性别,单位：人-合计-合计-合计,1-8小时-1-8小时-1-8小时,9-19小时-9-19小时-9-19小时,20-34小时,35小时,36-39小时,40小时-40小时-40小时,41-47小时-41-47小时-41-47小时,48小时-48小时-48小时,48小时以上,周平均-工作时间-(小时)
金属轧制人员,104812,182.0,397.0,2997.0,758.0,718.0,27891,3663.0,16941,51265,50
铸铁管人员,13402,14.0,39.0,365.0,77.0,89.0,4328,429.0,1916,6145,49
炭素制品生产人员,9144,20.0,42.0,342.0,90.0,83.0,2824,379.0,1218,4146,48
硬质合金生产人员,7568,13.0,39.0,352.0,82.0,73.0,2353,267.0,1088,3301,48
其他金属冶炼、轧制人员,29620,100.0,93.0,880.0,240.0,222.0,8836,917.0,4578,13754,49
化工产品生产人员,288625,555.0,971.0,9573.0,2852.0,2940.0,112888,10860.0,43095,104891,47
化工产品生产通用工艺人员,51362,83.0,139.0,1300.0,557.0,435.0,21662,1735.0,8276,17175,47
石油炼制生产人员,15793,42.0,16.0,250.0,391.0,143.0,10146,375.0,1668,2762,44
煤化工生产人员,21662,52.0,82.0,798.0,127.0,179.0,7578,734.0,3389,8723,48
化学肥料生产人员,34035,70.0,136.0,989.0,293.0,317.0,14964,1359.0,5067,10840,46
无机化工产品生产人员,12552,20.0,17.0,207.0,79.0,87.0,6026,304.0,1866,3946,46
基本有机化工产品生产人员,3769,3.0,3.0,56.0,28.0,40.0,1867,108.0,585,1079,46
合成树脂生产人员,7377,11.0,19.0,166.0,74.0,65.0,2741,255.0,1203,2843,48
合成橡胶生产人员,12450,15.0,31.0,287.0,104.0,106.0,4249,598.0,1878,5182,49
化学纤维生产人员,20232,21.0,43.0,368.0,75.0,110.0,7417,571.0,3343,8284,49
合成革生产人员,11452,32.0,69.0,520.0,122.0,106.0,2722,403.0,1419,6059,52
精细化工产品生产人员,20286,38.0,79.0,638.0,183.0,179.0,6288,750.0,3520,8611,49
信息记录材料生产人员,5376,19.0,51.0,308.0,51.0,45.0,1854,228.0,580,2240,47
火药、炸药制造人员,23157,57.0,138.0,1942.0,327.0,737.0,7192,1662.0,2308,8794,46
林产化工产品生产人员,2657,9.0,14.0,198.0,62.0,28.0,725,87.0,321,1213,48
复合材料加工人员,6030,10.0,10.0,142.0,38.0,38.0,2077,191.0,1054,2470,49
日用化学品生产人员,21842,33.0,70.0,785.0,174.0,167.0,8239,866.0,3882,7626,47
其他化工产品生产人员,18593,40.0,54.0,619.0,167.0,158.0,7141,634.0,2736,7044,47
机械制造加工人员,1089837,1620.0,3366.0,25598.0,6419.0,6578.0,312362,34761.0,210473,488660,49
机械冷加工人员,482454,757.0,2015.0,12992.0,2872.0,2843.0,139981,14798.0,97000,209196,49
机械热加工人员,355635,491.0,906.0,7797.0,2014.0,2333.0,96611,11301.0,64339,169843,50
特种加工设备操作人员,19942,37.0,49.0,345.0,87.0,90.0,7036,590.0,3970,7738,48
冷作钣金加工人员,23876,33.0,34.0,352.0,116.0,107.0,7440,810.0,4672,10312,49
工件表面处理加工人员,71058,98.0,76.0,1154.0,337.0,401.0,17585,2432.0,14117,34858,51
磨料磨具制造加工人员,49140,77.0,82.0,1039.0,272.0,249.0,13018,1653.0,10179,22571,50
航天器件加工成型人员,2120,1.0,2.0,34.0,89.0,7.0,1154,48.0,248,537,45
其他机械制造加工人员,85612,126.0,202.0,1885.0,632.0,548.0,29537,3129.0,15948,33605,48
机电产品装配人员,785562,951.0,1763.0,16008.0,4370.0,4402.0,240312,26991.0,164602,326163,49
基础件、部件装配人员,110101,124.0,243.0,2086.0,596.0,590.0,34363,3616.0,23969,44514,49
机械设备装配人员,94879,95.0,140.0,1290.0,456.0,513.0,35849,3043.0,19998,33495,48
动力设备装配人员,21927,24.0,28.0,278.0,139.0,112.0,8207,657.0,4588,7894,48
电气元件及设备装配人员,89793,132.0,203.0,1717.0,445.0,508.0,27640,2928.0,19466,36754,49
电子专用设备装配调试人员,35557,58.0,61.0,652.0,196.0,270.0,12329,1533.0,7136,13322,48
仪器仪表装配人员,31037,36.0,51.0,526.0,195.0,181.0,12632,960.0,5988,10468,48
运输车辆装配人员,68230,106.0,182.0,1561.0,418.0,385.0,24695,2064.0,13492,25327,48
膜法水处理设备制造人员,719,1.0,2.0,40.0,8.0,1.0,250,16.0,103,298,48
医疗器械装配及假肢与矫形器制作人员,10673,9.0,37.0,242.0,66.0,71.0,3979,292.0,2181,3796,48
日用机械电器制造装配人员,83613,72.0,145.0,1365.0,345.0,339.0,21233,2952.0,19207,37955,50
五金制品制作、装配人员,191671,216.0,573.0,5232.0,1220.0,1159.0,41874,7217.0,39963,94217,50
装甲车辆装试人员,675,7.0,5.0,23.0,4.0,16.0,228,31.0,132,229,46
枪炮制造人员,697,2.0,,8.0,2.0,1.0,330,103.0,99,152,45
弹制造人员,637,,2.0,12.0,3.0,1.0,411,20.0,74,114,44
引信加工制造人员,210,1.0,2.0,13.0,1.0,,98,7.0,38,50,45
火工品制造人员,4137,7.0,20.0,287.0,87.0,56.0,1615,206.0,373,1486,46
防化器材制造人员,419,2.0,1.0,10.0,,1.0,134,16.0,106,149,48
船舶制造人员,25221,30.0,38.0,384.0,104.0,112.0,8895,736.0,4877,10045,48
航空产品装配与调试人员,2395,15.0,3.0,24.0,15.0,19.0,1654,96.0,268,301,43
航空产品试验人员,437,2.0,,6.0,3.0,4.0,275,21.0,52,74,43
导弹卫星装配测试人员,219,1.0,,4.0,1.0,2.0,112,4.0,30,65,46
火箭发动机装配试验人员,68,,,1.0,,1.0,40,1.0,7,18,46
航天器结构强度、温度、环境试验人员,167,,,4.0,,,126,7.0,14,16,42
靶场试验人员,65,,2.0,1.0,,1.0,33,2.0,8,18,45
其他机电产品装配人员,12015,11.0,25.0,242.0,66.0,59.0,3310,463.0,2433,5406,49
机械设备修理人员,517767,1055.0,1905.0,15327.0,4476.0,3783.0,170323,17560.0,73139,230199,49
机械设备维修人员,470564,950.0,1756.0,13976.0,4011.0,3446.0,150759,16075.0,66930,212661,49
仪器仪表修理人员,11660,31.0,21.0,219.0,134.0,88.0,6334,324.0,1551,2958,45
民用航空器维修人员,3268,5.0,5.0,47.0,27.0,30.0,2057,68.0,427,602,44
其他机械设备修理人员,32275,69.0,123.0,1085.0,304.0,219.0,11173,1093.0,4231,13978,48
电力设备安装、运行、检修及供电人员,482832,904.0,1176.0,11838.0,6524.0,3978.0,231560,14702.0,61635,150515,46
电力设备安装人员,61707,111.0,161.0,1657.0,691.0,503.0,25697,2054.0,7926,22907,47
发电运行值班人员,30647,74.0,58.0,988.0,687.0,458.0,18023,1094.0,3076,6189,44
输电、配电、变电设备值班人员,15652,30.0,24.0,327.0,270.0,132.0,9642,395.0,1678,3154,44
电力设备检修人员,82322,144.0,165.0,1593.0,1300.0,618.0,44042,2124.0,9890,22446,45
供用电人员,71352,155.0,181.0,1776.0,1311.0,596.0,40151,1788.0,6844,18550,45
生活、生产电力设备安装、操作、修理人员,197302,344.0,524.0,4909.0,1900.0,1444.0,82441,6505.0,29157,70078,47
其他电力设备安装、运行、检修及供电人员,23850,46.0,63.0,588.0,365.0,227.0,11564,742.0,3064,7191,46
电子元器件与设备制造、装配、调试及维修人员,701796,1055.0,1588.0,15102.0,3561.0,4358.0,232026,28584.0,147940,267582,49
电子器件制造人员,235639,401.0,514.0,4700.0,1149.0,1413.0,78435,9828.0,48151,91048,49
电子元件制造人员,221922,346.0,507.0,4419.0,1102.0,1469.0,69915,9120.0,48139,86905,49
电池制造人员,25710,28.0,74.0,474.0,102.0,185.0,7820,1051.0,6063,9913,49
电子设备装配、调试人员,115979,104.0,165.0,2848.0,440.0,590.0,42156,4621.0,26545,38510,48
电子产品维修人员,42217,99.0,178.0,1373.0,419.0,346.0,14673,1656.0,6382,17091,48
其他电子元器件与设备制造、装配、调试及维修人员,60329,77.0,150.0,1288.0,349.0,355.0,19027,2308.0,12660,24115,49
橡胶和塑料制品生产人员,273202,454.0,854.0,8051.0,1735.0,1822.0,66933,9293.0,52556,131504,50
橡胶制品生产人员,61228,140.0,199.0,1624.0,331.0,392.0,16744,1902.0,11590,28306,50
塑料制品加工人员,182968,276.0,553.0,5349.0,1187.0,1200.0,43244,6388.0,35848,88923,51
其他橡胶和塑料制品生产人员,29006,38.0,102.0,1078.0,217.0,230.0,6945,1003.0,5118,14275,50
纺织、针织、印染人员,655390,1146.0,3183.0,26028.0,5289.0,5569.0,142440,24722.0,101665,345348,51
纤维预处理人员,25638,58.0,176.0,1269.0,267.0,218.0,5934,911.0,3892,12913,50
纺纱人员,154915,378.0,752.0,5804.0,1080.0,1309.0,37372,5503.0,23614,79103,50
织造人员,185296,251.0,742.0,6740.0,1409.0,1472.0,39828,6648.0,29056,99150,51
针织人员,177172,268.0,974.0,9004.0,1792.0,1872.0,36832,7651.0,25780,92999,51
印染人员,58833,89.0,256.0,1145.0,302.0,276.0,9820,1743.0,9860,35342,55
其他纺织、针织、印染人员,53536,102.0,283.0,2066.0,439.0,422.0,12654,2266.0,9463,25841,50
裁剪、缝纫和皮革制品加工制作人员,1782453,2771.0,7594.0,69067.0,14689.0,15857.0,342356,71787.0,271812,986520,52
裁剪、缝纫人员,1215029,1983.0,5184.0,48045.0,10074.0,11228.0,236081,48842.0,181186,672406,52
鞋帽制作人员,347178,368.0,1217.0,11001.0,2449.0,2518.0,60697,13584.0,56270,199074,53
皮革、毛皮加工人员,104534,207.0,594.0,5275.0,1024.0,1067.0,22116,4837.0,17335,52079,50
缝纫制品再加工人员,41510,84.0,212.0,1707.0,440.0,429.0,8706,1662.0,5830,22440,51
其他裁剪、缝纫和皮革、毛皮制品加工制作人员,74202,129.0,387.0,3039.0,702.0,615.0,14756,2862.0,11191,40521,51
粮油、食品、饮料生产加工及饲料生产加工人员,406339,1174.0,3630.0,29561.0,7311.0,4806.0,106700,19011.0,44605,189541,48
粮油生产加工人员,67310,238.0,1028.0,7417.0,1365.0,982.0,16327,3497.0,5881,30575,47
制糖和糖制品加工人员,18567,52.0,91.0,827.0,434.0,183.0,7545,737.0,2121,6577,46
乳品、冷仪器及罐头、饮料制作人员,35657,86.0,181.0,1671.0,356.0,347.0,10922,1546.0,5179,15369,49
酿酒、食品添加剂及调味品制作人员,46418,127.0,188.0,1891.0,636.0,476.0,16986,1947.0,6721,17446,47
粮油食品制作人员,97155,275.0,914.0,7256.0,1704.0,1074.0,21808,4436.0,9769,49919,49
屠宰加工人员,52576,143.0,504.0,4770.0,1410.0,703.0,11471,2923.0,4450,26202,48
肉、蛋食品加工人员,25696,74.0,163.0,1371.0,362.0,244.0,5644,1072.0,3315,13451,50
饲料生产加工人员,12446,48.0,144.0,878.0,190.0,186.0,3527,506.0,1525,5442,48
其他粮油、食品、饮料生产加工及饲料生产加工人员,50514,131.0,417.0,3480.0,854.0,611.0,12470,2347.0,5644,24560,49
烟草及其制品加工人员,16832,54.0,54.0,620.0,229.0,118.0,8895,528.0,2270,4064,44
原烟复烤人员,4611,14.0,32.0,299.0,94.0,41.0,1536,233.0,539,1823,47
卷烟生产人员,9201,16.0,16.0,212.0,85.0,49.0,5789,221.0,1354,1459,43
烟用醋酸纤维丝束滤棒制作人员,350,2.0,1.0,19.0,5.0,3.0,158,16.0,62,84,45
其他烟草及其制品加工人员,2670,22.0,5.0,90.0,45.0,25.0,1412,58.0,315,698,45
药品生产人员,53543,124.0,102.0,920.0,451.0,520.0,26265,1676.0,9212,14273,46
合成药物制造人员,18042,35.0,32.0,309.0,154.0,161.0,8987,555.0,3055,4754,46
生物技术制药（品）人员,6278,13.0,6.0,90.0,53.0,50.0,3401,191.0,1211,1263,45
药物制剂人员,9404,17.0,11.0,121.0,72.0,106.0,4830,292.0,1467,2488,46
中药制药人员,8753,35.0,30.0,195.0,78.0,101.0,4094,285.0,1373,2562,46
其他药品生产人员,11066,24.0,23.0,205.0,94.0,102.0,4953,353.0,2106,3206,46
"木材加工、人造板生产、木制品制作及制浆、
造纸和纸制品生产加工人员",715323,1449.0,3767.0,35061.0,6991.0,7780.0,156348,32822.0,96531,374574,50
木材加工人员,202194,523.0,1433.0,12479.0,2587.0,2756.0,42693,10980.0,22565,106178,49
人造板生产人员,67268,148.0,462.0,4398.0,671.0,856.0,14625,3404.0,8631,34073,49
木材制品制作人员,296715,501.0,1251.0,11849.0,2385.0,2707.0,61759,12394.0,40339,163530,50
制浆人员,7790,20.0,24.0,202.0,48.0,44.0,2445,190.0,1149,3668,49
造纸人员,40523,65.0,121.0,1286.0,344.0,377.0,11891,1482.0,6885,18072,49
纸制品制作人员,56195,67.0,222.0,2263.0,472.0,460.0,13289,2305.0,10848,26269,50
"其他木材加工、人造板生产、木制品制作及制浆、
造纸和纸制品生产加工人员",44638,125.0,254.0,2584.0,484.0,580.0,9646,2067.0,6114,22784,49
建筑材料生产加工人员,334757,816.0,1831.0,17038.0,3388.0,3611.0,78166,14564.0,37559,177784,50
水泥及水泥制品生产加工人员,109805,284.0,592.0,5365.0,1033.0,1108.0,29440,4686.0,13456,53841,49
墙体屋面材料生产人员,87232,240.0,492.0,4808.0,964.0,1031.0,18640,4053.0,8953,48051,50
建筑防水密封材料生产人员,5154,7.0,32.0,261.0,52.0,45.0,1314,160.0,610,2673,49
建筑保温及吸音材料生产人员,5557,17.0,40.0,342.0,50.0,53.0,1420,194.0,629,2812,49
装饰石材生产人员,44211,66.0,198.0,1837.0,401.0,413.0,7853,2093.0,4661,26689,51
非金属矿及其制品生产加工人员,13199,22.0,80.0,827.0,170.0,164.0,3162,602.0,1275,6897,49
耐火材料生产人员,16767,51.0,57.0,598.0,102.0,132.0,3691,540.0,2329,9267,50
其他建筑材料生产加工人员,52832,129.0,340.0,3000.0,616.0,665.0,12646,2236.0,5646,27554,49
玻璃、陶瓷、搪瓷及其制品生产加工人员,179688,371.0,465.0,5635.0,1443.0,1600.0,40914,7251.0,28142,93867,50
玻璃熔制人员,48472,80.0,127.0,1729.0,406.0,368.0,12532,1668.0,7837,23725,50
玻璃纤维及其制品生产人员,21637,53.0,61.0,658.0,170.0,183.0,6226,946.0,3787,9553,49
石英玻璃制品加工人员,5479,9.0,17.0,216.0,35.0,21.0,1208,223.0,1003,2747,50
陶瓷制品生产人员,82476,196.0,204.0,2335.0,641.0,838.0,15817,3413.0,12256,46776,51
搪瓷制品生产人员,3126,5.0,1.0,88.0,29.0,33.0,672,172.0,496,1630,50
其他玻璃、陶瓷、搪瓷及其制品生产加工人员,18498,28.0,55.0,609.0,162.0,157.0,4459,829.0,2763,9436,50
广播影视制品制作、播放及文物保护作业人员,21974,90.0,121.0,852.0,345.0,199.0,12769,657.0,2109,4832,44
影视制品制作人员,4292,13.0,21.0,141.0,49.0,31.0,2463,124.0,466,984,44
音像制品制作、复制人员,4500,24.0,24.0,197.0,62.0,42.0,2550,146.0,434,1021,44
广播影视舞台设备安装调试及运行操作人员,6634,26.0,34.0,253.0,131.0,74.0,3997,181.0,608,1330,44
电影放映人员,2695,15.0,21.0,136.0,41.0,26.0,1642,69.0,235,510,43
文物保护作业人员,378,4.0,1.0,7.0,5.0,3.0,211,24.0,17,106,45
其他广播影视制品制作、播放及文物保护作业人员,3475,8.0,20.0,118.0,57.0,23.0,1906,113.0,349,881,45
印刷人员,114353,139.0,320.0,2629.0,812.0,785.0,37712,3915.0,21800,46241,49
印前处理人员,17089,33.0,50.0,361.0,157.0,128.0,6330,545.0,3126,6359,48
印刷操作人员,72088,84.0,182.0,1568.0,476.0,501.0,23224,2528.0,14002,29523,49
印后制作人员,14601,13.0,44.0,350.0,86.0,85.0,4437,489.0,2860,6237,49
其他印刷人员,10575,9.0,44.0,350.0,93.0,71.0,3721,353.0,1812,4122,48
工艺、美术品制作人员,329399,723.0,2456.0,23501.0,4382.0,3919.0,73206,16202.0,49142,155868,49
珠宝首饰加工制作人员,30436,56.0,165.0,1147.0,285.0,289.0,5892,1458.0,6562,14582,50
地毯制作人员,7376,19.0,72.0,607.0,107.0,111.0,1898,360.0,866,3336,47
玩具制作人员,106167,215.0,464.0,4251.0,938.0,1033.0,26972,4822.0,19254,48218,49
漆器工艺品制作人员,24112,43.0,99.0,1187.0,200.0,209.0,5115,1034.0,3566,12659,50
抽纱、剌绣工艺品制作人员,44653,146.0,803.0,7476.0,1391.0,982.0,8687,3103.0,4305,17760,46
金属工艺品制作人员,15205,13.0,70.0,694.0,116.0,114.0,3490,605.0,2734,7369,50
雕刻工艺品制作人员,26189,68.0,184.0,1432.0,327.0,255.0,5032,1155.0,3192,14544,50
美术品制作,8111,7.0,30.0,270.0,44.0,70.0,2182,307.0,1181,4020,51
其他工艺、美术品制作人员,67150,156.0,569.0,6437.0,974.0,856.0,13938,3358.0,7482,33380,49
文化教育、体育用品制作人员,37121,86.0,106.0,1148.0,265.0,216.0,10342,1257.0,7978,15723,49
文教用品制作人员,15336,41.0,65.0,688.0,133.0,116.0,3813,529.0,3099,6852,49
体育用品制作人员,12581,26.0,24.0,198.0,59.0,44.0,3565,420.0,3196,5049,49
乐器制作人员,4660,6.0,9.0,106.0,26.0,32.0,1517,164.0,929,1871,49
其他文化教育、体育用品制作人员,4544,13.0,8.0,156.0,47.0,24.0,1447,144.0,754,1951,49
工程施工人员,2884039,6736.0,16491.0,150276.0,29298.0,31166.0,626166,123597.0,293566,1606743,50
土石方施工人员,188615,575.0,1363.0,11407.0,2252.0,2052.0,43283,8009.0,18827,100847,49
砌筑人员,1367117,3317.0,8696.0,77947.0,14164.0,15767.0,276706,60555.0,131412,778553,50
混凝土配制及制品加工人员,185106,493.0,1070.0,10995.0,2150.0,2154.0,38718,8338.0,19243,101945,50
钢筋加工人员,156335,269.0,654.0,6289.0,1392.0,1534.0,32464,6685.0,15607,91441,51
施工架子搭设人员,65922,142.0,360.0,3054.0,544.0,690.0,13337,2751.0,6396,38648,51
工程防水人员,17372,59.0,136.0,962.0,155.0,186.0,4560,736.0,1789,8789,49
装饰、装修人员,639868,1325.0,2920.0,28268.0,5893.0,6304.0,137456,26057.0,71914,359731,50
古建筑修建人员,3410,19.0,19.0,175.0,31.0,44.0,899,146.0,339,1738,49
筑路、养护、维修人员,67750,165.0,283.0,2248.0,798.0,532.0,27479,2397.0,6896,26952,47
工程设备安装人员,58301,126.0,236.0,1738.0,535.0,409.0,18030,2082.0,7484,27661,49
其他工程施工人员,134243,246.0,754.0,7193.0,1384.0,1494.0,33234,5841.0,13659,70438,50
运输设备操作人员及有关人员,1829856,3768.0,8945.0,78403.0,21821.0,16921.0,548465,68187.0,188250,895096,50
公(道)路运输机械设备操作及有关人员,1644698,3390.0,8233.0,72231.0,20026.0,15047.0,474258,62138.0,166398,822977,50
铁路、地铁运输机械设备操作及有关人员,51658,95.0,106.0,1047.0,492.0,635.0,31629,1466.0,5433,10755,44
民用航空设备操作及有关人员,3742,7.0,23.0,132.0,46.0,34.0,1871,111.0,390,1128,46
水上运输设备操作及有关人员,19825,29.0,106.0,875.0,231.0,237.0,5978,774.0,1750,9845,50
起重装卸机械操作及有关人员,63372,128.0,209.0,1810.0,440.0,498.0,22241,1900.0,9379,26767,49
其他运输设备操作人员及有关人员,46561,119.0,268.0,2308.0,586.0,470.0,12488,1798.0,4900,23624,50
环境监测与废物处理人员,22953,70.0,119.0,943.0,354.0,223.0,9760,805.0,2566,8113,47
环境监测人员,5248,10.0,7.0,101.0,126.0,44.0,3627,115.0,383,835,43
海洋环境调查与监测人员,668,,6.0,22.0,9.0,7.0,317,25.0,61,221,46
废物处理人员,14379,51.0,88.0,700.0,175.0,139.0,4669,558.0,1869,6130,48
其他环境监测与废物处理人员,2658,9.0,18.0,120.0,44.0,33.0,1147,107.0,253,927,46
检验、计量人员,382531,447.0,571.0,5271.0,2644.0,2169.0,155440,12072.0,72064,131853,48
检验人员,346627,385.0,460.0,4380.0,2281.0,1880.0,138744,10995.0,67396,120106,48
航空产品检验人员,1292,,1.0,23.0,10.0,12.0,843,30.0,136,237,44
航天器检验、测试人员,5544,15.0,52.0,294.0,64.0,65.0,1854,182.0,544,2474,48
计量人员,16134,25.0,32.0,341.0,155.0,117.0,7856,486.0,2009,5113,46
其他检验、计量人员,12934,22.0,26.0,233.0,134.0,95.0,6143,379.0,1979,3923,46
其他生产、运输设备操作人员及有关人员,1299722,2983.0,7484.0,62170.0,12483.0,11585.0,312123,49988.0,192421,648485,50
包装人员,376452,477.0,970.0,9409.0,2213.0,2684.0,88779,14335.0,79364,178221,50
机泵操作人员,14873,31.0,34.0,370.0,105.0,126.0,5969,414.0,2112,5712,48
简单体力劳动人员,908397,2475.0,6480.0,52391.0,10165.0,8775.0,217375,35239.0,110945,464552,50
不便分类的其他从业人员,68525,255.0,634.0,4369.0,1053.0,651.0,22367,2863.0,7291,29042,48
男,38645017,202124.0,681442.0,3625041.0,745203.0,532595.0,11152645,1918882.0,3710450,16076635,46
国家机关、党群组织、企业、事业单位负责人,944832,1436.0,2213.0,18488.0,11627.0,5086.0,449678,23873.0,100781,331650,47
中国共产党中央委员会和地方各级组织负责人,8946,12.0,21.0,251.0,190.0,71.0,6047,182.0,522,1650,43
中国共产党中央委员会和地方各级组织负责人,8946,12.0,21.0,251.0,190.0,71.0,6047,182.0,522,1650,43
国家机关及其工作机构负责人,84842,159.0,94.0,1435.0,2233.0,496.0,66401,1190.0,3842,8992,42
国家权力机关及其工作机构负责人,10213,30.0,19.0,250.0,264.0,68.0,7651,172.0,537,1222,42
人民政协及其工作机构负责人,3853,10.0,14.0,82.0,97.0,19.0,2869,62.0,218,482,42
人民法院负责人,2350,6.0,8.0,53.0,60.0,10.0,1858,44.0,84,227,41
人民检察院负责人,1842,,1.0,25.0,61.0,9.0,1527,30.0,55,134,41
国家行政机关及其工作机构负责人,54140,84.0,41.0,826.0,1427.0,321.0,43075,697.0,2331,5338,42
其他国家机关及其工作机构负责人,12444,29.0,11.0,199.0,324.0,69.0,9421,185.0,617,1589,42
民主党派和社会团体及其工作机构负责人,50035,138.0,374.0,3002.0,926.0,468.0,23148,1626.0,4441,15912,45
民主党派负责人,2006,11.0,34.0,225.0,62.0,17.0,780,99.0,116,662,44
工会、共青团、妇联、其他人民团体及其工作机构负责人,7468,19.0,80.0,380.0,155.0,45.0,4842,157.0,471,1319,42
群众自治组织负责人,36186,94.0,234.0,2227.0,615.0,368.0,15122,1265.0,3515,12746,46
其他社会团体及其工作机构负责人,4375,14.0,26.0,170.0,94.0,38.0,2404,105.0,339,1185,44
事业单位负责人,59907,130.0,116.0,1034.0,1284.0,354.0,43794,1127.0,3653,8415,43
教育教学单位负责人,15520,44.0,48.0,330.0,268.0,81.0,11706,308.0,809,1926,42
卫生单位负责人,6321,18.0,28.0,155.0,135.0,67.0,3988,205.0,488,1237,43
科研单位负责人,2470,4.0,2.0,37.0,64.0,7.0,1827,53.0,119,357,43
其他事业单位负责人,35596,64.0,38.0,512.0,817.0,199.0,26273,561.0,2237,4895,43
企业负责人,741102,997.0,1608.0,12766.0,6994.0,3697.0,310288,19748.0,88323,296681,49
企业负责人,741102,997.0,1608.0,12766.0,6994.0,3697.0,310288,19748.0,88323,296681,49
专业技术人员,2374567,6611.0,8482.0,60424.0,35882.0,17308.0,1456739,68671.0,223315,497135,44
科学研究人员,28903,116.0,122.0,1011.0,598.0,296.0,19574,857.0,1922,4407,42
哲学研究人员,2957,41.0,49.0,407.0,72.0,41.0,1090,143.0,192,922,43
经济学研究人员,921,2.0,7.0,28.0,18.0,7.0,614,23.0,59,163,43
法学研究人员,522,1.0,2.0,24.0,6.0,6.0,307,14.0,38,124,44
社会学研究人员,888,4.0,4.0,15.0,12.0,10.0,669,18.0,45,111,42
教育科学研究人员,1908,19.0,14.0,78.0,18.0,18.0,1311,37.0,100,313,42
文学、艺术研究人员,523,,1.0,23.0,10.0,8.0,325,17.0,38,101,43
图书馆学、情报学研究人员,450,3.0,8.0,16.0,13.0,4.0,297,14.0,27,68,42
历史学研究人员,264,1.0,,1.0,6.0,2.0,202,3.0,9,40,43
管理科学研究人员,1949,3.0,6.0,33.0,29.0,12.0,1318,46.0,165,337,43
数学研究人员,1623,2.0,4.0,133.0,73.0,108.0,987,124.0,63,129,40
物理学研究人员,1360,,3.0,17.0,18.0,5.0,1072,35.0,62,148,42
化学研究人员,2339,13.0,1.0,27.0,26.0,9.0,1634,69.0,217,343,43
天文学研究人员,313,1.0,,8.0,5.0,1.0,205,14.0,21,58,43
地球科学研究人员,541,,4.0,4.0,3.0,6.0,418,20.0,23,63,42
生物科学研究人员,1894,5.0,2.0,22.0,27.0,9.0,1438,41.0,130,220,42
农业科学研究人员,3489,9.0,5.0,87.0,110.0,22.0,2528,69.0,207,452,42
医学研究人员,2830,2.0,6.0,47.0,44.0,9.0,2055,62.0,226,379,43
其他科学研究人员,4132,10.0,6.0,41.0,108.0,19.0,3104,108.0,300,436,42
工程技术人员,784823,1553.0,1554.0,12849.0,8495.0,4979.0,437635,22750.0,93562,201446,45
地质勘探工程技术人员,11962,35.0,18.0,194.0,252.0,88.0,7646,288.0,919,2522,44
测绘工程技术人员,9316,22.0,19.0,158.0,137.0,49.0,5778,246.0,886,2021,44
矿山工程技术人员,19044,38.0,47.0,449.0,165.0,156.0,8310,485.0,2200,7194,47
石油工程技术人员,12688,21.0,15.0,108.0,136.0,73.0,9404,190.0,765,1976,43
冶金工程技术人员,14129,28.0,22.0,220.0,126.0,98.0,7848,381.0,1838,3568,45
化工工程技术人员,14429,32.0,17.0,163.0,129.0,105.0,8835,416.0,1750,2982,44
机械工程技术人员,74618,152.0,91.0,754.0,531.0,351.0,40199,2223.0,12808,17509,45
兵器工程技术人员,2027,1.0,3.0,12.0,15.0,17.0,1562,33.0,183,201,42
航空工程技术人员,4485,6.0,4.0,39.0,26.0,49.0,3433,119.0,330,479,42
航天工程技术人员,3793,5.0,8.0,45.0,14.0,15.0,2831,70.0,270,535,43
电子工程技术人员,48227,102.0,51.0,454.0,264.0,244.0,29184,1706.0,7236,8986,44
通信工程技术人员,33577,49.0,31.0,366.0,459.0,185.0,23111,939.0,3357,5080,43
计算机与应用工程技术人员,89354,123.0,92.0,731.0,760.0,519.0,62267,2804.0,8877,13181,43
电气工程技术人员,20188,34.0,30.0,244.0,210.0,107.0,11435,613.0,2852,4663,45
电力工程技术人员,54996,117.0,103.0,1113.0,1037.0,504.0,31916,1404.0,5602,13200,45
邮政工程技术人员,1981,7.0,2.0,40.0,24.0,14.0,1269,43.0,206,376,44
广播、电影、电视工程技术人员,7863,15.0,12.0,151.0,145.0,49.0,5181,193.0,682,1435,43
交通工程技术人员,18758,46.0,52.0,389.0,245.0,96.0,9602,549.0,2115,5664,46
民用航空工程技术人员,2018,5.0,10.0,66.0,24.0,16.0,1248,51.0,138,460,44
铁路工程技术人员,19412,41.0,28.0,282.0,171.0,117.0,12220,469.0,1890,4194,44
建筑工程技术人员,161841,358.0,535.0,4232.0,1810.0,1128.0,71046,5139.0,17324,60269,47
建材工程技术人员,17193,50.0,64.0,463.0,165.0,132.0,6439,562.0,2137,7181,48
林业工程技术人员,5596,26.0,27.0,158.0,120.0,30.0,3392,137.0,505,1201,44
水利工程技术人员,12195,22.0,17.0,228.0,266.0,67.0,8422,246.0,866,2061,43
海洋工程技术人员,1054,4.0,5.0,18.0,6.0,3.0,750,21.0,76,171,43
水产工程技术人员,998,4.0,2.0,29.0,26.0,13.0,530,46.0,80,268,45
纺织工程技术人员,11078,20.0,48.0,200.0,64.0,89.0,4008,416.0,2010,4223,48
食品工程技术人员,9076,23.0,40.0,243.0,104.0,64.0,3447,341.0,1348,3466,48
气象工程技术人员,2151,2.0,5.0,39.0,90.0,19.0,1560,39.0,127,270,42
地震工程技术人员,892,1.0,1.0,20.0,16.0,4.0,546,21.0,75,208,44
