SalaryGradeStructureTable-PositionLevel-PositionLevel,SalaryGradeStructureTable-PositionLevel-PositionLevel.1,SalaryGradeStructureTable-PositionName-PositionName,SalaryGradeStructureTable-SalaryGrade-SalaryLevel,SalaryGradeStructureTable-SalaryGrade-BasicSalary,SalaryGradeStructureTable-SalaryGrade-Position-basedsalary,"SalaryGradeStructureTable-SalaryGrade-Capacity,PerformanceSalary",SalaryGradeStructureTable-SalaryGrade-SkillAllowance,SalaryGradeStructureTable-SalaryGrade-Total,SalaryGradeStructureTable-Notes-Notes,SalaryGradeStructureTable-Notes-Notes.1
3,Employee,"Human Resources Officer  
Technical Staff  
Office Staff  
Business Staff  
Driver  
Accountant, Cashier  
Office Assistant  
Quality Control, Warehouse Staff  
Workshop Team Leader  
Production Management, Planner",⑥,1400,1000.0,800,,3200,"1. Personnel officers, technicians, and workshop team leaders during the probation period are placed at level ②～③ (1550-1950 RMB).  
2. Production managers, planners, office staff, accountants, cashiers, and assistants during the probation period are placed at level ①～③ (1250-1950 RMB).  
3. Quality inspectors, warehouse managers, and drivers during the probation period are placed at level ①～② (1250-1550 RMB).  
4. The standard monthly output value is 5 million RMB or the standard performance score is 80 points, with the standard calculation value set at 1. Additional parts of output or performance are calculated based on the standard value, with overpayment returned and underpayment supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager and then issued.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of output and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
3,Employee,"Human Resources Officer  
Technical Staff  
Office Staff  
Business Staff  
Driver  
Accountant, Cashier  
Office Assistant  
Quality Control, Warehouse Staff  
Workshop Team Leader  
Production Management, Planner",⑦,1500,1100.0,900,,3500,"1. Personnel officers, technicians, and workshop team leaders during the probation period are placed at level ②～③ (1550-1950 RMB).  
2. Production managers, planners, office staff, accountants, cashiers, and assistants during the probation period are placed at level ①～③ (1250-1950 RMB).  
3. Quality inspectors, warehouse managers, and drivers during the probation period are placed at level ①～② (1250-1550 RMB).  
4. The standard monthly output value is 5 million RMB or the standard performance score is 80 points, with the standard calculation value set at 1. Additional parts of output or performance are calculated based on the standard value, with overpayment returned and underpayment supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager and then issued.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of output and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
3,Employee,"Human Resources Officer  
Technical Staff  
Office Staff  
Business Staff  
Driver  
Accountant, Cashier  
Office Assistant  
Quality Control, Warehouse Staff  
Workshop Team Leader  
Production Management, Planner",⑧,1600,1200.0,1000,,3800,"1. Personnel officers, technicians, and workshop team leaders during the probation period are placed at level ②～③ (1550-1950 RMB).  
2. Production managers, planners, office staff, accountants, cashiers, and assistants during the probation period are placed at level ①～③ (1250-1950 RMB).  
3. Quality inspectors, warehouse managers, and drivers during the probation period are placed at level ①～② (1250-1550 RMB).  
4. The standard monthly output value is 5 million RMB or the standard performance score is 80 points, with the standard calculation value set at 1. Additional parts of output or performance are calculated based on the standard value, with overpayment returned and underpayment supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager and then issued.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of output and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
3,Employee,"Human Resources Officer  
Technical Staff  
Office Staff  
Business Staff  
Driver  
Accountant, Cashier  
Office Assistant  
Quality Control, Warehouse Staff  
Workshop Team Leader  
Production Management, Planner",⑨,1700,1300.0,1100,,4100,"1. Personnel officers, technicians, and workshop team leaders during the probation period are placed at level ②～③ (1550-1950 RMB).  
2. Production managers, planners, office staff, accountants, cashiers, and assistants during the probation period are placed at level ①～③ (1250-1950 RMB).  
3. Quality inspectors, warehouse managers, and drivers during the probation period are placed at level ①～② (1250-1550 RMB).  
4. The standard monthly output value is 5 million RMB or the standard performance score is 80 points, with the standard calculation value set at 1. Additional parts of output or performance are calculated based on the standard value, with overpayment returned and underpayment supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager and then issued.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of output and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
3,Employee,"Human Resources Officer  
Technical Staff  
Office Staff  
Business Staff  
Driver  
Accountant, Cashier  
Office Assistant  
Quality Control, Warehouse Staff  
Workshop Team Leader  
Production Management, Planner",⑩,1800,1400.0,1200,,4400,"1. Personnel officers, technicians, and workshop team leaders during the probation period are placed at level ②～③ (1550-1950 RMB).  
2. Production managers, planners, office staff, accountants, cashiers, and assistants during the probation period are placed at level ①～③ (1250-1950 RMB).  
3. Quality inspectors, warehouse managers, and drivers during the probation period are placed at level ①～② (1250-1550 RMB).  
4. The standard monthly output value is 5 million RMB or the standard performance score is 80 points, with the standard calculation value set at 1. Additional parts of output or performance are calculated based on the standard value, with overpayment returned and underpayment supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager and then issued.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of output and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
4,Employee,"General Worker  
Technical Worker  
Gate Guard",①,900,,200,,1100,"1. Workshop technical workers (e.g., welders, electricians, etc.) during the probation period are placed at level ③～④ (1500-1800 RMB).  
2. Gate guards and workshop general workers during the probation period are placed at level ①～② (1100-1300 RMB).  
3. Workshop piece-rate wages are executed according to the company's piece-rate wage system.  
4. The standard monthly output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The increased portion of capacity or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to personnel who have worked for the company for more than one year, including those who have worked for 10-12 months).  
7. The proportion of capacity and performance wages in an individual's total wage is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
4,Employee,"General Worker  
Technical Worker  
Gate Guard",②,1000,,300,,1300,"1. Workshop technical workers (e.g., welders, electricians, etc.) during the probation period are placed at level ③～④ (1500-1800 RMB).  
2. Gate guards and workshop general workers during the probation period are placed at level ①～② (1100-1300 RMB).  
3. Workshop piece-rate wages are executed according to the company's piece-rate wage system.  
4. The standard monthly output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The increased portion of capacity or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to personnel who have worked for the company for more than one year, including those who have worked for 10-12 months).  
7. The proportion of capacity and performance wages in an individual's total wage is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
4,Employee,"General Worker  
Technical Worker  
Gate Guard",③,1100,,400,,1500,"1. Workshop technical workers (e.g., welders, electricians, etc.) during the probation period are placed at level ③～④ (1500-1800 RMB).  
2. Gate guards and workshop general workers during the probation period are placed at level ①～② (1100-1300 RMB).  
3. Workshop piece-rate wages are executed according to the company's piece-rate wage system.  
4. The standard monthly output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The increased portion of capacity or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to personnel who have worked for the company for more than one year, including those who have worked for 10-12 months).  
7. The proportion of capacity and performance wages in an individual's total wage is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
4,Employee,"General Worker  
Technical Worker  
Gate Guard",④,1300,,500,,1800,"1. Workshop technical workers (e.g., welders, electricians, etc.) during the probation period are placed at level ③～④ (1500-1800 RMB).  
2. Gate guards and workshop general workers during the probation period are placed at level ①～② (1100-1300 RMB).  
3. Workshop piece-rate wages are executed according to the company's piece-rate wage system.  
4. The standard monthly output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The increased portion of capacity or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to personnel who have worked for the company for more than one year, including those who have worked for 10-12 months).  
7. The proportion of capacity and performance wages in an individual's total wage is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
4,Employee,"General Worker  
Technical Worker  
Gate Guard",⑤,1400,,600,,2000,"1. Workshop technical workers (e.g., welders, electricians, etc.) during the probation period are placed at level ③～④ (1500-1800 RMB).  
2. Gate guards and workshop general workers during the probation period are placed at level ①～② (1100-1300 RMB).  
3. Workshop piece-rate wages are executed according to the company's piece-rate wage system.  
4. The standard monthly output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The increased portion of capacity or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to personnel who have worked for the company for more than one year, including those who have worked for 10-12 months).  
7. The proportion of capacity and performance wages in an individual's total wage is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
4,Employee,"General Worker  
Technical Worker  
Gate Guard",⑥,1500,,700,,2200,"1. Workshop technical workers (e.g., welders, electricians, etc.) during the probation period are placed at level ③～④ (1500-1800 RMB).  
2. Gate guards and workshop general workers during the probation period are placed at level ①～② (1100-1300 RMB).  
3. Workshop piece-rate wages are executed according to the company's piece-rate wage system.  
4. The standard monthly output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The increased portion of capacity or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to personnel who have worked for the company for more than one year, including those who have worked for 10-12 months).  
7. The proportion of capacity and performance wages in an individual's total wage is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
4,Employee,"General Worker  
Technical Worker  
Gate Guard",⑦,1600,,800,,2400,"1. Workshop technical workers (e.g., welders, electricians, etc.) during the probation period are placed at level ③～④ (1500-1800 RMB).  
2. Gate guards and workshop general workers during the probation period are placed at level ①～② (1100-1300 RMB).  
3. Workshop piece-rate wages are executed according to the company's piece-rate wage system.  
4. The standard monthly output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The increased portion of capacity or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to personnel who have worked for the company for more than one year, including those who have worked for 10-12 months).  
7. The proportion of capacity and performance wages in an individual's total wage is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
4,Employee,"General Worker  
Technical Worker  
Gate Guard",⑧,1700,,900,,2600,"1. Workshop technical workers (e.g., welders, electricians, etc.) during the probation period are placed at level ③～④ (1500-1800 RMB).  
2. Gate guards and workshop general workers during the probation period are placed at level ①～② (1100-1300 RMB).  
3. Workshop piece-rate wages are executed according to the company's piece-rate wage system.  
4. The standard monthly output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The increased portion of capacity or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to personnel who have worked for the company for more than one year, including those who have worked for 10-12 months).  
7. The proportion of capacity and performance wages in an individual's total wage is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
4,Employee,"General Worker  
Technical Worker  
Gate Guard",⑨,1800,,1000,,2800,"1. Workshop technical workers (e.g., welders, electricians, etc.) during the probation period are placed at level ③～④ (1500-1800 RMB).  
2. Gate guards and workshop general workers during the probation period are placed at level ①～② (1100-1300 RMB).  
3. Workshop piece-rate wages are executed according to the company's piece-rate wage system.  
4. The standard monthly output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The increased portion of capacity or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to personnel who have worked for the company for more than one year, including those who have worked for 10-12 months).  
7. The proportion of capacity and performance wages in an individual's total wage is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
4,Employee,"General Worker  
Technical Worker  
Gate Guard",⑩,1900,,1100,,3000,"1. Workshop technical workers (e.g., welders, electricians, etc.) during the probation period are placed at level ③～④ (1500-1800 RMB).  
2. Gate guards and workshop general workers during the probation period are placed at level ①～② (1100-1300 RMB).  
3. Workshop piece-rate wages are executed according to the company's piece-rate wage system.  
4. The standard monthly output value is 5 million RMB or the performance standard score is 80 points, with the standard calculation value set at 1. The increased portion of capacity or performance is calculated based on the standard value, with overpayment being returned and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to personnel who have worked for the company for more than one year, including those who have worked for 10-12 months).  
7. The proportion of capacity and performance wages in an individual's total wage is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
