23-24两年一分一档对照表-分数-分数,23-24两年一分一档对照表-物理-2024人数,23-24两年一分一档对照表-物理-2024位次,23-24两年一分一档对照表-物理-2023人数,23-24两年一分一档对照表-物理-2023位次,23-24两年一分一档对照表-历史-2024人数,23-24两年一分一档对照表-历史-2024位次,23-24两年一分一档对照表-历史-2023人数,23-24两年一分一档对照表-历史-2023位次
287,352.0,366421.0,317,318835,552.0,188859.0,588.0,189376.0
286,346.0,366767.0,341,319176,614.0,189473.0,601.0,189977.0
285,337.0,367104.0,301,319477,616.0,190089.0,563.0,190540.0
284,338.0,367442.0,311,319788,614.0,190703.0,563.0,191103.0
283,313.0,367755.0,269,320057,635.0,191338.0,587.0,191690.0
282,300.0,368055.0,296,320353,526.0,191864.0,584.0,192274.0
281,282.0,368337.0,308,320661,559.0,192423.0,562.0,192836.0
280,327.0,368664.0,270,320931,636.0,193059.0,584.0,193420.0
279,319.0,368983.0,279,321210,583.0,193642.0,591.0,194011.0
278,338.0,369321.0,299,321509,610.0,194252.0,520.0,194531.0
277,309.0,369630.0,238,321747,571.0,194823.0,516.0,195047.0
276,269.0,369899.0,289,322036,519.0,195342.0,543.0,195590.0
275,290.0,370189.0,270,322306,556.0,195898.0,531.0,196121.0
274,293.0,370482.0,242,322548,563.0,196461.0,512.0,196633.0
273,307.0,370789.0,255,322803,563.0,197024.0,545.0,197178.0
272,254.0,371043.0,236,323039,579.0,197603.0,507.0,197685.0
271,259.0,371302.0,233,323272,553.0,198156.0,516.0,198201.0
270,282.0,371584.0,221,323493,581.0,198737.0,517.0,198718.0
269,256.0,371840.0,236,323729,571.0,199308.0,527.0,199245.0
268,241.0,372081.0,238,323967,592.0,199900.0,548.0,199793.0
267,253.0,372334.0,209,324176,565.0,200465.0,506.0,200299.0
266,252.0,372586.0,235,324411,518.0,200983.0,493.0,200792.0
265,258.0,372844.0,223,324634,597.0,201580.0,499.0,201291.0
264,266.0,373110.0,225,324859,590.0,202170.0,514.0,201805.0
263,251.0,373361.0,217,325076,534.0,202704.0,492.0,202297.0
262,238.0,373599.0,235,325311,584.0,203288.0,486.0,202783.0
261,267.0,373866.0,217,325528,598.0,203886.0,483.0,203266.0
260,239.0,374105.0,197,325725,631.0,204517.0,547.0,203813.0
259,236.0,374341.0,190,325915,568.0,205085.0,494.0,204307.0
258,236.0,374577.0,179,326094,608.0,205693.0,494.0,204801.0
257,215.0,374792.0,182,326276,632.0,206325.0,497.0,205298.0
256,212.0,375004.0,171,326447,620.0,206945.0,486.0,205784.0
255,187.0,375191.0,179,326626,597.0,207542.0,512.0,206296.0
254,221.0,375412.0,164,326790,621.0,208163.0,507.0,206803.0
253,216.0,375628.0,177,326967,640.0,208803.0,520.0,207323.0
252,197.0,375825.0,178,327145,621.0,209424.0,480.0,207803.0
251,208.0,376033.0,160,327305,593.0,210017.0,486.0,208289.0
250,199.0,376232.0,164,327469,644.0,210661.0,477.0,208766.0
249,230.0,376462.0,160,327629,662.0,211323.0,504.0,209270.0
248,192.0,376654.0,146,327775,603.0,211926.0,521.0,209791.0
247,204.0,376858.0,157,327932,589.0,212515.0,532.0,210323.0
246,197.0,377055.0,172,328104,598.0,213113.0,556.0,210879.0
245,178.0,377233.0,153,328257,627.0,213740.0,508.0,211387.0
244,181.0,377414.0,139,328396,644.0,214384.0,577.0,211964.0
243,181.0,377595.0,146,328542,619.0,215003.0,493.0,212457.0
242,151.0,377746.0,164,328706,632.0,215635.0,466.0,212923.0
241,173.0,377919.0,131,328837,619.0,216254.0,487.0,213410.0
240,168.0,378087.0,152,328989,602.0,216856.0,526.0,213936.0
239,175.0,378262.0,142,329131,616.0,217472.0,520.0,214456.0
238,169.0,378431.0,135,329266,623.0,218095.0,498.0,214954.0
237,158.0,378589.0,139,329405,570.0,218665.0,529.0,215483.0
236,157.0,378746.0,140,329545,603.0,219268.0,564.0,216047.0
235,157.0,378903.0,145,329690,599.0,219867.0,497.0,216544.0
234,181.0,379084.0,127,329817,627.0,220494.0,506.0,217050.0
233,152.0,379236.0,147,329964,594.0,221088.0,531.0,217581.0
232,162.0,379398.0,119,330083,607.0,221695.0,529.0,218110.0
231,162.0,379560.0,126,330209,610.0,222305.0,518.0,218628.0
230,154.0,379714.0,124,330333,597.0,222902.0,493.0,219121.0
229,140.0,379854.0,112,330445,608.0,223510.0,516.0,219637.0
228,142.0,379996.0,117,330562,570.0,224080.0,521.0,220158.0
227,151.0,380147.0,131,330693,582.0,224662.0,511.0,220669.0
226,141.0,380288.0,117,330810,567.0,225229.0,538.0,221207.0
225,148.0,380436.0,114,330924,584.0,225813.0,438.0,221645.0
224,109.0,380545.0,102,331026,554.0,226367.0,506.0,222151.0
223,142.0,380687.0,109,331135,530.0,226897.0,493.0,222644.0
222,143.0,380830.0,103,331238,564.0,227461.0,498.0,223142.0
221,116.0,380946.0,108,331346,495.0,227956.0,495.0,223637.0
220,131.0,381077.0,111,331457,532.0,228488.0,500.0,224137.0
219,126.0,381203.0,114,331571,480.0,228968.0,497.0,224634.0
218,137.0,381340.0,101,331672,476.0,229444.0,487.0,225121.0
217,107.0,381447.0,103,331775,509.0,229953.0,508.0,225629.0
216,103.0,381550.0,101,331876,505.0,230458.0,466.0,226095.0
215,88.0,381638.0,97,331973,444.0,230902.0,439.0,226534.0
214,104.0,381742.0,85,332058,503.0,231405.0,442.0,226976.0
213,92.0,381834.0,87,332145,479.0,231884.0,436.0,227412.0
212,76.0,381910.0,88,332233,426.0,232310.0,439.0,227851.0
211,116.0,382026.0,81,332314,420.0,232730.0,426.0,228277.0
210,76.0,382102.0,88,332402,441.0,233171.0,425.0,228702.0
209,100.0,382202.0,95,332497,405.0,233576.0,412.0,229114.0
208,93.0,382295.0,94,332591,440.0,234016.0,447.0,229561.0
207,81.0,382376.0,90,332681,375.0,234391.0,375.0,229936.0
206,86.0,382462.0,88,332769,387.0,234778.0,416.0,230352.0
205,83.0,382545.0,84,332853,375.0,235153.0,405.0,230757.0
204,78.0,382623.0,83,332936,369.0,235522.0,400.0,231157.0
203,78.0,382701.0,87,333023,326.0,235848.0,376.0,231533.0
202,60.0,382761.0,65,333088,334.0,236182.0,370.0,231903.0
201,76.0,382837.0,71,333159,307.0,236489.0,337.0,232240.0
200,65.0,382902.0,83,333242,303.0,236792.0,366.0,232606.0
199,69.0,382971.0,74,333316,268.0,237060.0,312.0,232918.0
198,60.0,383031.0,63,333379,290.0,237350.0,330.0,233248.0
197,51.0,383082.0,74,333453,291.0,237641.0,294.0,233542.0
196,69.0,383151.0,64,333517,260.0,237901.0,316.0,233858.0
195,58.0,383209.0,62,333579,252.0,238153.0,296.0,234154.0
194,54.0,383263.0,68,333647,215.0,238368.0,261.0,234415.0
193,56.0,383319.0,65,333712,228.0,238596.0,266.0,234681.0
192,47.0,383366.0,51,333763,184.0,238780.0,278.0,234959.0
191,50.0,383416.0,59,333822,213.0,238993.0,260.0,235219.0
190,51.0,383467.0,59,333881,213.0,239206.0,249.0,235468.0
189,44.0,383511.0,51,333932,182.0,239388.0,244.0,235712.0
188,32.0,383543.0,55,333987,206.0,239594.0,211.0,235923.0
187,33.0,383576.0,57,334044,176.0,239770.0,218.0,236141.0
186,37.0,383613.0,57,334101,178.0,239948.0,232.0,236373.0
185,55.0,383668.0,52,334153,187.0,240135.0,177.0,236550.0
184,34.0,383702.0,37,334190,168.0,240303.0,217.0,236767.0
183,36.0,383738.0,54,334244,174.0,240477.0,176.0,236943.0
182,32.0,383770.0,40,334284,140.0,240617.0,176.0,237119.0
181,22.0,383792.0,44,334328,148.0,240765.0,158.0,237277.0
180,37.0,383829.0,35,334363,130.0,240895.0,186.0,237463.0
179,32.0,383861.0,36,334399,132.0,241027.0,193.0,237656.0
178,42.0,383903.0,38,334437,138.0,241165.0,179.0,237835.0
177,22.0,383925.0,33,334470,111.0,241276.0,150.0,237985.0
176,22.0,383947.0,34,334504,133.0,241409.0,157.0,238142.0
175,19.0,383966.0,30,334534,98.0,241507.0,152.0,238294.0
174,26.0,383992.0,40,334574,112.0,241619.0,135.0,238429.0
173,23.0,384015.0,41,334615,101.0,241720.0,136.0,238565.0
172,16.0,384031.0,23,334638,76.0,241796.0,125.0,238690.0
171,26.0,384057.0,30,334668,126.0,241922.0,115.0,238805.0
170,25.0,384082.0,33,334701,82.0,242004.0,111.0,238916.0
169,13.0,384095.0,20,334721,91.0,242095.0,113.0,239029.0
168,16.0,384111.0,26,334747,94.0,242189.0,88.0,239117.0
167,16.0,384127.0,22,334769,86.0,242275.0,95.0,239212.0
166,14.0,384141.0,20,334789,86.0,242361.0,89.0,239301.0
165,24.0,384165.0,24,334813,80.0,242441.0,111.0,239412.0
164,13.0,384178.0,20,334833,82.0,242523.0,95.0,239507.0
163,13.0,384191.0,23,334856,64.0,242587.0,79.0,239586.0
162,20.0,384211.0,21,334877,77.0,242664.0,100.0,239686.0
161,15.0,384226.0,21,334898,54.0,242718.0,71.0,239757.0
160,16.0,384242.0,20,334918,63.0,242781.0,63.0,239820.0
159,13.0,384255.0,18,334936,67.0,242848.0,79.0,239899.0
158,13.0,384268.0,26,334962,49.0,242897.0,68.0,239967.0
157,14.0,384282.0,18,334980,72.0,242969.0,59.0,240026.0
156,6.0,384288.0,19,334999,63.0,243032.0,64.0,240090.0
155,10.0,384298.0,17,335016,58.0,243090.0,75.0,240165.0
154,7.0,384305.0,16,335032,61.0,243151.0,52.0,240217.0
153,14.0,384319.0,19,335051,46.0,243197.0,55.0,240272.0
152,8.0,384327.0,16,335067,47.0,243244.0,51.0,240323.0
151,7.0,384334.0,11,335078,46.0,243290.0,49.0,240372.0
150,8.0,384342.0,14,335092,49.0,243339.0,53.0,240425.0
149,15.0,384357.0,19,335111,43.0,243382.0,49.0,240474.0
148,14.0,384371.0,12,335123,42.0,243424.0,41.0,240515.0
147,6.0,384377.0,11,335134,45.0,243469.0,34.0,240549.0
146,5.0,384382.0,8,335142,41.0,243510.0,35.0,240584.0
145,9.0,384391.0,11,335153,38.0,243548.0,33.0,240617.0
144,9.0,384400.0,15,335168,36.0,243584.0,43.0,240660.0
143,6.0,384406.0,10,335178,39.0,243623.0,32.0,240692.0
142,5.0,384411.0,8,335186,30.0,243653.0,37.0,240729.0
141,7.0,384418.0,11,335197,26.0,243679.0,32.0,240761.0
140,8.0,384426.0,10,335207,25.0,243704.0,33.0,240794.0
